,time,ctwl/nm,notch/dB,reflection/%,t-depth/dB,n_ac
0,2022-07-11 18:31:22,1536.7369,,99.91,30.6455,1.348576E-7
1,2022-07-11 18:32:51,1536.116,,100.00,47.3650,1.348031E-7
2,2022-07-11 18:34:20,1537.3396,,100.00,47.4920,1.349105E-7
3,2022-07-11 18:35:48,1538.2758,,100.00,45.1795,1.349926E-7
4,2022-07-11 18:37:17,1539.6261,,99.98,37.7765,1.351111E-7
5,2022-07-11 18:38:46,1541.3766,,99.90,29.8845,1.352647E-7
6,2022-07-11 18:40:14,1543.1995,,99.60,23.9500,1.354247E-7
7,2022-07-11 18:41:43,1544.985,,97.14,15.4330,1.355814E-7
8,2022-07-11 18:43:11,1546.1263,,95.19,13.1750,1.356815E-7
9,2022-07-11 18:44:40,1546.4921,,91.93,10.9290,1.357136E-7
10,2022-07-11 18:46:09,1546.6462,,89.64,9.8460,1.357272E-7
11,2022-07-11 18:47:37,1546.7489,,86.96,8.8460,1.357362E-7
12,2022-07-11 18:49:06,1546.7652,,84.46,8.0845,1.357376E-7
13,2022-07-11 18:50:35,1546.7801,,80.23,7.0395,1.357389E-7
14,2022-07-11 18:52:03,1546.788,,79.46,6.8740,1.357396E-7
15,2022-07-11 18:53:32,1546.7901,,72.92,5.6740,1.357398E-7
16,2022-07-11 18:55:01,1546.7925,,71.63,5.4710,1.357400E-7
17,2022-07-11 18:56:29,1546.7961,,72.05,5.5355,1.357403E-7
18,2022-07-11 18:57:58,1546.9034,,69.61,5.1730,1.357497E-7
19,2022-07-11 18:59:27,1546.8568,,67.12,4.8310,1.357456E-7
20,2022-07-11 19:00:55,1546.864,,64.42,4.4875,1.357463E-7
21,2022-07-11 19:02:24,1546.8708,,62.00,4.2020,1.357469E-7
22,2022-07-11 19:03:53,1546.8831,,59.38,3.9125,1.357480E-7
23,2022-07-11 19:05:21,1546.8871,,56.83,3.6485,1.357483E-7
24,2022-07-11 19:06:50,1546.896,,46.93,2.7515,1.357491E-7
25,2022-07-11 19:08:18,1546.9047,,51.51,3.1435,1.357499E-7
26,2022-07-11 19:09:47,1546.8853,,48.91,2.9170,1.357481E-7
27,2022-07-11 19:11:16,1546.8922,,46.40,2.7080,1.357488E-7
28,2022-07-11 19:12:44,1546.9049,,43.68,2.4930,1.357499E-7
29,2022-07-11 19:14:13,1546.9152,,41.14,2.3020,1.357508E-7
30,2022-07-11 19:15:42,1546.9225,,38.57,2.1165,1.357514E-7
31,2022-07-11 19:17:10,1546.9323,,36.09,1.9440,1.357523E-7
32,2022-07-11 19:18:39,1546.9582,,25.11,1.2560,1.357545E-7
33,2022-07-11 19:20:08,1546.983,,28.22,1.4400,1.357567E-7
34,2022-07-11 19:21:36,1546.9894,,28.94,1.4840,1.357573E-7
35,2022-07-11 19:23:05,1546.9991,,26.56,1.3405,1.357581E-7
36,2022-07-11 19:24:34,1547.0105,,23.04,1.1375,1.357591E-7
37,2022-07-11 19:26:02,1547.0216,,22.14,1.0870,1.357601E-7
38,2022-07-11 19:27:31,1547.0319,,20.26,0.9830,1.357610E-7
39,2022-07-11 19:29:00,1547.0446,,14.37,0.6735,1.357621E-7
40,2022-07-11 19:30:29,1547.0499,,16.41,0.7785,1.357626E-7
41,2022-07-11 19:31:57,1547.0501,,14.66,0.6885,1.357626E-7
42,2022-07-11 19:33:26,1547.0678,,9.17,0.4175,1.357642E-7
43,2022-07-11 19:34:54,1547.0825,,11.13,0.5125,1.357655E-7
44,2022-07-11 19:36:23,1547.1101,,9.92,0.4535,1.357679E-7
45,2022-07-11 19:37:52,1547.1224,,8.61,0.3910,1.357690E-7
46,2022-07-11 19:39:21,1547.1315,,7.31,0.3295,1.357698E-7
47,2022-07-11 19:40:49,1547.14,,6.24,0.2800,1.357705E-7
48,2022-07-11 19:42:18,1547.1481,,4.73,0.2105,1.357712E-7
49,2022-07-11 19:43:47,1547.152,,3.17,0.1400,1.357716E-7
50,2022-07-11 19:45:15,1547.1549,,3.33,0.1470,1.357718E-7
51,2022-07-11 19:46:44,1547.1589,,1.19,0.0520,1.357722E-7
52,2022-07-11 19:48:13,1547.1467,,1.05,0.0460,1.357711E-7
53,2022-07-11 19:49:41,1547.1411,,1.13,0.0495,1.357706E-7
54,2022-07-11 19:51:10,1547.0362,,1.19,0.0520,1.357614E-7
55,2022-07-11 19:52:39,1546.7268,,0.34,0.0150,3.42144E-8
56,2022-07-11 19:54:07,1546.4309,,0.68,0.0295,6.00481E-8
57,2022-07-11 19:55:36,1546.9573,,0.41,0.0180,3.89161E-8
58,2022-07-11 19:57:05,1547.0956,,0.36,0.0155,3.55567E-8
59,2022-07-11 19:58:33,1548.6311,,0.20,0.0085,2.47095E-8
60,2022-07-11 20:00:02,1548.6233,,0.26,0.0115,2.88883E-8
61,2022-07-11 20:01:31,1549.5258,,0.33,0.0145,3.36089E-8
62,2022-07-11 20:03:00,1548.6138,,0.14,0.0060,2.01930E-8
