,time,ctwl/nm,thresh/dBm,reflection/%
0,2022-07-11 18:31:22,1535.912,-33.178,
1,2022-07-11 18:32:50,1536.104,-33.183,
2,2022-07-11 18:34:19,1537.412,-33.103,
3,2022-07-11 18:35:48,1538.46,-32.915,
4,2022-07-11 18:37:16,1539.748,-32.671,
5,2022-07-11 18:38:45,1541.3,-32.521,
6,2022-07-11 18:40:14,1543.156,-32.74,
7,2022-07-11 18:41:43,1544.964,-33.184,
8,2022-07-11 18:43:11,1546.076,-33.388,
9,2022-07-11 18:44:40,1546.484,-33.529,
10,2022-07-11 18:46:09,1546.664,-33.667,
11,2022-07-11 18:47:37,1546.736,-33.795,
12,2022-07-11 18:49:06,1546.768,-33.925,
13,2022-07-11 18:50:35,1546.788,-34.057,
14,2022-07-11 18:52:04,1546.8,-34.189,
15,2022-07-11 18:53:32,1546.808,-34.324,
16,2022-07-11 18:55:01,1546.812,-34.462,
17,2022-07-11 18:56:30,1546.82,-34.609,
18,2022-07-11 18:57:58,1546.832,-34.759,
19,2022-07-11 18:59:27,1546.844,-34.92,
20,2022-07-11 19:00:56,1546.856,-35.089,
21,2022-07-11 19:02:25,1546.864,-35.268,
22,2022-07-11 19:03:53,1546.88,-35.454,
23,2022-07-11 19:05:22,1546.888,-35.65,
24,2022-07-11 19:06:51,1546.9,-35.855,
25,2022-07-11 19:08:20,1546.908,-36.068,
26,2022-07-11 19:09:48,1546.884,-36.299,
27,2022-07-11 19:11:17,1546.896,-36.539,
28,2022-07-11 19:12:46,1546.908,-36.788,
29,2022-07-11 19:14:15,1546.924,-37.056,
30,2022-07-11 19:15:43,1546.936,-37.333,
31,2022-07-11 19:17:12,1546.948,-37.626,
32,2022-07-11 19:18:41,1546.96,-37.939,
33,2022-07-11 19:20:10,1546.976,-38.257,
34,2022-07-11 19:21:38,1546.988,-38.592,
35,2022-07-11 19:23:07,1547.0,-38.952,
36,2022-07-11 19:24:36,1547.012,-39.331,
37,2022-07-11 19:26:05,1547.024,-39.728,
38,2022-07-11 19:27:33,1547.04,-40.147,
39,2022-07-11 19:29:02,1547.056,-40.598,
40,2022-07-11 19:30:31,1547.064,-41.068,
41,2022-07-11 19:32:00,1547.064,-41.555,
42,2022-07-11 19:33:28,1547.08,-42.078,
43,2022-07-11 19:34:57,1547.088,-42.64,
44,2022-07-11 19:36:26,1547.112,-43.24,
45,2022-07-11 19:37:55,1547.124,-43.884,
46,2022-07-11 19:39:23,1547.14,-44.577,
47,2022-07-11 19:40:52,1547.156,-45.328,
48,2022-07-11 19:42:21,1547.164,-46.088,
49,2022-07-11 19:43:50,1547.18,-46.984,
50,2022-07-11 19:45:19,1547.192,-47.965,
51,2022-07-11 19:46:47,1547.204,-49.053,
52,2022-07-11 19:48:16,1547.196,-50.283,
53,2022-07-11 19:49:45,1547.2,-51.691,
54,2022-07-11 19:51:13,1547.048,-53.236,
55,2022-07-11 19:52:42,1546.62,-54.342,
56,2022-07-11 19:54:11,1546.304,-54.946,
57,2022-07-11 19:55:40,1547.028,-56.068,
58,2022-07-11 19:57:09,1547.26,-58.487,
59,2022-07-11 19:58:37,1547.292,-62.111,
60,2022-07-11 20:00:06,1547.284,-67.087,
61,2022-07-11 20:01:35,1547.692,-68.511,
62,2022-07-11 20:03:04,1547.32,-64.018,
63,2022-07-11 20:04:32,1547.32,-60.129,
64,2022-07-11 20:06:01,1547.324,-57.369,
65,2022-07-11 20:07:30,1547.332,-55.285,
66,2022-07-11 20:08:59,1547.34,-53.634,
67,2022-07-11 20:10:28,1547.352,-52.262,
68,2022-07-11 20:11:56,1547.364,-51.104,
69,2022-07-11 20:13:25,1547.364,-50.114,
70,2022-07-11 20:14:54,1547.376,-49.237,
71,2022-07-11 20:16:23,1547.392,-48.461,
72,2022-07-11 20:17:52,1547.4,-47.77,
73,2022-07-11 20:19:20,1547.404,-47.143,
74,2022-07-11 20:20:49,1547.412,-46.581,
75,2022-07-11 20:22:18,1547.42,-46.06,
76,2022-07-11 20:23:47,1547.424,-45.603,
77,2022-07-11 20:25:16,1547.424,-45.154,
78,2022-07-11 20:26:44,1547.436,-44.747,
79,2022-07-11 20:28:13,1547.448,-44.375,
80,2022-07-11 20:29:42,1547.444,-44.027,
81,2022-07-11 20:31:11,1547.456,-43.705,
82,2022-07-11 20:32:39,1547.464,-43.395,
83,2022-07-11 20:34:08,1547.464,-43.115,
84,2022-07-11 20:35:37,1547.48,-42.845,
85,2022-07-11 20:37:06,1547.484,-42.599,
86,2022-07-11 20:38:35,1547.496,-42.366,
87,2022-07-11 20:40:04,1547.504,-42.149,
88,2022-07-11 20:41:32,1547.504,-41.934,
89,2022-07-11 20:43:01,1547.516,-41.736,
90,2022-07-11 20:44:30,1547.52,-41.557,
91,2022-07-11 20:45:59,1547.528,-41.385,
92,2022-07-11 20:47:28,1547.532,-41.208,
93,2022-07-11 20:48:56,1547.504,-41.056,
94,2022-07-11 20:50:25,1547.516,-40.907,
95,2022-07-11 20:51:54,1547.528,-40.752,
96,2022-07-11 20:53:23,1547.54,-40.624,
97,2022-07-11 20:54:52,1547.552,-40.492,
98,2022-07-11 20:56:20,1547.56,-40.36,
99,2022-07-11 20:57:49,1547.552,-40.239,
100,2022-07-11 20:59:18,1547.568,-40.127,
101,2022-07-11 21:00:47,1547.572,-40.015,
102,2022-07-11 21:02:16,1547.576,-39.921,
103,2022-07-11 21:03:44,1547.58,-39.825,
104,2022-07-11 21:05:13,1547.588,-39.728,
105,2022-07-11 21:06:42,1547.588,-39.642,
106,2022-07-11 21:08:11,1547.592,-39.561,
107,2022-07-11 21:09:40,1547.6,-39.476,
108,2022-07-11 21:11:09,1547.604,-39.407,
109,2022-07-11 21:12:37,1547.596,-39.324,
110,2022-07-11 21:14:06,1547.568,-39.256,
111,2022-07-11 21:15:35,1547.596,-39.185,
112,2022-07-11 21:17:04,1547.584,-39.113,
113,2022-07-11 21:18:33,1547.528,-39.069,
114,2022-07-11 21:20:02,1547.732,-38.965,
115,2022-07-11 21:21:30,1547.88,-38.9,
116,2022-07-11 21:22:59,1547.772,-38.838,
117,2022-07-11 21:24:28,1547.728,-38.794,
118,2022-07-11 21:25:57,1547.716,-38.741,
119,2022-07-11 21:27:26,1547.712,-38.699,
120,2022-07-11 21:28:55,1547.716,-38.664,
121,2022-07-11 21:30:23,1547.716,-38.619,
122,2022-07-11 21:31:52,1547.72,-38.571,
123,2022-07-11 21:33:21,1547.724,-38.533,
124,2022-07-11 21:34:50,1547.732,-38.497,
125,2022-07-11 21:36:19,1547.724,-38.464,
126,2022-07-11 21:37:48,1547.728,-38.42,
127,2022-07-11 21:39:17,1547.732,-38.395,
128,2022-07-11 21:40:45,1547.728,-38.364,
129,2022-07-11 21:42:14,1547.74,-38.33,
130,2022-07-11 21:43:43,1547.74,-38.296,
131,2022-07-11 21:45:12,1547.74,-38.272,
132,2022-07-11 21:46:41,1547.74,-38.24,
133,2022-07-11 21:48:10,1547.744,-38.215,
134,2022-07-11 21:49:39,1547.744,-38.187,
135,2022-07-11 21:51:07,1547.748,-38.173,
136,2022-07-11 21:52:36,1547.752,-38.146,
137,2022-07-11 21:54:05,1547.756,-38.12,
138,2022-07-11 21:55:34,1547.76,-38.104,
139,2022-07-11 21:57:03,1547.764,-38.087,
140,2022-07-11 21:58:32,1547.76,-38.065,
141,2022-07-11 22:00:01,1547.764,-38.05,
142,2022-07-11 22:01:29,1547.768,-38.024,
143,2022-07-11 22:02:58,1547.768,-38.013,
144,2022-07-11 22:04:27,1547.772,-37.993,
145,2022-07-11 22:05:56,1547.776,-37.983,
146,2022-07-11 22:07:25,1547.772,-37.963,
147,2022-07-11 22:08:54,1547.776,-37.949,
148,2022-07-11 22:10:23,1547.78,-37.945,
149,2022-07-11 22:11:52,1547.78,-37.92,
150,2022-07-11 22:13:20,1547.784,-37.91,
151,2022-07-11 22:14:49,1547.792,-37.905,
152,2022-07-11 22:16:18,1547.788,-37.901,
