,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
0,2022/7/11 18:31,1535.9558,48.2175,99.9985,0.000134789,0
1,2022/7/11 18:32,1536.1701,48.2195,99.9985,0.000134808,0.000253895
2,2022/7/11 18:34,1538.4387,48.192,99.9985,0.000135007,0.002683794
3,2022/7/11 18:35,1539.1292,45.843,99.9974,0.000135068,0.000816507
4,2022/7/11 18:37,1539.6893,38.048,99.9843,0.000135117,0.00066207
5,2022/7/11 18:38,1541.328,31.266,99.9253,0.00013526,0.001934977
6,2022/7/11 18:40,1543.1888,24.4275,99.6392,0.000135424,0.002194583
7,2022/7/11 18:41,1544.9498,9.5375,88.8763,0.000135578,0.002074514
8,2022/7/11 18:43,1546.0798,13.2085,95.2231,0.000135677,0.001330203
9,2022/7/11 18:44,1546.4811,7.276,81.2759,0.000135713,0.000472276
10,2022/7/11 18:46,1546.6616,9.854,89.6581,0.000135729,0.000212399
11,2022/7/11 18:47,1546.7382,8.8715,87.0327,0.000135735,9.01E-05
12,2022/7/11 18:49,1546.7691,8.091,84.4797,0.000135738,3.64E-05
13,2022/7/11 18:50,1546.7816,7.436,81.9532,0.000135739,1.47E-05
14,2022/7/11 18:52,1546.8074,6.8995,79.5803,0.000135741,3.04E-05
15,2022/7/11 18:53,1546.8127,6.412,77.1545,0.000135742,6.24E-06
16,2022/7/11 18:55,1546.8148,5.96,74.6487,0.000135742,2.47E-06
17,2022/7/11 18:56,1546.8224,5.5295,72.007,0.000135743,8.94E-06
18,2022/7/11 18:57,1546.8355,5.1815,69.6716,0.000135744,1.54E-05
19,2022/7/11 18:59,1546.8504,4.8355,67.1565,0.000135745,1.75E-05
20,2022/7/11 19:00,1546.842,4.5295,64.7589,0.000135744,-9.88E-06
21,2022/7/11 19:02,1546.8589,4.2165,62.1252,0.000135746,1.99E-05
22,2022/7/11 19:03,1546.8743,3.928,59.5238,0.000135747,1.81E-05
23,2022/7/11 19:05,1546.8883,3.6695,57.0414,0.000135748,1.65E-05
24,2022/7/11 19:06,1546.8987,3.4015,54.307,0.000135749,1.22E-05
25,2022/7/11 19:08,1546.9085,3.1575,51.6663,0.00013575,1.15E-05
26,2022/7/11 19:09,1546.8839,2.9435,49.225,0.000135748,-2.89E-05
27,2022/7/11 19:11,1546.8951,1.697,32.345,0.000135749,1.32E-05
28,2022/7/11 19:12,1546.9088,2.511,43.9081,0.00013575,1.61E-05
29,2022/7/11 19:14,1546.9286,1.841,34.5515,0.000135752,2.33E-05
30,2022/7/11 19:15,1546.9395,0.8715,18.1818,0.000135753,1.28E-05
31,2022/7/11 19:17,1546.9464,1.954,36.2324,0.000135754,8.12E-06
32,2022/7/11 19:18,1546.9572,1.7775,33.5875,0.000135754,1.27E-05
33,2022/7/11 19:20,1546.9699,1.625,31.214,0.000135756,1.49E-05
34,2022/7/11 19:21,1546.9852,1.476,28.8131,0.000135757,1.80E-05
35,2022/7/11 19:23,1546.9975,1.338,26.5148,0.000135758,1.45E-05
36,2022/7/11 19:24,1547.0098,1.2345,24.7425,0.000135759,1.45E-05
37,2022/7/11 19:26,1547.0299,1.1015,22.4021,0.000135761,2.36E-05
38,2022/7/11 19:27,1547.0257,0.9915,20.4116,0.00013576,-4.94E-06
39,2022/7/11 19:29,1547.0438,0.509,11.0594,0.000135762,2.13E-05
40,2022/7/11 19:30,1547.0573,0.424,9.3015,0.000135763,1.59E-05
41,2022/7/11 19:31,1547.0573,0.704,14.9646,0.000135763,0
42,2022/7/11 19:33,1547.0808,0.5995,12.8936,0.000135765,2.76E-05
43,2022/7/11 19:34,1547.0869,0.54,11.692,0.000135766,7.18E-06
44,2022/7/11 19:36,1547.1074,0.468,10.2158,0.000135768,2.41E-05
45,2022/7/11 19:37,1547.1205,0.3095,6.8785,0.000135769,1.54E-05
46,2022/7/11 19:39,1547.1233,0.3535,7.8172,0.000135769,3.29E-06
47,2022/7/11 19:40,1547.1477,0.3035,6.7498,0.000135771,2.87E-05
48,2022/7/11 19:42,1547.1573,0.2505,5.6048,0.000135772,1.13E-05
49,2022/7/11 19:43,1547.1744,0.21,4.7204,0.000135774,2.01E-05
50,2022/7/11 19:45,1547.1841,0.0635,1.4515,0.000135774,1.14E-05
51,2022/7/11 19:46,1547.1906,0.0295,0.677,5.98E-05,7.65E-06
52,2022/7/11 19:48,1547.1806,0.018,0.4136,3.92E-05,-1.18E-05
53,2022/7/11 19:49,1547.1876,0.004,0.0921,1.61E-05,8.23E-06
54,2022/7/11 19:51,1546.7912,0.003,0.0691,1.38E-05,-0.000466416
55,2022/7/11 19:52,1541.865,0.0225,0.5167,4.63E-05,-0.005814831
56,2022/7/11 19:54,1541.4177,0.0125,0.2874,3.06E-05,-0.000528141
57,2022/7/11 19:55,1541.6029,0.012,0.2759,2.98E-05,0.000218645
58,2022/7/11 19:57,1542.1511,0.0365,0.8369,7.96E-05,0.000646969
59,2022/7/11 19:58,1542.3464,0.004,0.0921,1.60E-05,0.000230458
60,2022/7/11 20:00,1542.2336,0.0045,0.1036,1.71E-05,-0.000133116
61,2022/7/11 20:01,1542.2236,0.0225,0.5167,4.63E-05,-1.18E-05
62,2022/7/11 20:03,1542.1845,0.0415,0.951,0.000111923,-4.61E-05
63,2022/7/11 20:04,1542.327,0.0335,0.7684,6.96E-05,0.000168155
64,2022/7/11 20:05,1542.3042,0.039,0.894,9.14E-05,-2.69E-05
