,Unnamed: 0,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
0,0,2022-07-11 18:31:22,1535.9558,48.2175,99.9985,0.0001347890216974,0.0
1,1,2022-07-11 18:32:51,1536.1701,48.2195,99.9985,0.0001348078277641,0.0002538950601890837
2,2,2022-07-11 18:34:20,1538.4387,48.19200000000001,99.9985,0.0001350069105598,0.002683793640916455
3,3,2022-07-11 18:35:48,1539.1292,45.843,99.9974,0.0001350675059359,0.0008165071522262617
4,4,2022-07-11 18:37:17,1539.6893,38.048,99.9843,0.0001351166579565,0.0006620699383959185
5,5,2022-07-11 18:38:46,1541.328,31.266,99.9253,0.0001352604633771,0.001934976851130939
6,6,2022-07-11 18:40:14,1543.1888,24.4275,99.6392,0.0001354237593597,0.0021945830607375235
7,7,2022-07-11 18:41:43,1544.9498,9.5375,88.8763,0.000135578297314,0.0020745140068631055
8,8,2022-07-11 18:43:11,1546.0798,13.2085,95.2231,0.0001356774613619,0.001330203007632455
9,9,2022-07-11 18:44:40,1546.4811,7.276000000000003,81.2759,0.0001357126777623,0.0004722760595004914
10,10,2022-07-11 18:46:09,1546.6616,9.854,89.6581,0.0001357285176832,0.0002123994026876257
11,11,2022-07-11 18:47:37,1546.7382,8.871499999999997,87.0327,0.000135735239777,9.01329003189935e-05
12,12,2022-07-11 18:49:06,1546.7691,8.091000000000001,84.4797,0.0001357379514311,3.635836790375046e-05
13,13,2022-07-11 18:50:35,1546.7816,7.436,81.9532,0.0001357390483785,1.470795877070348e-05
14,14,2022-07-11 18:52:03,1546.8074,6.899499999999996,79.5803,0.000135741312478,3.0356720558616435e-05
15,15,2022-07-11 18:53:32,1546.8127,6.412000000000003,77.1545,0.0001357417775837,6.236049135141944e-06
16,16,2022-07-11 18:55:01,1546.8148,5.960000000000001,74.6487,0.0001357419618709,2.470884038788651e-06
17,17,2022-07-11 18:56:29,1546.8224,5.529500000000002,72.007,0.0001357426288149,8.942203060828731e-06
18,18,2022-07-11 18:57:58,1546.8355,5.1815,69.6716,0.0001357437784159,1.5413403687598746e-05
19,19,2022-07-11 18:59:27,1546.8504,4.835500000000003,67.1565,0.0001357450859772,1.753110708070267e-05
20,20,2022-07-11 19:00:55,1546.842,4.529500000000002,64.7589,0.0001357443488285,-9.883362360142002e-06
21,21,2022-07-11 19:02:24,1546.8589,4.216499999999996,62.1252,0.0001357458319015,1.9884166551795946e-05
22,22,2022-07-11 19:03:53,1546.8743,3.927999999999997,59.5238,0.0001357471833407,1.8119119310469724e-05
23,23,2022-07-11 19:05:21,1546.8883,3.6694999999999993,57.0414,0.0001357484119218,1.6471777568053953e-05
24,24,2022-07-11 19:06:50,1546.8987,3.401499999999998,54.307,0.0001357493245821,1.22360953563415e-05
25,25,2022-07-11 19:08:18,1546.9085,3.1575000000000024,51.6663,0.0001357501845889,1.1530093732159864e-05
26,26,2022-07-11 19:09:47,1546.8839,2.9435,49.225,0.0001357480257963,-2.894334862489321e-05
27,27,2022-07-11 19:11:16,1546.8951,1.6970000000000027,32.345,0.0001357490086612,1.3177364127566914e-05
28,28,2022-07-11 19:12:44,1546.9088,2.5109999999999992,43.9081,0.0001357502109156,1.61185972954245e-05
29,29,2022-07-11 19:14:13,1546.9286,1.841000000000001,34.5515,0.0001357519484803,2.3295192809841555e-05
30,30,2022-07-11 19:15:42,1546.9395,0.871500000000001,18.1818,0.0001357529050185,1.2824030933327448e-05
31,31,2022-07-11 19:17:10,1546.9464,1.953999999999997,36.2324,0.0001357535105335,8.117928326513602e-06
32,32,2022-07-11 19:18:39,1546.9572,1.7775,33.5875,0.0001357544582961,1.2706233889361502e-05
33,33,2022-07-11 19:20:08,1546.9699,1.625,31.214,0.0001357555727947,1.4941467186912549e-05
34,34,2022-07-11 19:21:36,1546.9852,1.475999999999999,28.8131,0.0001357569154583,1.80001722059429e-05
35,35,2022-07-11 19:23:05,1546.9975,1.3379999999999974,26.5148,0.0001357579948546,1.4470611620096553e-05
36,36,2022-07-11 19:24:34,1547.0098,1.2345000000000006,24.7425,0.0001357590742509,1.4470496567102635e-05
37,37,2022-07-11 19:26:02,1547.0299,1.1015000000000017,22.4021,0.0001357608381423,2.3646601788317864e-05
38,38,2022-07-11 19:27:31,1547.0257,0.991500000000002,20.4116,0.000135760469568,-4.941094385277697e-06
39,39,2022-07-11 19:29:00,1547.0438,0.5090000000000003,11.0594,0.0001357620579479,2.1293514766684226e-05
40,40,2022-07-11 19:30:29,1547.0573,0.4239999999999995,9.3015,0.0001357632426511,1.588176468967227e-05
41,41,2022-07-11 19:31:57,1547.0573,0.7039999999999971,14.9646,0.0001357632426511,0.0
42,42,2022-07-11 19:33:26,1547.0808,0.599499999999999,12.8936,0.0001357653049123,2.7645614889683313e-05
43,43,2022-07-11 19:34:54,1547.0869,0.5399999999999991,11.692,0.0001357658402226,7.176067485355806e-06
44,44,2022-07-11 19:36:23,1547.1074,0.4679999999999964,10.2158,0.0001357676392164,2.4115972814914e-05
45,45,2022-07-11 19:37:52,1547.1205,0.3094999999999999,6.8785,0.0001357687888173,1.5410564335362793e-05
46,46,2022-07-11 19:39:21,1547.1233,0.3535000000000003,7.8172,0.0001357690345335,3.2938551180518443e-06
47,47,2022-07-11 19:40:49,1547.1477,0.3034999999999996,6.7498,0.0001357711757749,2.8703141917236354e-05
48,48,2022-07-11 19:42:18,1547.1573,0.2504999999999988,5.6048,0.0001357720182306,1.1292969370448752e-05
49,49,2022-07-11 19:43:47,1547.1744,0.2100000000000008,4.7204,0.0001357735188546,2.0115379365151282e-05
50,50,2022-07-11 19:45:15,1547.1841,0.0635000000000012,1.4515,0.0001357743700859,1.1410406815650886e-05
51,51,2022-07-11 19:46:44,1547.1906,0.0295000000000023,0.677,5.978703917897546e-05,7.646116774447289e-06
52,52,2022-07-11 19:48:13,1547.1806,0.0180000000000006,0.4136,3.916481266418244e-05,-1.1763332606409004e-05
53,53,2022-07-11 19:49:41,1547.1876,0.0040000000000013,0.0921,1.607605905711806e-05,8.234295569659787e-06
54,54,2022-07-11 19:51:10,1546.7912,0.0030000000000001,0.0691,1.3807651656088384e-05,-0.0004664158937548616
55,55,2022-07-11 19:52:39,1541.865,0.0225000000000008,0.5167,4.627532917148363e-05,-0.005814830740693758
56,56,2022-07-11 19:54:07,1541.4177,0.0124999999999957,0.2874,3.059737675051259e-05,-0.0005281410742851044
57,57,2022-07-11 19:55:36,1541.6029,0.0120000000000004,0.2759,2.9832542818408757e-05,0.00021864515174447523
58,58,2022-07-11 19:57:05,1542.1511,0.0365000000000002,0.8369,7.957316489900848e-05,0.0006469690291696525
59,59,2022-07-11 19:58:33,1542.3464,0.0039999999999977,0.0921,1.6025756548807288e-05,0.00023045795678567862
60,60,2022-07-11 20:00:02,1542.2336,0.0044999999999966,0.1036,1.7067512959315464e-05,-0.00013311602081538112
61,61,2022-07-11 20:01:31,1542.2236,0.0224999999999973,0.5167,4.628609167860383e-05,-1.1801142194934278e-05
62,62,2022-07-11 20:03:00,1542.1845,0.0414999999999992,0.951,0.0001119230280726,-4.614363586194202e-05
63,63,2022-07-11 20:04:28,1542.327,0.0335,0.7684,6.959520259148031e-05,0.00016815500214926375
64,64,2022-07-11 20:05:57,1542.3042,0.0389999999999979,0.894,9.141215045865248e-05,-2.6905198079554702e-05
65,65,2022-07-11 20:07:25,1537.2249,0.023500000000002,0.5396,4.784302160461728e-05,-0.006013645758665624
66,66,2022-07-11 20:08:54,1541.426,0.0205000000000019,0.4709,4.296971647272776e-05,0.0049603432146596675
67,67,2022-07-11 20:10:23,1541.0399,0.0420000000000015,0.9624,0.0001187210686803,-0.0004559920869017698
68,68,2022-07-11 20:11:52,1546.8387,0.0045000000000037,0.1036,1.711847644755028e-05,0.0068228290383477285
69,69,2022-07-11 20:13:20,1547.3478,0.0124999999999992,0.2874,3.071509014115824e-05,0.0005988065514423976
70,70,2022-07-11 20:14:49,1547.3704,0.0289999999999999,0.6655,5.8701394588241726e-05,2.658187076605609e-05
71,71,2022-07-11 20:16:18,1547.3838,0.1185000000000009,2.6917,0.000135791894918,1.5760795737996876e-05
72,72,2022-07-11 20:17:46,1547.3906,0.1484999999999985,3.3615,0.0001357924916574,7.997980600237659e-06
73,73,2022-07-11 20:19:15,1547.3961,0.1909999999999989,4.3026,0.0001357929743143,6.468931904358687e-06
74,74,2022-07-11 20:20:44,1547.404,0.1945000000000014,4.3797,0.0001357936675851,9.291691116292323e-06
75,75,2022-07-11 20:22:13,1547.4134,0.2384999999999983,5.3436,0.0001357944924896,1.1055869103785543e-05
76,76,2022-07-11 20:23:41,1547.4158,0.2620000000000004,5.8544,0.0001357947031035,2.8227707123999914e-06
77,77,2022-07-11 20:25:10,1547.4178,0.2825000000000024,6.2978,0.0001357948786151,2.352305886564007e-06
78,78,2022-07-11 20:26:39,1547.423,0.297500000000003,6.6208,0.0001357953349452,6.115974752932625e-06
