,350,450,550,650,750
0,1540.1133,1541.5658,1543.0622,1544.6149,1545.0782
1,1540.1133,1541.5658,1543.0614,1544.6157,1545.0759
2,1540.1141,1541.5658,1543.0622,1544.6165,1545.0743
3,1540.1133,1541.5658,1543.0622,1544.6157,1545.0727
4,1540.1133,1541.5658,1543.0622,1544.6165,1545.0711
5,1540.1118,1541.565,1543.0622,1544.6173,1545.0679
6,1540.1133,1541.5658,1543.0614,1544.6165,1545.0655
7,1540.1126,1541.5658,1543.0622,1544.6157,1545.0647
8,1540.1126,1541.5658,1543.0622,1544.6165,1545.0615
9,1540.1133,1541.5658,1543.0622,1544.6157,1545.0599
10,1540.1133,1541.5658,1543.063,1544.6157,1545.0567
11,1540.1126,1541.5658,1543.063,1544.6149,1545.0551
12,1540.1133,1541.5674,1543.0622,1544.6149,1545.0528
13,1540.1141,1541.565,1543.063,1544.6157,1545.052
14,1540.1141,1541.5658,1543.0622,1544.6149,1545.0496
15,1540.1133,1541.5658,1543.063,1544.6157,1545.0472
16,1540.1133,1541.565,1543.063,1544.6165,1545.0448
17,1540.1149,1541.5658,1543.063,1544.6149,1545.0432
18,1540.1141,1541.5658,1543.0622,1544.6165,1545.04
19,1540.1149,1541.5666,1543.0622,1544.6141,1545.0384
20,1540.1149,1541.5658,1543.0622,1544.6157,1545.036
21,1540.1141,1541.5658,1543.0622,1544.6157,1545.0336
22,1540.1141,1541.5658,1543.063,1544.6165,1545.0321
23,1540.1149,1541.5658,1543.063,1544.6157,1545.0289
24,1540.1141,1541.565,1543.0622,1544.6149,1545.0281
25,1540.1149,1541.5658,1543.063,1544.6141,1545.0257
26,1540.1141,1541.5674,1543.0622,1544.6141,1545.0241
27,1540.1149,1541.5658,1543.0622,1544.6141,1545.0209
28,1540.1141,1541.565,1543.0622,1544.6149,1545.0193
29,1540.1141,1541.5666,1543.063,1544.6157,1545.0177
30,1540.1149,1541.5658,1543.0622,1544.6141,1545.0145
31,1540.1141,1541.5658,1543.0622,1544.6165,1545.0129
32,1540.1133,1541.565,1543.0622,1544.6141,1545.0114
33,1540.1149,1541.565,1543.0614,1544.6141,1545.0098
34,1540.1133,1541.565,1543.0622,1544.6149,1545.0066
35,1540.1141,1541.5658,1543.063,1544.6141,1545.0058
36,1540.1141,1541.565,1543.0614,1544.6141,1545.0026
37,1540.1141,1541.5642,1543.0614,1544.6133,1545.001
38,1540.1133,1541.565,1543.0622,1544.6133,1544.9986
39,1540.1141,1541.565,1543.063,1544.6133,1544.9962
40,1540.1141,1541.565,1543.063,1544.6141,1544.9946
41,1540.1141,1541.5658,1543.0622,1544.6141,1544.9922
42,1540.1133,1541.5642,1543.0622,1544.6133,1544.9907
43,1540.1149,1541.565,1543.0614,1544.6125,1544.9875
44,1540.1149,1541.5642,1543.063,1544.6141,1544.9859
45,1540.1133,1541.5658,1543.063,1544.6141,1544.9843
46,1540.1141,1541.5642,1543.0622,1544.6133,1544.9811
47,1540.1133,1541.565,1543.0614,1544.6141,1544.9803
48,1540.1141,1541.565,1543.063,1544.6141,1544.9771
49,1540.1141,1541.565,1543.0614,1544.6141,1544.9763
50,1540.1141,1541.5642,1543.0614,1544.6149,1544.9739
51,1540.1141,1541.5642,1543.0622,1544.6141,1544.9715
52,1540.1141,1541.565,1543.0622,1544.6149,1544.9684
53,1540.1133,1541.565,1543.0622,1544.6133,1544.9676
54,1540.1126,1541.5658,1543.0622,1544.6141,1544.9652
55,1540.1133,1541.5642,1543.0622,1544.6149,1544.9628
56,1540.1149,1541.5642,1543.063,1544.6141,1544.9604
57,1540.1141,1541.5642,1543.0622,1544.6141,1544.958
58,1540.1141,1541.565,1543.0614,1544.6165,1544.9556
59,1540.1141,1541.5634,1543.0622,1544.6157,1544.9532
60,1540.1149,1541.5642,1543.063,1544.6165,1544.9516
61,1540.1141,1541.5642,1543.0622,1544.6165,1544.95
62,1540.1149,1541.5642,1543.0622,1544.6165,1544.9461
63,1540.1133,1541.5634,1543.0622,1544.6157,1544.9445
64,1540.1157,1541.5634,1543.0622,1544.6157,1544.9429
65,1540.1141,1541.565,1543.0614,1544.6149,1544.9405
66,1540.1149,1541.5642,1543.0622,1544.6157,1544.9373
67,1540.1141,1541.565,1543.0622,1544.6157,1544.9357
68,1540.1141,1541.5634,1543.0622,1544.6149,1544.9325
69,1540.1133,1541.5642,1543.063,1544.6149,1544.9301
70,1540.1141,1541.565,1543.0606,1544.6149,1544.9285
71,1540.1149,1541.5642,1543.0614,1544.6157,1544.9254
72,1540.1149,1541.565,1543.0614,1544.6157,1544.923
73,1540.1157,1541.565,1543.0622,1544.6165,1544.9214
74,1540.1149,1541.5642,1543.0622,1544.6173,1544.9206
75,1540.1141,1541.5642,1543.0614,1544.6149,1544.9174
76,1540.1149,1541.5634,1543.0622,1544.6157,1544.9142
77,1540.1141,1541.565,1543.0614,1544.6157,1544.9134
78,1540.1149,1541.565,1543.0606,1544.6149,1544.9118
79,1540.1141,1541.5642,1543.0606,1544.6165,1544.9078
80,1540.1133,1541.5642,1543.0622,1544.6157,1544.9055
81,1540.1149,1541.565,1543.0614,1544.6157,1544.9055
82,1540.1149,1541.565,1543.0614,1544.6173,1544.9023
83,1540.1133,1541.5642,1543.0614,1544.6157,1544.9007
84,1540.1141,1541.5666,1543.0614,1544.6165,1544.8983
85,1540.1149,1541.5674,1543.0614,1544.6157,1544.8959
86,1540.1149,1541.5658,1543.0614,1544.6165,1544.8943
87,1540.1141,1541.565,1543.0606,1544.6173,1544.8911
88,1540.1141,1541.5642,1543.0606,1544.6165,1544.8887
89,1540.1141,1541.5642,1543.0614,1544.6157,1544.8864
90,1540.1149,1541.565,1543.0599,1544.6157,1544.8856
91,1540.1149,1541.5626,1543.0606,1544.6165,1544.8816
