,ctwl/nm,peak/dB
0,1535.912,33.178
1,1536.104,33.183
2,1537.412,33.103
3,1538.46,32.915
4,1539.748,32.671
5,1541.3,32.521
6,1543.156,32.74
7,1544.964,33.184
8,1546.076,33.388
9,1546.484,33.529
10,1546.664,33.667
11,1546.736,33.795
12,1546.768,33.925
13,1546.788,34.057
14,1546.8,34.189
15,1546.808,34.324
16,1546.812,34.462
17,1546.82,34.609
18,1546.832,34.759
19,1546.844,34.92
20,1546.856,35.089
21,1546.864,35.268
22,1546.88,35.454
23,1546.888,35.65
24,1546.9,35.855
25,1546.908,36.068
26,1546.884,36.299
27,1546.896,36.539
28,1546.908,36.788
29,1546.924,37.056
30,1546.936,37.333
31,1546.948,37.626
32,1546.96,37.939
33,1546.976,38.257
34,1546.988,38.592
35,1547.0,38.952
36,1547.012,39.331
37,1547.024,39.728
38,1547.04,40.147
39,1547.056,40.598
40,1547.064,41.068
41,1547.064,41.555
42,1547.08,42.078
43,1547.088,42.64
44,1547.112,43.24
45,1547.124,43.884
46,1547.14,44.577
47,1547.156,45.328
48,1547.164,46.088
49,1547.18,46.984
50,1547.192,47.965
51,1547.204,49.053
52,1547.196,50.283
53,1547.2,51.691
54,1547.048,53.236
55,1546.62,54.342
56,1546.304,54.946
57,1547.028,56.068
58,1547.26,58.487
59,1547.292,62.111
60,1547.284,67.087
61,1547.692,68.511
62,1547.32,64.018
63,1547.32,60.129
64,1547.324,57.369
65,1547.332,55.285
66,1547.34,53.634
67,1547.352,52.262
68,1547.364,51.104
69,1547.364,50.114
70,1547.376,49.237
71,1547.392,48.461
72,1547.4,47.77
73,1547.404,47.143
74,1547.412,46.581
75,1547.42,46.06
76,1547.424,45.603
77,1547.424,45.154
78,1547.436,44.747
79,1547.448,44.375
80,1547.444,44.027
81,1547.456,43.705
82,1547.464,43.395
83,1547.464,43.115
84,1547.48,42.845
85,1547.484,42.599
86,1547.496,42.366
87,1547.504,42.149
88,1547.504,41.934
89,1547.516,41.736
90,1547.52,41.557
91,1547.528,41.385
92,1547.532,41.208
93,1547.504,41.056
94,1547.516,40.907
95,1547.528,40.752
96,1547.54,40.624
97,1547.552,40.492
98,1547.56,40.36
99,1547.552,40.239
100,1547.568,40.127
101,1547.572,40.015
102,1547.576,39.921
103,1547.58,39.825
104,1547.588,39.728
105,1547.588,39.642
106,1547.592,39.561
107,1547.6,39.476
108,1547.604,39.407
109,1547.596,39.324
110,1547.568,39.256
111,1547.596,39.185
112,1547.584,39.113
113,1547.528,39.069
114,1547.732,38.965
115,1547.88,38.9
116,1547.772,38.838
117,1547.728,38.794
118,1547.716,38.741
119,1547.712,38.699
120,1547.716,38.664
121,1547.716,38.619
122,1547.72,38.571
123,1547.724,38.533
124,1547.732,38.497
125,1547.724,38.464
126,1547.728,38.42
127,1547.732,38.395
128,1547.728,38.364
129,1547.74,38.33
130,1547.74,38.296
131,1547.74,38.272
132,1547.74,38.24
133,1547.744,38.215
134,1547.744,38.187
135,1547.748,38.173
136,1547.752,38.146
137,1547.756,38.12
138,1547.76,38.104
139,1547.764,38.087
140,1547.76,38.065
141,1547.764,38.05
142,1547.768,38.024
143,1547.768,38.013
144,1547.772,37.993
145,1547.776,37.983
146,1547.772,37.963
147,1547.776,37.949
148,1547.78,37.945
149,1547.78,37.92
150,1547.784,37.91
151,1547.792,37.905
152,1547.788,37.901
153,1547.792,37.883
154,1547.792,37.873
155,1547.792,37.86
156,1547.796,37.852
157,1547.804,37.844
158,1547.8,37.834
159,1547.804,37.827
160,1547.808,37.816
161,1547.804,37.813
162,1547.808,37.808
163,1547.812,37.801
164,1547.812,37.796
165,1547.816,37.792
166,1547.82,37.784
167,1547.82,37.781
168,1547.82,37.774
169,1547.824,37.772
170,1547.824,37.765
171,1547.828,37.757
172,1547.832,37.755
173,1547.832,37.747
174,1547.832,37.745
175,1547.832,37.743
176,1547.836,37.741
177,1547.836,37.738
178,1547.84,37.735
179,1547.84,37.73
180,1547.844,37.731
181,1547.844,37.73
182,1547.844,37.725
183,1547.844,37.727
184,1547.848,37.72
185,1547.852,37.72
186,1547.852,37.719
187,1547.856,37.718
188,1547.856,37.719
189,1547.86,37.719
190,1547.86,37.723
191,1547.86,37.722
192,1547.864,37.719
193,1547.864,37.723
194,1547.868,37.721
195,1547.864,37.723
196,1547.872,37.724
197,1547.872,37.728
198,1547.868,37.725
199,1547.876,37.726
200,1547.876,37.729
201,1547.88,37.731
202,1547.876,37.734
203,1547.876,37.734
204,1547.88,37.734
205,1547.88,37.738
206,1547.884,37.739
207,1547.888,37.741
208,1547.888,37.741
209,1547.888,37.744
210,1547.888,37.746
211,1547.892,37.747
212,1547.892,37.748
