,time,ctwl/nm,thresh/dBm,reflection/%
0,2022-07-28 12:56:22,1535.896,-33.919,
1,2022-07-28 12:57:53,1535.908,-33.919,
2,2022-07-28 12:59:24,1535.872,-33.92,
3,2022-07-28 13:00:54,1535.9,-33.918,
4,2022-07-28 13:02:25,1535.892,-33.919,
5,2022-07-28 13:03:55,1535.876,-33.92,
6,2022-07-28 13:06:54,1535.884,-33.926,
7,2022-07-28 13:08:09,1535.9,-33.927,
8,2022-07-28 13:09:15,1535.876,-33.929,
9,2022-07-28 13:10:22,1535.9,-33.929,
10,2022-07-28 13:11:28,1535.896,-33.952,
11,2022-07-28 13:12:35,1535.908,-33.955,
12,2022-07-28 13:13:41,1535.892,-33.956,
13,2022-07-28 13:14:48,1535.944,-33.959,
14,2022-07-28 13:15:54,1536.716,-33.961,
15,2022-07-28 13:17:01,1537.752,-33.857,
16,2022-07-28 13:18:09,1538.612,-33.696,
17,2022-07-28 13:19:15,1539.616,-33.489,
18,2022-07-28 13:20:22,1540.732,-33.331,
19,2022-07-28 13:21:28,1542.008,-33.35,
20,2022-07-28 13:22:35,1543.58,-33.669,
21,2022-07-28 13:23:41,1544.932,-34.049,
22,2022-07-28 13:24:48,1546.24,-34.268,
23,2022-07-28 13:25:54,1546.988,-34.497,
24,2022-07-28 13:27:01,1547.424,-34.783,
25,2022-07-28 13:28:09,1547.744,-35.133,
26,2022-07-28 13:29:15,1547.988,-35.57,
27,2022-07-28 13:30:22,1548.188,-36.098,
28,2022-07-28 13:31:28,1548.348,-36.713,
29,2022-07-28 13:32:35,1548.488,-37.41,
30,2022-07-28 13:33:41,1548.616,-38.193,
31,2022-07-28 13:34:48,1548.74,-39.063,
32,2022-07-28 13:35:55,1548.852,-40.013,
33,2022-07-28 13:37:01,1548.96,-41.07,
34,2022-07-28 13:38:09,1549.06,-42.278,
35,2022-07-28 13:39:15,1549.156,-43.604,
36,2022-07-28 13:40:22,1549.248,-45.111,
37,2022-07-28 13:41:29,1549.336,-46.864,
38,2022-07-28 13:42:35,1549.42,-48.964,
39,2022-07-28 13:43:42,1549.496,-51.606,
40,2022-07-28 13:44:48,1549.572,-55.193,
41,2022-07-28 13:45:55,1549.64,-60.945,
42,2022-07-28 13:47:01,1535.076,-69.489,
43,2022-07-28 13:48:09,1549.804,-62.017,
44,2022-07-28 13:49:16,1549.852,-56.414,
45,2022-07-28 13:50:22,1549.908,-53.106,
46,2022-07-28 13:50:58,1549.936,-51.801,
47,2022-07-28 13:52:05,1549.988,-49.82,
48,2022-07-28 13:53:12,1550.04,-48.3,
49,2022-07-28 13:54:19,1550.088,-47.071,
50,2022-07-28 13:55:26,1550.132,-46.048,
51,2022-07-28 13:56:33,1550.176,-45.178,
52,2022-07-28 13:57:40,1550.216,-44.449,
53,2022-07-28 13:58:47,1550.252,-43.804,
54,2022-07-28 13:59:54,1550.288,-43.248,
55,2022-07-28 14:01:01,1550.324,-42.763,
56,2022-07-28 14:01:57,1550.348,-42.404,
57,2022-07-28 14:03:05,1550.38,-42.013,
58,2022-07-28 14:04:13,1550.412,-41.674,
59,2022-07-28 14:05:21,1550.444,-41.365,
60,2022-07-28 14:06:29,1550.472,-41.096,
61,2022-07-28 14:07:37,1550.496,-40.858,
62,2022-07-28 14:08:46,1550.52,-40.649,
63,2022-07-28 14:09:54,1550.54,-40.451,
64,2022-07-28 14:11:02,1550.56,-40.278,
65,2022-07-28 14:12:10,1550.584,-40.132,
66,2022-07-28 14:13:18,1550.6,-39.994,
67,2022-07-28 14:14:26,1550.624,-39.872,
68,2022-07-28 14:15:35,1550.648,-39.761,
69,2022-07-28 14:16:43,1550.668,-39.665,
70,2022-07-28 14:17:51,1550.684,-39.583,
71,2022-07-28 14:18:59,1550.696,-39.512,
72,2022-07-28 14:20:07,1550.712,-39.441,
73,2022-07-28 14:21:20,1550.728,-39.372,
74,2022-07-28 14:22:28,1550.744,-39.322,
75,2022-07-28 14:23:36,1550.756,-39.282,
76,2022-07-28 14:24:44,1550.772,-39.243,
77,2022-07-28 14:25:52,1550.784,-39.212,
78,2022-07-28 14:27:00,1550.804,-39.179,
79,2022-07-28 14:28:11,1550.812,-39.157,
80,2022-07-28 14:29:19,1550.824,-39.13,
81,2022-07-28 14:30:27,1550.836,-39.116,
82,2022-07-28 14:31:35,1550.848,-39.107,
83,2022-07-28 14:32:44,1550.86,-39.1,
84,2022-07-28 14:33:52,1550.872,-39.096,
85,2022-07-28 14:35:00,1550.884,-39.086,
86,2022-07-28 14:36:08,1550.896,-39.086,
87,2022-07-28 14:37:16,1550.908,-39.091,
88,2022-07-28 14:38:25,1550.912,-39.095,
89,2022-07-28 14:39:33,1550.924,-39.096,
90,2022-07-28 14:40:41,1550.932,-39.105,
91,2022-07-28 14:41:49,1550.944,-39.118,
92,2022-07-28 14:42:57,1550.952,-39.128,
93,2022-07-28 14:44:06,1550.964,-39.139,
94,2022-07-28 14:45:14,1550.972,-39.157,
95,2022-07-28 14:46:22,1550.984,-39.174,
96,2022-07-28 14:47:30,1550.992,-39.184,
97,2022-07-28 14:48:39,1550.996,-39.204,
98,2022-07-28 14:49:47,1551.004,-39.219,
99,2022-07-28 14:50:55,1551.012,-39.234,
100,2022-07-28 14:52:03,1551.02,-39.254,
101,2022-07-28 14:53:11,1551.028,-39.273,
102,2022-07-28 14:54:20,1551.036,-39.292,
103,2022-07-28 14:55:28,1551.044,-39.316,
104,2022-07-28 14:56:36,1551.052,-39.341,
105,2022-07-28 14:57:44,1551.06,-39.36,
106,2022-07-28 14:58:53,1551.06,-39.385,
107,2022-07-28 15:00:01,1551.068,-39.406,
108,2022-07-28 15:01:09,1551.076,-39.419,
109,2022-07-28 15:02:17,1551.084,-39.439,
110,2022-07-28 15:03:25,1551.092,-39.466,
111,2022-07-28 15:04:34,1551.096,-39.492,
112,2022-07-28 15:05:42,1551.104,-39.516,
113,2022-07-28 15:06:50,1551.112,-39.539,
114,2022-07-28 15:07:58,1551.116,-39.563,
115,2022-07-28 15:09:07,1551.124,-39.593,
116,2022-07-28 15:10:15,1551.128,-39.612,
