,time,ctwl/nm,notch/dB,reflection/%,t-depth/dB,n_ac
0,2022-07-28 12:56:41,1535.9689,,99.98,37.9285,1.347902E-7
1,2022-07-28 12:58:12,1535.9716,,100.00,44.7190,1.347904E-7
2,2022-07-28 12:59:42,1535.9664,,99.99,42.2700,1.347900E-7
3,2022-07-28 13:01:13,1535.9665,,99.45,22.6315,1.347900E-7
4,2022-07-28 13:02:43,1534.765,,99.48,22.8020,1.346845E-7
5,2022-07-28 13:04:14,1535.9734,,100.00,44.7350,1.347906E-7
6,2022-07-28 13:07:11,1535.9712,,99.94,31.9905,1.347904E-7
7,2022-07-28 13:08:17,1535.9688,,100.00,45.2130,1.347902E-7
8,2022-07-28 13:09:24,1534.8833,,99.94,32.0755,1.346949E-7
9,2022-07-28 13:10:30,1535.9708,,100.00,44.0260,1.347903E-7
10,2022-07-28 13:11:36,1535.9683,,100.00,45.2330,1.347901E-7
11,2022-07-28 13:12:43,1534.8891,,99.88,29.3545,1.346954E-7
12,2022-07-28 13:13:49,1535.967,,99.99,40.1030,1.347900E-7
13,2022-07-28 13:14:56,1536.013,,100.00,44.8450,1.347940E-7
14,2022-07-28 13:16:09,1536.7778,,100.00,44.9355,1.348612E-7
15,2022-07-28 13:17:15,1536.2636,,99.77,26.4370,1.348160E-7
16,2022-07-28 13:18:21,1538.3612,,99.99,41.8540,1.350001E-7
17,2022-07-28 13:19:28,1537.1586,,98.85,19.4080,1.348946E-7
18,2022-07-28 13:20:34,1540.6555,,99.91,30.5520,1.352014E-7
19,2022-07-28 13:21:41,1541.8708,,99.77,26.4380,1.353081E-7
20,2022-07-28 13:22:47,1543.4732,,99.13,20.6145,1.354487E-7
21,2022-07-28 13:23:54,1545.054,,86.42,8.6710,1.355874E-7
22,2022-07-28 13:25:00,1546.1225,,94.01,12.2230,1.356812E-7
23,2022-07-28 13:26:09,1546.9439,,88.93,9.5590,1.357533E-7
24,2022-07-28 13:27:16,1547.388,,83.04,7.7070,1.357923E-7
25,2022-07-28 13:28:22,1547.728,,76.46,6.2815,1.358221E-7
26,2022-07-28 13:29:28,1547.9706,,69.07,5.0965,1.358434E-7
27,2022-07-28 13:30:35,1548.1644,,51.31,3.1255,1.358604E-7
28,2022-07-28 13:31:41,1548.3357,,52.98,3.2775,1.358754E-7
29,2022-07-28 13:32:48,1548.4837,,45.04,2.5995,1.358884E-7
30,2022-07-28 13:33:54,1548.6165,,30.07,1.5535,1.359001E-7
31,2022-07-28 13:35:01,1548.7265,,30.86,1.6030,1.359097E-7
32,2022-07-28 13:36:09,1548.8244,,17.26,0.8230,1.359183E-7
33,2022-07-28 13:37:16,1548.9025,,17.02,0.8105,1.359252E-7
34,2022-07-28 13:38:22,1549.003,,14.40,0.6755,1.359340E-7
35,2022-07-28 13:39:29,1549.2666,,6.38,0.2865,1.359571E-7
36,2022-07-28 13:40:35,1548.7199,,6.43,0.2885,1.359091E-7
37,2022-07-28 13:41:01,1549.2818,,6.09,0.2730,1.359585E-7
38,2022-07-28 13:42:08,1548.9629,,2.29,0.1005,1.359305E-7
39,2022-07-28 13:42:30,1549.388,,3.64,0.1610,1.359678E-7
40,2022-07-28 13:43:36,1549.0554,,1.13,0.0495,1.359386E-7
41,2022-07-28 13:44:52,1549.5107,,0.96,0.0420,1.177795E-7
42,2022-07-28 13:45:58,1545.3597,,0.20,0.0085,2.46573E-8
43,2022-07-28 13:47:00,1543.3226,,0.20,0.0085,2.46248E-8
44,2022-07-28 13:48:07,1545.4234,,0.09,0.0040,1.58604E-8
45,2022-07-28 13:49:13,1545.4902,,0.07,0.0030,1.38883E-8
46,2022-07-28 13:50:20,1549.4779,,0.25,0.0110,2.82214E-8
47,2022-07-28 13:52:25,1549.96,,2.40,0.1055,1.360180E-7
48,2022-07-28 13:53:32,1550.0097,,0.33,0.0145,3.36194E-8
49,2022-07-28 13:54:39,1550.2242,,3.57,0.1580,1.360412E-7
50,2022-07-28 13:55:47,1550.0784,,3.51,0.1550,1.360284E-7
51,2022-07-28 13:56:54,1549.7521,,4.04,0.1790,1.359997E-7
52,2022-07-28 13:58:01,1550.2127,,5.04,0.2245,1.360401E-7
53,2022-07-28 13:59:08,1549.8685,,5.23,0.2335,1.360099E-7
54,2022-07-28 14:00:14,1550.4196,,11.19,0.5155,1.360583E-7
55,2022-07-28 14:01:20,1551.1683,,12.19,0.5645,1.361240E-7
56,2022-07-28 14:02:15,1550.3255,,13.96,0.6530,1.360500E-7
57,2022-07-28 14:03:23,1550.3874,,15.55,0.7340,1.360555E-7
58,2022-07-28 14:04:31,1550.4062,,15.29,0.7205,1.360571E-7
59,2022-07-28 14:05:39,1550.4366,,17.70,0.8460,1.360598E-7
60,2022-07-28 14:06:48,1550.4519,,13.61,0.6355,1.360611E-7
61,2022-07-28 14:07:56,1550.4937,,20.21,0.9805,1.360648E-7
62,2022-07-28 14:09:04,1550.5209,,20.74,1.0095,1.360672E-7
63,2022-07-28 14:10:12,1550.5372,,14.30,0.6700,1.360686E-7
64,2022-07-28 14:11:20,1550.5576,,22.41,1.1020,1.360704E-7
65,2022-07-28 14:12:28,1550.5698,,23.81,1.1810,1.360715E-7
66,2022-07-28 14:13:35,1550.5803,,23.02,1.1365,1.360724E-7
67,2022-07-28 14:14:44,1550.6231,,25.23,1.2625,1.360762E-7
68,2022-07-28 14:15:51,1550.6504,,14.15,0.6625,1.360786E-7
69,2022-07-28 14:17:00,1550.6648,,26.43,1.3330,1.360798E-7
70,2022-07-28 14:18:08,1550.6764,,27.00,1.3665,1.360808E-7
71,2022-07-28 14:19:16,1550.692,,22.78,1.1225,1.360822E-7
72,2022-07-28 14:20:24,1550.6973,,26.82,1.3560,1.360827E-7
73,2022-07-28 14:21:32,1550.7112,,11.04,0.5080,1.360839E-7
74,2022-07-28 14:22:40,1550.744,,28.63,1.4650,1.360868E-7
75,2022-07-28 14:23:48,1550.7665,,19.09,0.9200,1.360887E-7
76,2022-07-28 14:24:56,1550.7741,,29.32,1.5070,1.360894E-7
77,2022-07-28 14:26:04,1550.7855,,29.56,1.5220,1.360904E-7
78,2022-07-28 14:27:12,1550.798,,29.64,1.5270,1.360915E-7
79,2022-07-28 14:28:20,1550.8108,,16.26,0.7705,1.360926E-7
80,2022-07-28 14:29:28,1550.8168,,29.43,1.5140,1.360932E-7
81,2022-07-28 14:30:36,1550.8242,,30.25,1.5645,1.360938E-7
82,2022-07-28 14:31:44,1550.8313,,18.37,0.8815,1.360944E-7
83,2022-07-28 14:32:52,1550.8403,,30.32,1.5690,1.360952E-7
84,2022-07-28 14:34:00,1550.8716,,25.42,1.2735,1.360980E-7
85,2022-07-28 14:35:08,1550.89,,30.02,1.5500,1.360996E-7
86,2022-07-28 14:36:18,1550.8995,,1.39,0.0610,1.361004E-7
87,2022-07-28 14:37:26,1550.9066,,23.95,1.1890,1.361010E-7
88,2022-07-28 14:38:34,1550.913,,30.35,1.5710,1.361016E-7
