,ctwl/nm,peak/dB
0,1535.896,33.919
1,1535.908,33.919
2,1535.872,33.92
3,1535.9,33.918
4,1535.892,33.919
5,1535.876,33.92
6,1535.884,33.926
7,1535.9,33.927
8,1535.876,33.929
9,1535.9,33.929
10,1535.896,33.952
11,1535.908,33.955
12,1535.892,33.956
13,1535.944,33.959
14,1536.716,33.961
15,1537.752,33.857
16,1538.612,33.696
17,1539.616,33.489
18,1540.732,33.331
19,1542.008,33.35
20,1543.58,33.669
21,1544.932,34.049
22,1546.24,34.268
23,1546.988,34.497
24,1547.424,34.783
25,1547.744,35.133
26,1547.988,35.57
27,1548.188,36.098
28,1548.348,36.713
29,1548.488,37.41
30,1548.616,38.193
31,1548.74,39.063
32,1548.852,40.013
33,1548.96,41.07
34,1549.06,42.278
35,1549.156,43.604
36,1549.248,45.111
37,1549.336,46.864
38,1549.42,48.964
39,1549.496,51.606
40,1549.572,55.193
41,1549.64,60.945
42,1535.076,69.489
43,1549.804,62.017
44,1549.852,56.414
45,1549.908,53.106
46,1549.936,51.801
47,1549.988,49.82
48,1550.04,48.3
49,1550.088,47.071
50,1550.132,46.048
51,1550.176,45.178
52,1550.216,44.449
53,1550.252,43.804
54,1550.288,43.248
55,1550.324,42.763
56,1550.348,42.404
57,1550.38,42.013
58,1550.412,41.674
59,1550.444,41.365
60,1550.472,41.096
61,1550.496,40.858
62,1550.52,40.649
63,1550.54,40.451
64,1550.56,40.278
65,1550.584,40.132
66,1550.6,39.994
67,1550.624,39.872
68,1550.648,39.761
69,1550.668,39.665
70,1550.684,39.583
71,1550.696,39.512
72,1550.712,39.441
73,1550.728,39.372
74,1550.744,39.322
75,1550.756,39.282
76,1550.772,39.243
77,1550.784,39.212
78,1550.804,39.179
79,1550.812,39.157
80,1550.824,39.13
81,1550.836,39.116
82,1550.848,39.107
83,1550.86,39.1
84,1550.872,39.096
85,1550.884,39.086
86,1550.896,39.086
87,1550.908,39.091
88,1550.912,39.095
89,1550.924,39.096
90,1550.932,39.105
91,1550.944,39.118
92,1550.952,39.128
93,1550.964,39.139
94,1550.972,39.157
95,1550.984,39.174
96,1550.992,39.184
97,1550.996,39.204
98,1551.004,39.219
99,1551.012,39.234
100,1551.02,39.254
101,1551.028,39.273
102,1551.036,39.292
103,1551.044,39.316
104,1551.052,39.341
105,1551.06,39.36
106,1551.06,39.385
107,1551.068,39.406
108,1551.076,39.419
109,1551.084,39.439
110,1551.092,39.466
111,1551.096,39.492
112,1551.104,39.516
113,1551.112,39.539
114,1551.116,39.563
115,1551.124,39.593
116,1551.128,39.612
117,1551.136,39.639
118,1551.144,39.664
119,1551.148,39.69
120,1551.156,39.712
121,1551.16,39.731
122,1551.168,39.756
123,1551.168,39.783
124,1551.172,39.807
125,1551.176,39.831
126,1551.18,39.854
127,1551.188,39.877
128,1551.192,39.899
129,1551.196,39.924
130,1551.2,39.944
131,1551.204,39.97
132,1551.204,39.993
133,1551.208,40.013
134,1551.212,40.033
135,1551.216,40.054
136,1551.22,40.075
137,1551.224,40.101
138,1551.228,40.122
139,1551.228,40.143
140,1551.232,40.161
141,1551.232,40.188
142,1551.236,40.21
143,1551.236,40.229
144,1551.24,40.245
145,1551.24,40.268
146,1551.244,40.289
147,1551.248,40.311
148,1551.252,40.33
149,1551.252,40.346
150,1551.252,40.368
151,1551.252,40.388
152,1551.256,40.406
153,1551.256,40.43
154,1551.26,40.448
155,1551.264,40.461
156,1551.268,40.483
157,1551.268,40.498
158,1551.272,40.513
159,1551.272,40.533
160,1551.272,40.547
161,1551.276,40.565
162,1551.276,40.579
163,1551.28,40.598
164,1551.284,40.607
165,1551.288,40.627
166,1551.292,40.646
167,1551.288,40.662
168,1551.288,40.677
169,1551.292,40.693
170,1551.296,40.711
171,1551.296,40.725
172,1551.3,40.739
173,1551.304,40.757
174,1551.304,40.773
175,1551.308,40.785
176,1551.308,40.798
177,1551.308,40.821
178,1551.308,40.834
179,1551.312,40.848
180,1551.312,40.864
181,1551.316,40.878
182,1551.32,40.893
183,1551.32,40.906
184,1551.324,40.923
185,1551.32,40.94
186,1551.324,40.953
187,1551.324,40.964
188,1551.328,40.98
189,1551.328,40.996
190,1551.332,41.006
191,1551.336,41.017
192,1551.336,41.035
193,1551.332,41.047
194,1551.336,41.06
195,1551.34,41.072
196,1551.34,41.085
197,1551.34,41.097
198,1551.344,41.103
199,1551.348,41.124
200,1551.352,41.134
201,1551.352,41.143
202,1551.348,41.158
203,1551.352,41.174
204,1551.352,41.182
205,1551.356,41.194
206,1551.356,41.203
207,1551.36,41.217
208,1551.36,41.224
209,1551.364,41.238
210,1551.364,41.246
211,1551.364,41.258
212,1551.364,41.271
213,1551.364,41.282
214,1551.368,41.296
215,1551.368,41.305
216,1551.372,41.311
217,1551.372,41.327
218,1551.376,41.33
219,1551.376,41.348
220,1551.376,41.355
221,1551.376,41.366
222,1551.376,41.378
223,1551.376,41.392
224,1551.38,41.397
225,1551.384,41.411
226,1551.384,41.414
227,1551.384,41.431
228,1551.384,41.443
229,1551.388,41.454
230,1551.388,41.46
231,1551.388,41.477
232,1551.392,41.478
233,1551.396,41.497
234,1551.396,41.506
235,1551.396,41.511
236,1551.396,41.528
237,1551.396,41.537
238,1551.396,41.545
239,1551.396,41.553
240,1551.4,41.564
241,1551.4,41.572
242,1551.404,41.583
243,1551.404,41.592
244,1551.404,41.601
245,1551.408,41.611
246,1551.404,41.621
247,1551.404,41.628
248,1551.408,41.637
249,1551.408,41.645
250,1551.408,41.655
251,1551.408,41.667
252,1551.412,41.673
253,1551.412,41.69
254,1551.416,41.694
255,1551.412,41.702
256,1551.412,41.712
257,1551.412,41.722
258,1551.416,41.728
259,1551.416,41.742
260,1551.42,41.742
261,1551.42,41.755
262,1551.424,41.765
263,1551.424,41.778
264,1551.424,41.784
265,1551.424,41.786
266,1551.424,41.802
267,1551.424,41.811
268,1551.428,41.814
269,1551.428,41.827
270,1551.428,41.833
271,1551.432,41.837
272,1551.428,41.855
273,1551.428,41.864
274,1551.432,41.869
275,1551.432,41.874
276,1551.432,41.884
277,1551.436,41.892
278,1551.436,41.897
279,1551.44,41.909
280,1551.44,41.913
281,1551.44,41.924
282,1551.436,41.929
283,1551.44,41.941
284,1551.44,41.947
285,1551.44,41.955
286,1551.444,41.958
287,1551.444,41.969
288,1551.444,41.977
289,1551.444,41.982
290,1551.444,41.992
291,1551.448,41.999
292,1551.448,42.003
293,1551.448,42.012
294,1551.448,42.016
295,1551.448,42.026
296,1551.452,42.034
297,1551.452,42.037
298,1551.448,42.051
299,1551.452,42.051
300,1551.448,42.062
301,1551.452,42.067
302,1551.452,42.07
303,1551.452,42.086
304,1551.456,42.084
305,1551.456,42.092
306,1551.456,42.095
307,1551.452,42.106
308,1551.452,42.115
309,1551.456,42.12
310,1551.46,42.129
311,1551.46,42.137
312,1551.46,42.14
313,1551.46,42.151
314,1551.464,42.15
315,1551.46,42.16
316,1551.46,42.166
317,1551.464,42.171
318,1551.464,42.18
319,1551.464,42.184
320,1551.464,42.194
321,1551.468,42.2
322,1551.468,42.202
323,1551.468,42.211
324,1551.468,42.221
325,1551.468,42.229
326,1551.472,42.234
327,1551.472,42.243
328,1551.472,42.248
329,1551.472,42.255
330,1551.472,42.257
331,1551.476,42.263
332,1551.476,42.269
333,1551.472,42.276
334,1551.472,42.277
335,1551.472,42.287
336,1551.476,42.295
337,1551.476,42.297
338,1551.476,42.305
339,1551.476,42.311
340,1551.476,42.316
341,1551.48,42.32
342,1551.476,42.331
343,1551.476,42.334
344,1551.476,42.34
345,1551.48,42.349
346,1551.48,42.35
347,1551.484,42.354
348,1551.484,42.357
349,1551.484,42.368
350,1551.48,42.372
351,1551.48,42.375
352,1551.484,42.383
353,1551.484,42.393
354,1551.484,42.398
355,1551.488,42.403
356,1551.488,42.408
357,1551.488,42.41
358,1551.492,42.42
359,1551.488,42.419
360,1551.488,42.423
361,1551.488,42.428
362,1551.488,42.439
363,1551.488,42.441
364,1551.488,42.445
365,1551.488,42.453
366,1551.492,42.456
367,1551.492,42.459
368,1551.488,42.464
369,1551.492,42.473
370,1551.492,42.477
371,1551.492,42.478
372,1551.492,42.486
373,1551.496,42.491
374,1551.496,42.488
375,1551.496,42.496
376,1551.496,42.501
377,1551.496,42.512
378,1551.496,42.509
379,1551.5,42.517
380,1551.5,42.522
381,1551.5,42.527
382,1551.5,42.538
383,1551.5,42.542
384,1551.504,42.548
385,1551.5,42.554
386,1551.5,42.556
387,1551.5,42.565
388,1551.5,42.573
389,1551.504,42.569
390,1551.504,42.578
391,1551.504,42.586
392,1551.508,42.59
393,1551.508,42.594
394,1551.504,42.604
395,1551.504,42.61
396,1551.508,42.611
397,1551.508,42.616
398,1551.508,42.621
399,1551.508,42.626
400,1551.508,42.632
401,1551.512,42.636
402,1551.512,42.639
403,1551.508,42.645
404,1551.508,42.658
405,1551.512,42.656
406,1551.512,42.661
407,1551.512,42.663
408,1551.516,42.671
409,1551.516,42.675
410,1551.516,42.682
411,1551.512,42.681
412,1551.516,42.69
413,1551.516,42.687
414,1551.516,42.694
415,1551.516,42.696
416,1551.52,42.706
417,1551.52,42.707
418,1551.52,42.714
419,1551.52,42.715
420,1551.516,42.721
421,1551.52,42.723
422,1551.52,42.734
423,1551.52,42.737
424,1551.524,42.74
425,1551.524,42.742
426,1551.524,42.753
427,1551.524,42.756
428,1551.524,42.756
429,1551.524,42.765
430,1551.524,42.766
431,1551.524,42.767
432,1551.524,42.773
433,1551.528,42.785
434,1551.528,42.783
435,1551.528,42.789
436,1551.528,42.792
437,1551.528,42.8
438,1551.528,42.804
439,1551.528,42.804
440,1551.532,42.811
441,1551.532,42.815
442,1551.532,42.818
443,1551.532,42.815
444,1551.532,42.822
445,1551.536,42.829
446,1551.532,42.828
447,1551.532,42.834
448,1551.532,42.832
449,1551.532,42.844
450,1551.536,42.848
451,1551.536,42.85
452,1551.536,42.857
453,1551.54,42.862
454,1551.54,42.859
455,1551.536,42.867
456,1551.536,42.866
457,1551.536,42.871
458,1551.54,42.881
459,1551.54,42.875
460,1551.54,42.884
461,1551.54,42.888
462,1551.54,42.89
463,1551.54,42.898
464,1551.54,42.901
465,1551.54,42.907
466,1551.54,42.905
467,1551.54,42.914
468,1551.544,42.914
469,1551.544,42.919
470,1551.544,42.924
471,1551.544,42.928
472,1551.544,42.933
473,1551.544,42.934
474,1551.544,42.937
475,1551.544,42.944
476,1551.548,42.943
477,1551.548,42.945
478,1551.548,42.944
479,1551.548,42.958
480,1551.548,42.954
481,1551.548,42.969
482,1551.548,42.971
483,1551.548,42.964
484,1551.548,42.971
485,1551.548,42.977
486,1551.552,42.978
487,1551.552,42.987
488,1551.552,42.988
489,1551.552,42.992
490,1551.552,42.999
491,1551.552,43.0
492,1551.552,43.002
493,1551.552,42.999
494,1551.552,43.013
495,1551.556,43.015
496,1551.556,43.014
497,1551.556,43.02
498,1551.552,43.025
499,1551.556,43.023
500,1551.556,43.025
501,1551.556,43.035
502,1551.56,43.039
503,1551.56,43.043
504,1551.56,43.041
505,1551.56,43.045
506,1551.56,43.051
507,1551.556,43.06
508,1551.56,43.061
509,1551.56,43.053
510,1551.56,43.063
511,1551.56,43.065
512,1551.56,43.071
513,1551.564,43.073
514,1551.564,43.076
515,1551.564,43.079
516,1551.564,43.087
517,1551.564,43.091
518,1551.564,43.094
519,1551.564,43.094
520,1551.564,43.099
521,1551.564,43.099
522,1551.568,43.105
523,1551.568,43.103
524,1551.564,43.109
525,1551.564,43.113
526,1551.564,43.122
527,1551.568,43.119
528,1551.568,43.12
529,1551.568,43.126
530,1551.568,43.129
531,1551.572,43.131
532,1551.572,43.137
533,1551.568,43.142
534,1551.568,43.141
535,1551.568,43.143
536,1551.568,43.149
537,1551.572,43.151
538,1551.572,43.15
539,1551.572,43.155
540,1551.576,43.157
541,1551.576,43.159
542,1551.572,43.16
543,1551.572,43.167
544,1551.572,43.166
545,1551.572,43.169
546,1551.576,43.174
547,1551.576,43.173
548,1551.576,43.178
549,1551.576,43.179
550,1551.572,43.184
551,1551.576,43.189
552,1551.576,43.192
553,1551.576,43.193
554,1551.576,43.198
