,350,450,550,650,750,850
0,1543.1774,1544.6157,1546.0846,1547.6091,1549.1709,1550.7825
1,1543.1742,1544.6157,1546.083,1547.6099,1549.1725,1550.7817
2,1543.1711,1544.6165,1546.083,1547.6091,1549.1709,1550.7817
3,1543.175,1544.6165,1546.0854,1547.6083,1549.1709,1550.7817
4,1543.175,1544.6165,1546.0838,1547.6083,1549.1725,1550.7809
5,1543.1742,1544.6133,1546.0838,1547.6091,1549.1717,1550.7809
6,1543.1742,1544.6141,1546.0854,1547.6083,1549.1717,1550.7809
7,1543.1758,1544.6149,1546.0838,1547.6091,1549.1725,1550.7817
8,1543.1758,1544.6157,1546.0838,1547.6083,1549.1725,1550.7825
9,1543.1742,1544.6157,1546.083,1547.6083,1549.1725,1550.7809
10,1543.1718,1544.6165,1546.0846,1547.6083,1549.1725,1550.7825
11,1543.1766,1544.6165,1546.0854,1547.6075,1549.1725,1550.7817
12,1543.1742,1544.6149,1546.083,1547.6083,1549.1733,1550.7801
13,1543.1718,1544.6141,1546.0838,1547.6067,1549.1717,1550.7817
14,1543.1726,1544.6173,1546.0846,1547.6075,1549.1709,1550.7801
15,1543.1703,1544.6133,1546.0838,1547.6067,1549.1725,1550.7809
16,1543.1766,1544.6125,1546.0846,1547.6075,1549.1717,1550.7817
17,1543.1734,1544.6141,1546.083,1547.6059,1549.1717,1550.7809
18,1543.1742,1544.6133,1546.0854,1547.6067,1549.1725,1550.7793
19,1543.1782,1544.6141,1546.0854,1547.6075,1549.1709,1550.7817
20,1543.1742,1544.6141,1546.083,1547.6067,1549.1725,1550.7793
21,1543.1742,1544.6133,1546.0838,1547.6067,1549.1725,1550.7801
22,1543.175,1544.6141,1546.0846,1547.6067,1549.1733,1550.7809
23,1543.1758,1544.6125,1546.0846,1547.6067,1549.1725,1550.7801
24,1543.1726,1544.6149,1546.0822,1547.6075,1549.1733,1550.7801
25,1543.1734,1544.6117,1546.0846,1547.6083,1549.1733,1550.7817
26,1543.1726,1544.6109,1546.0854,1547.6083,1549.1725,1550.7801
27,1543.1726,1544.6109,1546.0862,1547.6083,1549.1725,1550.7809
28,1543.1742,1544.6133,1546.0854,1547.6075,1549.1725,1550.7809
29,1543.1734,1544.6141,1546.0838,1547.6067,1549.1733,1550.7793
30,1543.1695,1544.6125,1546.0838,1547.6083,1549.1733,1550.7793
31,1543.1703,1544.6141,1546.0846,1547.6091,1549.1733,1550.7817
32,1543.1726,1544.6102,1546.0862,1547.6083,1549.1733,1550.7801
33,1543.1766,1544.6117,1546.0854,1547.6075,1549.1717,1550.7825
34,1543.1726,1544.6125,1546.0862,1547.6067,1549.1741,1550.7817
35,1543.1758,1544.6109,1546.0854,1547.6083,1549.1733,1550.7825
36,1543.1734,1544.6125,1546.087,1547.6083,1549.1733,1550.7817
37,1543.1726,1544.6109,1546.0854,1547.6091,1549.1733,1550.7817
38,1543.1726,1544.6109,1546.0862,1547.6083,1549.1741,1550.7809
39,1543.1718,1544.6102,1546.0862,1547.6075,1549.1741,1550.7809
40,1543.1734,1544.6125,1546.0846,1547.6075,1549.1741,1550.7801
41,1543.1718,1544.6117,1546.0862,1547.6083,1549.1733,1550.7817
42,1543.1726,1544.6125,1546.0862,1547.6075,1549.1741,1550.7793
43,1543.1742,1544.6117,1546.0862,1547.6083,1549.1733,1550.7809
44,1543.1742,1544.6117,1546.0854,1547.6083,1549.1725,1550.7809
45,1543.1726,1544.6125,1546.0846,1547.6075,1549.1733,1550.7793
46,1543.1742,1544.6109,1546.0854,1547.6083,1549.1733,1550.7809
47,1543.1758,1544.6117,1546.0854,1547.6083,1549.1741,1550.7793
48,1543.1742,1544.6117,1546.0862,1547.6075,1549.1725,1550.7809
49,1543.1726,1544.6086,1546.0846,1547.6083,1549.1749,1550.7801
50,1543.175,1544.6133,1546.0854,1547.6091,1549.1741,1550.7809
51,1543.1742,1544.6094,1546.0854,1547.6075,1549.1741,1550.7809
52,1543.1711,1544.6102,1546.087,1547.6083,1549.1741,1550.7809
53,1543.1726,1544.6102,1546.0862,1547.6091,1549.1733,1550.7793
54,1543.1742,1544.6086,1546.087,1547.6083,1549.1733,1550.7809
55,1543.1742,1544.6109,1546.0862,1547.6075,1549.1733,1550.7817
56,1543.175,1544.6109,1546.0886,1547.6075,1549.1725,1550.7817
57,1543.1734,1544.6094,1546.087,1547.6075,1549.1741,1550.7825
58,1543.1711,1544.6102,1546.087,1547.6075,1549.1733,1550.7809
59,1543.1711,1544.6078,1546.0878,1547.6075,1549.1717,1550.7801
60,1543.1734,1544.6078,1546.087,1547.6083,1549.1725,1550.7817
61,1543.1734,1544.6102,1546.087,1547.6083,1549.1733,1550.7817
62,1543.1711,1544.6102,1546.0878,1547.6083,1549.1733,1550.7825
63,1543.1742,1544.607,1546.0886,1547.6091,1549.1733,1550.7801
64,1543.175,1544.6094,1546.087,1547.6075,1549.1725,1550.7809
65,1543.1711,1544.6102,1546.0886,1547.6075,1549.1725,1550.7825
66,1543.1711,1544.6094,1546.0886,1547.6067,1549.1709,1550.7809
67,1543.1726,1544.6062,1546.0878,1547.6059,1549.1725,1550.7809
68,1543.1726,1544.6086,1546.0878,1547.6083,1549.1733,1550.7809
69,1543.1734,1544.6102,1546.0878,1547.6075,1549.1725,1550.7817
70,1543.1742,1544.6094,1546.0878,1547.6083,1549.1725,1550.7825
71,1543.1734,1544.6078,1546.0886,1547.6067,1549.1717,1550.7833
72,1543.1711,1544.6078,1546.0878,1547.6083,1549.1725,1550.7817
73,1543.1711,1544.6094,1546.0886,1547.6083,1549.1741,1550.7817
74,1543.1711,1544.6086,1546.0894,1547.6067,1549.1733,1550.7825
75,1543.1734,1544.6086,1546.0894,1547.6075,1549.1725,1550.7817
76,1543.175,1544.6078,1546.0854,1547.6075,1549.1725,1550.7825
