,time,ctwl
0,2022/7/30 11:24:39,1542.1351
1,2022/7/30 11:24:49,1542.1129
2,2022/7/30 11:24:59,1542.105
3,2022/7/30 11:25:09,1542.0979
4,2022/7/30 11:25:19,1542.0907
5,2022/7/30 11:25:29,1542.078
6,2022/7/30 11:25:39,1542.0709
7,2022/7/30 11:25:49,1542.0614
8,2022/7/30 11:25:59,1542.0479
9,2022/7/30 11:26:09,1542.0455
10,2022/7/30 11:26:19,1542.0304
11,2022/7/30 11:26:29,1542.0225
12,2022/7/30 11:26:39,1542.013
13,2022/7/30 11:26:49,1542.0066
14,2022/7/30 11:26:59,1541.9924
15,2022/7/30 11:27:09,1541.9852
16,2022/7/30 11:27:19,1541.9797
17,2022/7/30 11:27:29,1541.9757
18,2022/7/30 11:27:39,1541.9662
19,2022/7/30 11:27:49,1541.9519
20,2022/7/30 11:27:59,1541.9472
21,2022/7/30 11:28:09,1541.94
22,2022/7/30 11:28:19,1541.9329
23,2022/7/30 11:28:29,1541.9249
24,2022/7/30 11:28:39,1541.9154
25,2022/7/30 11:28:49,1541.9035
26,2022/7/30 11:28:59,1541.898
27,2022/7/30 11:29:09,1541.8869
28,2022/7/30 11:29:19,1541.8869
29,2022/7/30 11:29:29,1541.8734
30,2022/7/30 11:29:39,1541.8623
31,2022/7/30 11:29:49,1541.8607
32,2022/7/30 11:29:59,1541.8575
33,2022/7/30 11:30:09,1541.8528
34,2022/7/30 11:30:19,1541.8401
35,2022/7/30 11:30:29,1541.8353
36,2022/7/30 11:30:39,1541.829
37,2022/7/30 11:30:49,1541.8195
38,2022/7/30 11:30:59,1541.8147
39,2022/7/30 11:31:09,1541.8012
40,2022/7/30 11:31:19,1541.7973
41,2022/7/30 11:31:29,1541.7917
42,2022/7/30 11:31:39,1541.7854
43,2022/7/30 11:31:49,1541.7917
44,2022/7/30 11:31:59,1541.7886
45,2022/7/30 11:32:09,1541.7997
46,2022/7/30 11:32:19,1541.8298
47,2022/7/30 11:32:29,1541.8615
48,2022/7/30 11:32:39,1541.9123
49,2022/7/30 11:32:49,1541.9606
50,2022/7/30 11:32:59,1542.0082
51,2022/7/30 11:33:09,1542.0756
52,2022/7/30 11:33:19,1542.1312
53,2022/7/30 11:33:29,1542.1946
54,2022/7/30 11:33:39,1542.2494
55,2022/7/30 11:33:49,1542.3081
56,2022/7/30 11:33:59,1542.3708
57,2022/7/30 11:34:09,1542.4406
58,2022/7/30 11:34:19,1542.4954
59,2022/7/30 11:34:29,1542.5366
60,2022/7/30 11:34:39,1542.5985
61,2022/7/30 11:34:49,1542.6343
62,2022/7/30 11:34:59,1542.6732
63,2022/7/30 11:35:09,1542.7041
64,2022/7/30 11:35:19,1542.7287
65,2022/7/30 11:35:29,1542.7549
66,2022/7/30 11:35:39,1542.7748
67,2022/7/30 11:35:49,1542.7946
68,2022/7/30 11:35:59,1542.8065
69,2022/7/30 11:36:09,1542.824
70,2022/7/30 11:36:19,1542.8312
71,2022/7/30 11:36:29,1542.8407
72,2022/7/30 11:36:39,1542.8502
73,2022/7/30 11:36:49,1542.855
74,2022/7/30 11:36:59,1542.8605
75,2022/7/30 11:37:09,1542.8621
76,2022/7/30 11:37:19,1542.8621
77,2022/7/30 11:37:29,1542.8613
78,2022/7/30 11:37:39,1542.8645
79,2022/7/30 11:37:49,1542.8621
80,2022/7/30 11:37:59,1542.8558
81,2022/7/30 11:38:09,1542.855
82,2022/7/30 11:38:19,1542.8454
83,2022/7/30 11:38:29,1542.8431
84,2022/7/30 11:38:39,1542.8367
85,2022/7/30 11:38:49,1542.8312
86,2022/7/30 11:38:59,1542.824
87,2022/7/30 11:39:09,1542.8137
88,2022/7/30 11:39:19,1542.8057
89,2022/7/30 11:39:29,1542.797
90,2022/7/30 11:39:39,1542.7891
91,2022/7/30 11:39:49,1542.778
92,2022/7/30 11:39:59,1542.766
93,2022/7/30 11:40:09,1542.7565
94,2022/7/30 11:40:19,1542.7462
95,2022/7/30 11:40:29,1542.7351
96,2022/7/30 11:40:39,1542.7271
97,2022/7/30 11:40:49,1542.7176
98,2022/7/30 11:40:59,1542.7049
99,2022/7/30 11:41:09,1542.6946
100,2022/7/30 11:41:19,1542.6763
101,2022/7/30 11:41:29,1542.6676
102,2022/7/30 11:41:39,1542.6581
103,2022/7/30 11:41:49,1542.6454
104,2022/7/30 11:41:59,1542.6359
