,ctwl/nm,transmissionDepth/dB,r/%,n_ac,n_dc
0,1536.019374,14.23916835,0.962322406,0.000118308,
1,1536.019381,14.24664323,0.962387199,0.000118352,
2,1536.025498,13.91685442,0.959419765,0.00011638,
3,1536.027573,11.42027271,0.92789378,0.000101322,
4,1536.025411,13.91633117,0.959414875,0.000116377,
5,1536.029745,17.47291573,0.982105959,0.000134796,
6,1536.021288,11.96539839,0.936399554,0.000104632,
7,1536.028825,17.47799997,0.982126895,0.000134795,
8,1536.030908,15.1419565,0.969394157,0.000123695,
9,1536.01544,10.23768072,0.905325738,9.41E-05,
10,1536.020292,11.95546058,0.936253853,0.000104572,
11,1536.022272,15.53950322,0.972071367,0.00012606,
12,1536.028111,17.447989,0.982002959,0.000134795,
13,1536.039771,17.51156425,0.982264494,0.000134796,
14,1536.730439,11.16407093,0.92351207,9.98E-05,
15,1537.58323,11.03820283,0.921262845,9.91E-05,
16,1538.400796,15.31121242,0.970564002,0.000124895,
17,1539.423448,13.49123859,0.955241436,0.000114081,
18,1540.592358,9.460388115,0.886770083,8.95E-05,
19,1541.927749,9.554507391,0.889197576,9.02E-05,
20,1543.441219,3.382181015,0.541032537,4.81E-05,
21,1545.011538,4.433054013,0.639674831,5.63E-05,
22,1546.15249,3.147723265,0.515573745,4.63E-05,
23,1546.954161,1.026380144,0.210482091,2.54E-05,
24,1547.388162,4.683319485,0.659851898,5.82E-05,
25,1547.701934,1.424450884,0.279631172,3.02E-05,
26,1547.94221,2.567122439,0.446283129,4.14E-05,
27,1548.137001,0.26268895,0.058693397,1.27E-05,
28,1548.297226,0.483275745,0.105310325,1.73E-05,
29,1548.419103,1.5337596,0.297536052,3.14E-05,
30,1548.47471,0.419471511,0.092068991,1.61E-05,
31,1548.58588,0.872357523,0.181979387,2.34E-05,
32,1548.656865,5.560145024,0.722037955,6.45E-05,
33,1550.50482,1.202984419,0.241943531,2.77E-05,
34,1549.056,0.705,0.149841307,2.10E-05,
35,1548.304817,2.407403663,0.425540212,4.00E-05,
36,1548.682143,1.380915134,0.272373535,2.97E-05,
37,1549.014648,5.551469788,0.721482158,6.44E-05,
38,1536.208428,1.283187444,0.255814411,2.84E-05,
39,1536.219622,3.564572987,0.559908783,4.94E-05,
40,1536.223415,1.405594851,0.276496702,2.98E-05,
41,1536.214698,0.697393879,0.148351056,2.07E-05,
42,1536.212273,0.695202484,0.147921217,2.07E-05,
43,1536.206191,0.953333813,0.197090459,2.43E-05,
44,1536.195774,2.402932011,0.424948423,3.97E-05,
45,1536.208826,0.749649596,0.158536969,2.15E-05,
46,1536.207713,1.284225718,0.255992303,2.84E-05,
47,1536.179835,0.144224529,0.032663562,9.31E-06,
48,1536.214062,1.834379224,0.344516027,3.43E-05,
49,1549.517443,36.02455567,0.999750228,0.000135979,
50,1547.355008,0.885748663,0.184497806,2.36E-05,
51,1549.413557,4.134521416,0.614035058,5.42E-05,
52,1548.056216,1.542284624,0.298913608,3.15E-05,
53,1549.553483,4.720288371,0.662735086,5.85E-05,
54,1549.41034,11.88091002,0.935150147,0.000105028,
55,1549.518573,8.40369378,0.855578909,8.34E-05,
56,1550.771709,0.998918423,0.205473919,2.51E-05,
57,1550.740408,0.27841142,0.062094985,1.31E-05,
58,1550.711098,1.047778059,0.21436252,2.58E-05,
59,1550.748106,1.663252326,0.318172101,3.28E-05,
60,1550.733511,1.90343679,0.354856507,3.53E-05,
61,1550.730812,0.156070568,0.035298524,9.78E-06,
62,1550.769738,0.54883545,0.118714844,1.85E-05,
63,1550.757827,2.861790745,0.482606551,4.41E-05,
64,1550.800694,1.080288901,0.220221764,2.62E-05,
65,1550.833729,1.946038694,0.361154072,3.57E-05,
66,1550.846124,2.041266258,0.37500956,3.66E-05,
67,1550.844599,3.646679167,0.568150836,5.05E-05,
68,1550.881735,0.352361913,0.077930177,1.47E-05,
69,1550.889189,0.812336217,0.170595517,2.26E-05,
70,1550.893014,1.376235344,0.27158905,2.97E-05,
71,1550.924449,0.357199036,0.078956597,1.48E-05,
72,1550.929423,0.656657463,0.140325086,2.02E-05,
73,1550.92834,0.533122261,0.115520495,1.82E-05,
74,1550.943403,3.934794764,0.595870528,5.27E-05,
75,1550.937946,3.125838769,0.513126516,4.63E-05,
76,1550.978574,1.729376137,0.328474689,3.35E-05,
77,1550.990476,0.166681593,0.037652681,1.01E-05,
78,1551.025517,1.050397634,0.214836257,2.58E-05,
79,1551.046398,1.480971007,0.288945484,3.09E-05,
80,1551.019674,1.054732881,0.215619638,2.59E-05,
81,1551.029118,2.774493368,0.472101214,4.33E-05,
82,1551.042857,2.057288092,0.377311004,3.68E-05,
