,temperature,time,ctwl/nm,thresh/dBm,notch/dB,reflection/%
0,59.38,2022/8/23 0:26,1532.6524,-41.3442,55.2833,99.99970374
1,62.26,2022/8/23 0:27,1532.6674,-41.3634,54.669,99.99965873
2,75.36,2022/8/23 0:27,1532.7115,-41.3657,55.9008,99.99974301
3,89.31,2022/8/23 0:28,1532.8375,-41.0659,55.6745,99.99972926
4,101.6,2022/8/23 0:28,1532.9685,-40.9519,55.2118,99.99969882
5,113.1,2022/8/23 0:29,1533.0858,-41.3829,54.2218,99.99962171
6,124.6,2022/8/23 0:29,1533.1646,-41.4347,55.1027,99.99969116
7,137,2022/8/23 0:30,1533.2859,-41.514,54.2459,99.99962381
8,150.5,2022/8/23 0:30,1533.3861,-41.6114,56.1237,99.99975587
9,164.6,2022/8/23 0:31,1533.5124,-41.7216,55.54,99.99972075
10,178.6,2022/8/23 0:31,1533.6301,-41.8034,59.2517,99.9998812
11,192.5,2022/8/23 0:32,1533.7646,-41.8893,54.4057,99.9996374
12,206.5,2022/8/23 0:32,1533.8729,-41.9896,54.9661,99.99968129
13,220.5,2022/8/23 0:33,1534.0313,-42.078,55.4569,99.99971535
14,234.6,2022/8/23 0:33,1534.1618,-42.1886,53.6209,99.99956558
15,248.7,2022/8/23 0:34,1534.297,-42.2903,53.1971,99.99952105
16,262.8,2022/8/23 0:34,1534.4372,-42.4019,52.4967,99.99943723
17,276.8,2022/8/23 0:35,1534.5602,-42.5146,50.8457,99.99917694
18,291.1,2022/8/23 0:35,1534.6925,-42.6069,50.3983,99.99908763
19,305.5,2022/8/23 0:36,1534.8402,-42.7085,50.5101,99.99911082
20,320,2022/8/23 0:36,1534.9728,-42.807,49.5788,99.99889816
21,334.4,2022/8/23 0:37,1535.1998,-42.7121,47.9691,99.99840379
22,349,2022/8/23 0:37,1535.3139,-42.7635,46.4588,99.99773994
23,364,2022/8/23 0:38,1535.4809,-42.8382,45.3443,99.99707874
24,378.8,2022/8/23 0:38,1535.6669,-42.9213,44.8166,99.99670132
25,393.7,2022/8/23 0:39,1535.8284,-42.9725,43.6436,99.99567845
26,408.7,2022/8/23 0:39,1535.9933,-43.0366,42.5793,99.99447834
27,423.8,2022/8/23 0:40,1536.1931,-43.0899,41.5578,99.99301414
28,438.5,2022/8/23 0:40,1536.3767,-43.0858,40.8698,99.99181498
29,453.2,2022/8/23 0:41,1536.5568,-43.1152,39.8752,99.98970847
30,468.2,2022/8/23 0:41,1536.7403,-43.0877,38.9388,99.98723208
31,483,2022/8/23 0:42,1536.9467,-43.1083,37.8563,99.98361788
32,497.9,2022/8/23 0:42,1537.1066,-43.1282,36.8732,99.97945624
33,512.8,2022/8/23 0:43,1537.3475,-43.1006,35.759,99.97344783
34,527.4,2022/8/23 0:43,1537.5632,-43.0977,34.5729,99.96510927
35,542.4,2022/8/23 0:44,1537.7678,-43.0962,33.3477,99.9537374
36,557.4,2022/8/23 0:44,1537.9554,-43.0939,32.0644,99.93783299
37,572.3,2022/8/23 0:45,1538.1894,-43.0816,30.7971,99.91676806
38,587,2022/8/23 0:45,1538.3788,-43.0792,29.4265,99.88588309
39,601.6,2022/8/23 0:46,1538.5701,-43.0847,28.1705,99.84761227
40,616.2,2022/8/23 0:46,1538.7882,-43.0033,26.9032,99.79597659
41,630.8,2022/8/23 0:47,1539.0185,-43.0102,25.6074,99.72504603
42,645.5,2022/8/23 0:47,1539.1554,-43.0187,24.3785,99.63512005
43,660,2022/8/23 0:48,1539.3617,-43.0261,23.2177,99.52331663
44,674.7,2022/8/23 0:48,1539.5606,-43.024,22.0506,99.37635133
45,689.7,2022/8/23 0:49,1539.7433,-43.0359,20.9198,99.19086684
46,704.5,2022/8/23 0:49,1539.9596,-43.0439,19.84,98.96247158
47,719.1,2022/8/23 0:50,1540.1455,-43.0671,18.8103,98.68486602
48,733.6,2022/8/23 0:50,1540.3572,-43.0286,17.7871,98.33547624
49,748.4,2022/8/23 0:51,1540.541,-43.0505,16.7782,97.90019
50,763,2022/8/23 0:51,1540.7495,-43.0832,15.8347,97.39066404
51,777.9,2022/8/23 0:52,1540.954,-43.1256,14.8803,96.74935158
52,792.6,2022/8/23 0:52,1541.1511,-43.1841,13.9455,95.96865469
53,807.3,2022/8/23 0:53,1541.3602,-43.2544,13.0996,95.10176068
54,822.3,2022/8/23 0:53,1541.554,-43.3345,12.1909,93.96176516
55,836.7,2022/8/23 0:54,1541.7617,-43.4334,11.3812,92.72421261
56,851.7,2022/8/23 0:54,1541.9635,-43.5611,10.5303,91.1494553
57,865.9,2022/8/23 0:55,1542.1685,-43.7068,9.6477,89.15498892
58,880.2,2022/8/23 0:55,1542.3693,-43.8707,8.7643,86.70862228
59,894.7,2022/8/23 0:56,1542.5751,-44.0788,7.8154,83.46287535
60,909.1,2022/8/23 0:56,1542.785,-44.3558,6.9112,79.635207
61,923.5,2022/8/23 0:57,1543.0549,-44.8509,5.9077,74.34157467
62,937.7,2022/8/23 0:57,1543.204,-45.2333,4.8796,67.48827596
63,952.1,2022/8/23 0:58,1543.4297,-45.9294,3.8314,58.61337614
64,966,2022/8/23 0:58,1543.6607,-46.9091,2.8326,47.91172203
65,979.7,2022/8/23 0:59,1543.9188,-48.3107,1.9306,35.88790037
66,990.8,2022/8/23 0:59,1544.1905,-50.3035,1.1834,23.85173721
67,996.4,2022/8/23 1:00,1544.4626,-52.9984,0.6754,14.40271299
68,1000,2022/8/23 1:00,1544.7131,-56.4111,0.3533,7.812932532
69,1003,2022/8/23 1:01,1544.9255,-60.5545,0.2061,4.634783293
70,1004,2022/8/23 1:01,1545.1034,-65.5954,0.1366,3.09638026
71,1006,2022/8/23 1:02,1545.2458,-72.329,0.1169,2.655818004
72,1007,2022/8/23 1:02,1538.0571,-77.6758,0.1174,2.667024522
73,1007,2022/8/23 1:03,1545.5931,-74.1849,0.1175,2.669265671
74,1008,2022/8/23 1:03,1545.6585,-70.0599,0.1193,2.709597526
75,1008,2022/8/23 1:04,1545.7392,-67.2954,0.1269,2.87970341
76,1008,2022/8/23 1:04,1545.7928,-65.5671,0.1347,3.053976507
77,1008,2022/8/23 1:05,1545.8216,-64.4097,0.143,3.239077542
78,1008,2022/8/23 1:05,1545.8491,-63.4339,0.1566,3.54161195
79,1008,2022/8/23 1:06,1545.8752,-62.7296,0.1649,3.725781932
80,1007,2022/8/23 1:06,1545.9034,-62.1766,0.169,3.816627671
81,1007,2022/8/23 1:07,1545.9261,-61.987,0.1699,3.836557942
82,1007,2022/8/23 1:07,1545.9377,-62.0427,0.1682,3.798908407
83,1007,2022/8/23 1:08,1545.9478,-62.2296,0.1629,3.681435806
84,1007,2022/8/23 1:08,1545.9563,-62.8043,0.1575,3.561599207
85,1007,2022/8/23 1:09,1545.9633,-63.612,0.1473,3.33483424
86,1007,2022/8/23 1:09,1545.9663,-64.2533,0.1396,3.163295795
87,1007,2022/8/23 1:10,1545.9715,-65.3648,0.1322,2.998153825
88,1007,2022/8/23 1:10,1545.9737,-65.9593,0.1271,2.884175862
89,1007,2022/8/23 1:11,1545.976,-67.0434,0.1209,2.745434033
90,1007,2022/8/23 1:11,1545.9778,-68.2995,0.121,2.747673376
91,1007,2022/8/23 1:12,1545.9729,-69.4233,0.1197,2.71855789
92,1007,2022/8/23 1:12,1545.9732,-70.1535,0.1201,2.72751743
93,1007,2022/8/23 1:13,1545.9722,-71.3108,0.1227,2.785734325
94,1007,2022/8/23 1:13,1545.9724,-71.7367,0.1238,2.81035406
95,1007,2022/8/23 1:14,1545.9732,-73.0175,0.1235,2.803640206
96,1007,2022/8/23 1:14,1545.9697,-73.3959,0.12,2.725277622
97,1007,2022/8/23 1:15,1545.9751,-74.2513,0.1185,2.691674321
98,1007,2022/8/23 1:15,1545.9824,-75.1483,0.1206,2.738715694
99,1006,2022/8/23 1:16,1537.8484,-75.5344,0.1178,2.675988808
100,1006,2022/8/23 1:16,1537.7414,-76.8661,0.1192,2.707357306
101,1006,2022/8/23 1:17,1535.3846,-78.6732,0.1217,2.763347336
102,1006,2022/8/23 1:17,1539.2203,-77.7555,0.1205,2.736476144
103,1006,2022/8/23 1:18,1537.8252,-78.3693,0.1182,2.684952268
104,1006,2022/8/23 1:18,1537.9885,-78.1116,0.1196,2.716317877
105,1006,2022/8/23 1:19,1538.5301,-77.9566,0.1179,2.67822975
106,1006,2022/8/23 1:19,1537.7586,-79.018,0.1187,2.696155432
107,1006,2022/8/23 1:20,1537.5174,-78.2282,0.1217,2.763347336
108,1006,2022/8/23 1:20,1537.9604,-77.9466,0.1192,2.707357306
109,1006,2022/8/23 1:21,1537.5259,-79.5676,0.1197,2.71855789
110,1006,2022/8/23 1:21,1537.5245,-79.6438,0.1207,2.740955192
111,1006,2022/8/23 1:22,1537.4915,-78.8689,0.118,2.680470641
