,time,ctwl
0,2022/08/24 11:46:53,1534.0726
1,2022/08/24 11:46:59,1534.0734
2,2022/08/24 11:47:05,1534.071
3,2022/08/24 11:47:11,1534.06
4,2022/08/24 11:47:17,1534.0836
5,2022/08/24 11:47:23,1534.0836
6,2022/08/24 11:47:29,1534.082
7,2022/08/24 11:47:35,1534.0852
8,2022/08/24 11:47:41,1534.086
9,2022/08/24 11:47:47,1534.086
10,2022/08/24 11:47:53,1534.0938
11,2022/08/24 11:47:59,1534.1056
12,2022/08/24 11:48:05,1534.1229
13,2022/08/24 11:48:11,1534.1401
14,2022/08/24 11:48:17,1534.1715
15,2022/08/24 11:48:23,1534.2037
16,2022/08/24 11:48:29,1534.239
17,2022/08/24 11:48:35,1534.2775
18,2022/08/24 11:48:41,1534.305
19,2022/08/24 11:48:47,1534.3411
20,2022/08/24 11:48:53,1534.3686
21,2022/08/24 11:48:59,1534.4024
22,2022/08/24 11:49:05,1534.4283
23,2022/08/24 11:49:11,1534.4558
24,2022/08/24 11:49:17,1534.4817
25,2022/08/24 11:49:23,1534.4982
26,2022/08/24 11:49:29,1534.5265
27,2022/08/24 11:49:35,1534.5524
28,2022/08/24 11:49:41,1534.5657
29,2022/08/24 11:49:47,1534.5846
30,2022/08/24 11:49:53,1534.6105
31,2022/08/24 11:49:59,1534.6357
32,2022/08/24 11:50:05,1534.6427
33,2022/08/24 11:50:11,1534.6687
34,2022/08/24 11:50:17,1534.7087
35,2022/08/24 11:50:23,1534.7032
36,2022/08/24 11:50:29,1534.7331
37,2022/08/24 11:50:35,1534.7653
38,2022/08/24 11:50:41,1534.7787
39,2022/08/24 11:50:47,1534.8054
40,2022/08/24 11:50:53,1534.8344
41,2022/08/24 11:50:59,1534.8627
42,2022/08/24 11:51:05,1534.8965
43,2022/08/24 11:51:11,1534.9162
44,2022/08/24 11:51:17,1534.9342
45,2022/08/24 11:51:23,1534.9625
46,2022/08/24 11:51:29,1534.9783
47,2022/08/24 11:51:35,1535.0223
48,2022/08/24 11:51:41,1535.049
49,2022/08/24 11:51:47,1535.0804
50,2022/08/24 11:51:53,1535.1244
51,2022/08/24 11:51:59,1535.1535
52,2022/08/24 11:52:05,1535.1795
53,2022/08/24 11:52:11,1535.218
54,2022/08/24 11:52:17,1535.2471
55,2022/08/24 11:52:23,1535.2833
56,2022/08/24 11:52:29,1535.2982
57,2022/08/24 11:52:35,1535.3517
58,2022/08/24 11:52:41,1535.3949
59,2022/08/24 11:52:47,1535.4036
60,2022/08/24 11:52:53,1535.4641
61,2022/08/24 11:52:59,1535.4775
62,2022/08/24 11:53:05,1535.5255
63,2022/08/24 11:53:11,1535.5601
64,2022/08/24 11:53:17,1535.6065
65,2022/08/24 11:53:23,1535.6214
66,2022/08/24 11:53:29,1535.6316
67,2022/08/24 11:53:35,1535.7016
68,2022/08/24 11:53:41,1535.7402
69,2022/08/24 11:53:47,1535.7551
70,2022/08/24 11:53:53,1535.8055
71,2022/08/24 11:53:59,1535.8401
72,2022/08/24 11:54:05,1535.9235
73,2022/08/24 11:54:11,1535.9235
74,2022/08/24 11:54:17,1535.9652
75,2022/08/24 11:54:23,1535.9975
76,2022/08/24 11:54:29,1536.0542
77,2022/08/24 11:54:35,1536.0841
78,2022/08/24 11:54:41,1536.0849
79,2022/08/24 11:54:47,1536.1313
80,2022/08/24 11:54:53,1536.1832
81,2022/08/24 11:54:59,1536.2084
82,2022/08/24 11:55:05,1536.247
83,2022/08/24 11:55:11,1536.2801
84,2022/08/24 11:55:17,1536.3171
85,2022/08/24 11:55:23,1536.3706
86,2022/08/24 11:55:29,1536.4092
87,2022/08/24 11:55:35,1536.4375
88,2022/08/24 11:55:41,1536.4927
89,2022/08/24 11:55:47,1536.5218
90,2022/08/24 11:55:53,1536.5218
91,2022/08/24 11:55:59,1536.6124
92,2022/08/24 11:56:05,1536.6305
93,2022/08/24 11:56:11,1536.6478
94,2022/08/24 11:56:17,1536.6959
95,2022/08/24 11:56:23,1536.7321
96,2022/08/24 11:56:29,1536.8069
97,2022/08/24 11:56:35,1536.84
98,2022/08/24 11:56:41,1536.9007
99,2022/08/24 11:56:47,1536.9314
100,2022/08/24 11:56:53,1536.9677
101,2022/08/24 11:56:59,1536.9921
102,2022/08/24 11:57:05,1537.0299
103,2022/08/24 11:57:11,1537.0882
104,2022/08/24 11:57:17,1537.1
105,2022/08/24 11:57:23,1537.1631
106,2022/08/24 11:57:29,1537.1726
107,2022/08/24 11:57:35,1537.1797
108,2022/08/24 11:57:41,1537.2183
109,2022/08/24 11:57:47,1537.2128
110,2022/08/24 11:57:53,1537.2553
111,2022/08/24 11:57:59,1537.2656
112,2022/08/24 11:58:05,1537.2869
113,2022/08/24 11:58:11,1537.3357
114,2022/08/24 11:58:17,1537.3239
115,2022/08/24 11:58:23,1537.3247
116,2022/08/24 11:58:29,1537.3491
117,2022/08/24 11:58:35,1537.3617
118,2022/08/24 11:58:41,1537.3854
119,2022/08/24 11:58:47,1537.3972
120,2022/08/24 11:58:53,1537.4114
121,2022/08/24 11:58:59,1537.4012
122,2022/08/24 11:59:05,1537.4303
123,2022/08/24 11:59:11,1537.45
124,2022/08/24 11:59:17,1537.4524
125,2022/08/24 11:59:23,1537.4548
126,2022/08/24 11:59:29,1537.4611
127,2022/08/24 11:59:35,1537.4445
128,2022/08/24 11:59:41,1537.4769
129,2022/08/24 11:59:47,1537.4871
130,2022/08/24 11:59:53,1537.4926
131,2022/08/24 11:59:59,1537.4966
132,2022/08/24 12:00:05,1537.5045
133,2022/08/24 12:00:11,1537.5045
134,2022/08/24 12:00:17,1537.4942
135,2022/08/24 12:00:23,1537.4981
136,2022/08/24 12:00:29,1537.4958
137,2022/08/24 12:00:35,1537.4926
138,2022/08/24 12:00:41,1537.5123
139,2022/08/24 12:00:47,1537.5131
140,2022/08/24 12:00:53,1537.5108
141,2022/08/24 12:00:59,1537.5052
142,2022/08/24 12:01:05,1537.5076
143,2022/08/24 12:01:11,1537.5179
144,2022/08/24 12:01:17,1537.4981
145,2022/08/24 12:01:23,1537.5147
146,2022/08/24 12:01:29,1537.5313
147,2022/08/24 12:01:35,1537.5179
148,2022/08/24 12:01:41,1537.5486
149,2022/08/24 12:01:47,1537.5573
150,2022/08/24 12:01:53,1537.5265
151,2022/08/24 12:01:59,1537.5344
152,2022/08/24 12:02:05,1537.5368
153,2022/08/24 12:02:11,1537.5218
154,2022/08/24 12:02:17,1537.5462
155,2022/08/24 12:02:23,1537.5455
156,2022/08/24 12:02:29,1537.5313
157,2022/08/24 12:02:35,1537.5557
158,2022/08/24 12:02:41,1537.5644
159,2022/08/24 12:02:47,1537.5604
160,2022/08/24 12:02:53,1537.5675
161,2022/08/24 12:02:59,1537.5786
162,2022/08/24 12:03:05,1537.5731
163,2022/08/24 12:03:11,1537.5612
164,2022/08/24 12:03:17,1537.5888
165,2022/08/24 12:03:23,1537.5675
166,2022/08/24 12:03:29,1537.5707
167,2022/08/24 12:03:35,1537.6109
168,2022/08/24 12:03:41,1537.5951
169,2022/08/24 12:03:47,1537.607
170,2022/08/24 12:03:53,1537.607
171,2022/08/24 12:03:59,1537.5959
172,2022/08/24 12:04:05,1537.5904
173,2022/08/24 12:04:11,1537.603
174,2022/08/24 12:04:17,1537.6046
175,2022/08/24 12:04:23,1537.6109
176,2022/08/24 12:04:29,1537.6062
177,2022/08/24 12:04:35,1537.633
178,2022/08/24 12:04:41,1537.6267
179,2022/08/24 12:04:47,1537.6062
180,2022/08/24 12:04:53,1537.6243
181,2022/08/24 12:04:59,1537.6172
182,2022/08/24 12:05:05,1537.6227
183,2022/08/24 12:05:11,1537.6393
184,2022/08/24 12:05:17,1537.6188
185,2022/08/24 12:05:23,1537.6109
186,2022/08/24 12:05:29,1537.6149
187,2022/08/24 12:05:35,1537.6338
188,2022/08/24 12:05:41,1537.6014
189,2022/08/24 12:05:47,1537.6227
190,2022/08/24 12:05:53,1537.6306
