,time,temperature,ctwl
0,2022/9/4 10:26:52,74.89,1539.0997
1,2022/9/4 10:26:58,74.87,1539.1076
2,2022/9/4 10:27:04,74.87,1539.1052
3,2022/9/4 10:27:10,74.91,1539.1044
4,2022/9/4 10:27:16,75.03,1539.1155
5,2022/9/4 10:27:22,75.31,1539.1163
6,2022/9/4 10:27:28,75.84,1539.1139
7,2022/9/4 10:27:34,76.67,1539.1155
8,2022/9/4 10:27:40,77.91,1539.1163
9,2022/9/4 10:27:46,79.53,1539.1187
10,2022/9/4 10:27:52,81.42,1539.1226
11,2022/9/4 10:27:58,83.49,1539.1305
12,2022/9/4 10:28:04,85.63,1539.144
13,2022/9/4 10:28:10,87.79,1539.1566
14,2022/9/4 10:28:16,89.96,1539.1716
15,2022/9/4 10:28:22,92.12,1539.1914
16,2022/9/4 10:28:28,94.22,1539.2127
17,2022/9/4 10:28:34,96.3,1539.2348
18,2022/9/4 10:28:40,98.26,1539.2514
19,2022/9/4 10:28:46,100.2,1539.2751
20,2022/9/4 10:28:52,102.2,1539.2957
21,2022/9/4 10:28:58,104,1539.3226
22,2022/9/4 10:29:04,105.9,1539.3399
23,2022/9/4 10:29:10,107.7,1539.3613
24,2022/9/4 10:29:16,109.5,1539.3818
25,2022/9/4 10:29:22,111.2,1539.4
26,2022/9/4 10:29:28,112.9,1539.4182
27,2022/9/4 10:29:34,114.5,1539.4356
28,2022/9/4 10:29:40,116.2,1539.4577
29,2022/9/4 10:29:46,117.7,1539.4743
30,2022/9/4 10:29:52,119.3,1539.4925
31,2022/9/4 10:29:58,120.8,1539.498
32,2022/9/4 10:30:04,122.4,1539.5202
33,2022/9/4 10:30:10,123.9,1539.5328
34,2022/9/4 10:30:16,125.4,1539.5431
35,2022/9/4 10:30:22,126.9,1539.5629
36,2022/9/4 10:30:28,128.4,1539.5834
37,2022/9/4 10:30:34,130,1539.5969
38,2022/9/4 10:30:40,131.5,1539.6103
39,2022/9/4 10:30:46,133.1,1539.6214
40,2022/9/4 10:30:52,134.7,1539.6325
41,2022/9/4 10:30:58,136.3,1539.6538
42,2022/9/4 10:31:04,137.9,1539.6657
43,2022/9/4 10:31:10,139.6,1539.6807
44,2022/9/4 10:31:16,141.3,1539.6965
45,2022/9/4 10:31:22,143,1539.6973
46,2022/9/4 10:31:28,144.8,1539.7028
47,2022/9/4 10:31:34,146.6,1539.7226
48,2022/9/4 10:31:40,148.4,1539.7519
49,2022/9/4 10:31:46,150.3,1539.7637
50,2022/9/4 10:31:52,152.2,1539.789
51,2022/9/4 10:31:58,154.1,1539.7882
