,Unnamed: 0,time,temperature,ctwl/nm,thresh/dBm,notch/dB,reflection/%
0,0,2022/8/30 0:15:02,36.18,1536.6498,-40.7456,48.6144,99.99862418512701
1,1,2022/8/30 0:15:32,61.48,1536.683,-40.7438,48.588899999999995,99.99861608314094
2,2,2022/8/30 0:16:02,74.1,1536.8062,-40.7328,48.58660000000001,99.99861535003197
3,3,2022/8/30 0:16:32,81.69,1536.9318,-40.7182,48.985400000000006,99.99873683524334
4,4,2022/8/30 0:17:02,90.34,1537.0403,-40.7046,48.5542,99.9986049813941
5,5,2022/8/30 0:17:32,101.7,1537.1543,-40.6959,48.2826,99.99851495367972
6,6,2022/8/30 0:18:02,116.0,1537.2574,-40.682,48.6439,99.99863349885476
7,7,2022/8/30 0:18:32,131.8,1537.3765,-40.665,48.3606,99.99854138726845
8,8,2022/8/30 0:19:02,147.9,1537.4894,-40.6498,48.968,99.99873176422444
9,9,2022/8/30 0:19:32,163.3,1537.6327,-40.6219,48.638,99.99863164116697
10,10,2022/8/30 0:20:02,178.1,1537.7752,-40.5996,48.9977,99.99874040769156
11,11,2022/8/30 0:20:32,192.9,1537.9177,-40.5721,48.7977,99.99868104493491
12,12,2022/8/30 0:21:02,207.6,1538.0702,-40.5438,48.8334,99.99869184260685
13,13,2022/8/30 0:21:32,222.6,1538.218,-40.5118,48.4006,99.99855475991033
14,14,2022/8/30 0:22:02,237.5,1538.3492,-40.4873,48.3291,99.99853076928132
15,15,2022/8/30 0:22:32,252.2,1538.4847,-40.4533,47.864,99.99836469034824
16,16,2022/8/30 0:23:02,266.5,1538.623,-40.4294,47.33960000000001,99.9981548146408
17,17,2022/8/30 0:23:32,280.9,1538.7599,-40.4022,46.5815,99.99780289911004
18,18,2022/8/30 0:24:02,295.3,1538.8945,-40.3747,45.5504,99.9972141354308
19,19,2022/8/30 0:24:32,309.9,1539.0557,-40.34,44.8043,99.99669196573024
20,20,2022/8/30 0:25:02,324.9,1539.1817,-40.314,43.7032,99.99573734680833
21,21,2022/8/30 0:25:32,339.6,1539.3499,-40.2842,42.7114,99.99464376035087
22,22,2022/8/30 0:26:02,354.8,1539.4935,-40.2534,41.5968,99.99307659081335
23,23,2022/8/30 0:26:32,370.5,1539.6932,-40.2135,40.6291,99.99134852813047
24,24,2022/8/30 0:27:02,385.8,1539.8382,-40.1941,39.5863,99.98900057456456
25,25,2022/8/30 0:27:32,401.0,1540.0212,-40.1636,38.5777,99.98612509558264
26,26,2022/8/30 0:28:02,416.1,1540.1998,-40.1397,37.58449999999999,99.98255985867043
27,27,2022/8/30 0:28:32,431.1,1540.3827,-40.1188,36.6494,99.97836982665025
28,28,2022/8/30 0:29:02,446.0,1540.5729,-40.0975,35.809,99.97375177138392
29,29,2022/8/30 0:29:32,460.9,1540.7546,-40.0708,34.9999,99.9683764952486
30,30,2022/8/30 0:30:02,476.0,1540.932,-40.0568,34.1822,99.9618249161183
31,31,2022/8/30 0:30:32,491.0,1541.1336,-40.0489,33.4012,99.95430380910722
32,32,2022/8/30 0:31:02,506.2,1541.3289,-40.0417,32.68560000000001,99.94611845998675
33,33,2022/8/30 0:31:32,521.2,1541.5196,-40.0434,31.902499999999996,99.93547173324617
34,34,2022/8/30 0:32:02,536.2,1541.7208,-40.0474,31.15139999999999,99.92328858388893
35,35,2022/8/30 0:32:32,551.1,1541.9209,-40.0607,30.4273,99.90937041319047
36,36,2022/8/30 0:33:02,565.6,1542.1163,-40.076,29.597,99.89027641218881
37,37,2022/8/30 0:33:32,580.1,1542.3223,-40.0972,28.827,99.86899134137427
38,38,2022/8/30 0:34:02,594.4,1542.5225,-40.1271,28.0068,99.84175864247707
39,39,2022/8/30 0:34:32,608.5,1542.728,-40.1587,27.084800000000005,99.80433191256559
40,40,2022/8/30 0:35:02,622.9,1542.9203,-40.1966,26.2589,99.76334809761603
41,41,2022/8/30 0:35:32,637.1,1543.1167,-40.2343,25.383699999999997,99.71051237717651
42,42,2022/8/30 0:36:02,651.0,1543.3336,-40.2794,24.4991,99.64511307422522
43,43,2022/8/30 0:36:32,666.2,1543.5593,-40.333,23.5399,99.55740143654617
