,350,450,550,650,750
0,1542.3636,1543.7861,1545.2813,1546.8217,1548.406
1,1542.3589,1543.7877,1545.2829,1546.8185,1548.4044
2,1542.3636,1543.7853,1545.2805,1546.8217,1548.4052
3,1542.3589,1543.7869,1545.2797,1546.8241,1548.406
4,1542.3573,1543.7798,1545.2829,1546.8249,1548.4068
5,1542.3652,1543.7861,1545.2797,1546.8233,1548.4068
6,1542.3493,1543.7893,1545.2797,1546.8209,1548.4076
7,1542.3589,1543.7829,1545.2781,1546.8225,1548.4036
8,1542.3668,1543.7885,1545.2765,1546.8241,1548.4052
9,1542.3589,1543.7925,1545.2781,1546.8225,1548.4044
10,1542.3557,1543.7861,1545.2757,1546.8193,1548.4052
11,1542.3573,1543.7869,1545.2789,1546.8193,1548.4084
12,1542.3636,1543.7885,1545.275,1546.8241,1548.4076
13,1542.3652,1543.7901,1545.2765,1546.8249,1548.4092
14,1542.3613,1543.7893,1545.2757,1546.8241,1548.4084
15,1542.3613,1543.7901,1545.275,1546.8209,1548.4068
16,1542.3589,1543.7829,1545.2757,1546.8201,1548.4068
17,1542.3652,1543.7885,1545.275,1546.8209,1548.4076
18,1542.3581,1543.7837,1545.2734,1546.8193,1548.4076
19,1542.3589,1543.7877,1545.2781,1546.8201,1548.406
20,1542.3565,1543.7861,1545.2734,1546.8233,1548.4052
21,1542.3652,1543.7806,1545.271,1546.8225,1548.4068
22,1542.3549,1543.7893,1545.2781,1546.8177,1548.4068
23,1542.3644,1543.7877,1545.2773,1546.8201,1548.406
24,1542.3573,1543.7885,1545.2773,1546.8225,1548.406
25,1542.3414,1543.7885,1545.2765,1546.8225,1548.4068
26,1542.3613,1543.7845,1545.2789,1546.8233,1548.4052
27,1542.362,1543.7829,1545.2805,1546.8249,1548.4084
28,1542.3644,1543.7814,1545.275,1546.8201,1548.4076
29,1542.3644,1543.7853,1545.2813,1546.8241,1548.4092
30,1542.366,1543.7869,1545.2821,1546.8257,1548.4092
31,1542.3509,1543.7861,1545.2757,1546.8233,1548.4068
32,1542.362,1543.7877,1545.2765,1546.8153,1548.406
33,1542.3613,1543.7877,1545.2757,1546.8177,1548.4068
34,1542.3557,1543.7861,1545.2757,1546.8217,1548.4076
35,1542.3573,1543.7861,1545.2765,1546.8209,1548.4076
36,1542.3557,1543.7869,1545.2726,1546.8225,1548.4076
37,1542.3525,1543.7909,1545.2757,1546.8209,1548.41
38,1542.3636,1543.7885,1545.2781,1546.8233,1548.4076
39,1542.3628,1543.7861,1545.2781,1546.8201,1548.4092
40,1542.3613,1543.7885,1545.2765,1546.8193,1548.4076
41,1542.3581,1543.7806,1545.2797,1546.8201,1548.4076
42,1542.366,1543.7861,1545.2757,1546.8225,1548.4068
43,1542.3605,1543.779,1545.2718,1546.8249,1548.4076
44,1542.3565,1543.7909,1545.2765,1546.8169,1548.402
45,1542.3652,1543.7885,1545.2702,1546.8201,1548.4036
46,1542.3565,1543.7829,1545.2765,1546.8233,1548.4036
47,1542.3668,1543.7853,1545.2765,1546.8193,1548.402
48,1542.3573,1543.7829,1545.2789,1546.8209,1548.4044
