,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/10/15 0:34:37,1536.4161,47.2716,100.00,1.348294E-7
1,2022/10/15 0:35:07,1536.4099,46.0373,100.00,1.348289E-7
2,2022/10/15 0:35:37,1536.4857,45.1957,100.00,1.348355E-7
3,2022/10/15 0:52:14,1537.2821,48.4804,100.00,1.349054E-7
4,2022/10/15 0:52:44,1537.3085,46.7569,100.00,1.349077E-7
5,2022/10/15 0:53:14,1537.3031,50.7328,100.00,1.349073E-7
6,2022/10/15 0:53:44,1537.3085,48.3803,100.00,1.349077E-7
7,2022/10/15 0:54:14,1537.3211,42.8688,99.99,1.349088E-7
8,2022/10/15 0:54:44,1537.3575,32.6879,99.95,1.349120E-7
9,2022/10/15 0:55:14,1537.4082,46.7323,100.00,1.349165E-7
10,2022/10/15 0:55:44,1537.4375,34.7484,99.97,1.349190E-7
11,2022/10/15 0:56:14,1537.5234,51.5267,100.00,1.349266E-7
12,2022/10/15 0:56:44,1537.5372,49.2314,100.00,1.349278E-7
13,2022/10/15 12:49:40,1536.4548,32.7380,99.95,1.348328E-7
14,2022/10/15 12:50:10,1536.5027,47.8591,100.00,1.348370E-7
15,2022/10/15 12:50:40,1536.5249,41.8475,99.99,1.348390E-7
16,2022/10/15 12:51:10,1536.6229,50.4718,100.00,1.348476E-7
17,2022/10/15 12:51:40,1536.6914,31.1255,99.92,1.348536E-7
18,2022/10/15 12:52:10,1536.7088,46.5217,100.00,1.348551E-7
19,2022/10/15 12:52:40,1536.7834,47.6173,100.00,1.348616E-7
20,2022/10/15 12:53:10,1536.8418,36.6111,99.98,1.348668E-7
21,2022/10/15 12:53:40,1537.0066,24.0969,99.61,1.348812E-7
22,2022/10/15 12:54:10,1537.0256,37.2681,99.98,1.348829E-7
23,2022/10/15 12:54:40,1537.0886,48.1610,100.00,1.348884E-7
24,2022/10/15 12:55:10,1537.1512,21.1307,99.23,1.348939E-7
25,2022/10/15 12:55:40,1537.3057,50.2083,100.00,1.349075E-7
26,2022/10/15 12:56:10,1537.3961,50.4915,100.00,1.349154E-7
27,2022/10/15 12:56:40,1537.5104,32.6180,99.95,1.349254E-7
28,2022/10/15 12:57:10,1537.6108,32.7997,99.95,1.349343E-7
29,2022/10/15 12:57:40,1537.7279,43.6055,100.00,1.349445E-7
30,2022/10/15 12:58:10,1537.8558,31.3516,99.93,1.349558E-7
31,2022/10/15 12:58:40,1538.0141,45.4945,100.00,1.349696E-7
32,2022/10/15 12:59:10,1538.1425,31.0797,99.92,1.349809E-7
33,2022/10/15 12:59:40,1538.3144,44.6556,100.00,1.349960E-7
34,2022/10/15 13:00:10,1538.5189,48.4542,100.00,1.350139E-7
35,2022/10/15 13:00:40,1538.6227,35.3132,99.97,1.350231E-7
36,2022/10/15 13:01:10,1538.8257,44.2548,100.00,1.350409E-7
37,2022/10/15 13:01:40,1539.0063,42.3896,99.99,1.350567E-7
38,2022/10/15 13:02:10,1539.187,41.2709,99.99,1.350726E-7
39,2022/10/15 13:02:40,1539.3847,41.3336,99.99,1.350899E-7
40,2022/10/15 13:03:10,1539.5857,40.3441,99.99,1.351076E-7
41,2022/10/15 13:03:40,1539.7914,39.2083,99.99,1.351256E-7
42,2022/10/15 13:04:10,1539.9915,37.7609,99.98,1.351432E-7
43,2022/10/15 13:04:40,1540.1973,35.1289,99.97,1.351612E-7
44,2022/10/15 13:05:10,1540.4113,29.5547,99.89,1.351800E-7
45,2022/10/15 13:05:40,1540.6141,25.9994,99.75,1.351978E-7
46,2022/10/15 13:06:10,1540.8842,33.4145,99.95,1.352215E-7
47,2022/10/15 13:06:40,1541.0951,29.2501,99.88,1.352400E-7
48,2022/10/15 13:07:10,1541.4006,29.1495,99.88,1.352668E-7
49,2022/10/15 13:07:40,1541.5927,30.1873,99.90,1.352837E-7
50,2022/10/15 13:08:10,1541.8997,25.7842,99.74,1.353106E-7
51,2022/10/15 13:08:40,1542.0908,27.5400,99.82,1.353274E-7
52,2022/10/15 13:09:10,1542.4064,14.3022,96.29,1.353551E-7
53,2022/10/15 13:09:40,1542.5956,25.1233,99.69,1.353717E-7
54,2022/10/15 13:10:10,1542.9105,25.2973,99.70,1.353993E-7
55,2022/10/15 13:10:40,1543.1098,21.1838,99.24,1.354168E-7
56,2022/10/15 13:11:10,1543.3907,21.8690,99.35,1.354415E-7
57,2022/10/15 13:11:40,1543.6955,13.4164,95.45,1.354682E-7
58,2022/10/15 13:12:10,1543.9918,20.7317,99.16,1.354942E-7
59,2022/10/15 13:12:40,1544.2925,20.1101,99.03,1.355206E-7
60,2022/10/15 13:13:10,1544.5962,18.3755,98.55,1.355473E-7
61,2022/10/15 13:13:40,1544.9045,17.5951,98.26,1.355743E-7
62,2022/10/15 13:14:10,1545.177,12.6344,94.55,1.355982E-7
63,2022/10/15 13:14:40,1545.4252,16.6496,97.84,1.356200E-7
64,2022/10/15 13:15:10,1545.7,13.9779,96.00,1.356441E-7
65,2022/10/15 13:15:40,1545.9717,14.9243,96.78,1.356680E-7
66,2022/10/15 13:16:10,1546.1841,14.0171,96.03,1.356866E-7
67,2022/10/15 13:16:40,1546.468,13.5718,95.61,1.357115E-7
68,2022/10/15 13:17:10,1546.7705,12.3556,94.19,1.357381E-7
69,2022/10/15 13:17:40,1547.0685,11.9102,93.56,1.357642E-7
70,2022/10/15 13:18:10,1547.3191,11.0684,92.18,1.357862E-7
71,2022/10/15 13:18:40,1547.5729,10.5252,91.14,1.358085E-7
72,2022/10/15 13:19:10,1547.7684,7.3817,81.73,1.358256E-7
73,2022/10/15 13:19:40,1547.97,4.4055,63.74,1.358433E-7
74,2022/10/15 13:20:10,1548.1625,8.5381,86.00,1.358602E-7
75,2022/10/15 13:20:40,1548.3613,6.5271,77.75,1.358777E-7
76,2022/10/15 13:21:10,1548.5194,7.4337,81.94,1.358916E-7
77,2022/10/15 13:21:40,1548.6702,6.8911,79.54,1.359048E-7
78,2022/10/15 13:22:10,1548.8186,6.4073,77.13,1.359178E-7
79,2022/10/15 13:22:40,1548.9678,5.7666,73.49,1.359309E-7
80,2022/10/15 13:23:10,1549.1124,5.5371,72.06,1.359436E-7
81,2022/10/15 13:23:40,1549.2324,5.0767,68.93,1.359541E-7
82,2022/10/15 13:24:10,1549.3616,4.7141,66.23,1.359655E-7
83,2022/10/15 13:24:40,1549.4895,4.4272,63.92,1.359767E-7
84,2022/10/15 13:25:10,1549.6222,4.1003,61.10,1.359883E-7
85,2022/10/15 13:25:40,1549.7366,3.8039,58.35,1.359984E-7
86,2022/10/15 13:26:10,1549.834,3.3791,54.07,1.360069E-7
87,2022/10/15 13:26:40,1549.9467,3.1993,52.13,1.360168E-7
88,2022/10/15 13:27:10,1550.0435,2.8515,48.14,1.360253E-7
89,2022/10/15 13:27:41,1550.1452,2.6384,45.53,1.360342E-7
90,2022/10/15 13:28:11,1550.2441,2.1707,39.34,1.360429E-7
91,2022/10/15 13:28:41,1550.3362,1.7710,33.49,1.360510E-7
92,2022/10/15 13:29:11,1550.4134,1.8811,35.15,1.360578E-7
93,2022/10/15 13:29:41,1550.5024,1.7377,32.98,1.360656E-7
94,2022/10/15 13:30:11,1550.6004,1.5456,29.94,1.360742E-7
95,2022/10/15 13:30:41,1550.6713,0.6719,14.33,1.360804E-7
96,2022/10/15 13:31:11,1550.7599,1.0871,22.14,1.360882E-7
97,2022/10/15 13:31:41,1550.8242,0.9936,20.45,1.360938E-7
98,2022/10/15 13:32:11,1550.9022,0.8282,17.36,1.361007E-7
99,2022/10/15 13:32:41,1550.9779,0.6321,13.55,1.361073E-7
100,2022/10/15 13:33:11,1551.0626,0.6088,13.08,1.361147E-7
101,2022/10/15 13:33:41,1551.1515,0.5055,10.99,1.361225E-7
102,2022/10/15 13:34:11,1551.2218,0.3884,8.55,1.361287E-7
103,2022/10/15 13:34:41,1551.3126,0.3318,7.36,1.361367E-7
104,2022/10/15 13:35:11,1551.4216,0.1650,3.73,1.361462E-7
105,2022/10/15 13:35:41,1551.5112,0.1470,3.33,1.361541E-7
106,2022/10/15 13:36:11,1551.6624,0.0894,2.04,1.361674E-7
107,2022/10/15 13:36:41,1551.8804,0.1170,2.66,1.361865E-7
