,time,temperature,ctwl/nm,notch/dB,reflection/%
0,2022/10/15 12:49,27.03,1536.4548,47.2716,100
1,2022/10/15 12:50,30.93,1536.5027,46.0373,100
2,2022/10/15 12:50,38.32,1536.5249,45.1957,100
3,2022/10/15 12:51,44.16,1536.6229,48.4804,100
4,2022/10/15 12:51,49.7,1536.6914,46.7569,100
5,2022/10/15 12:52,56.33,1536.7088,50.7328,100
6,2022/10/15 12:52,63.45,1536.7834,48.3803,100
7,2022/10/15 12:53,70.47,1536.8418,42.8688,99.99
8,2022/10/15 12:53,77.49,1537.0066,32.6879,99.95
9,2022/10/15 12:54,84.22,1537.0256,46.7323,100
10,2022/10/15 12:54,92.91,1537.0886,34.7484,99.97
11,2022/10/15 12:55,104.7,1537.1512,51.5267,100
12,2022/10/15 12:55,116.5,1537.3057,49.2314,100
13,2022/10/15 12:56,126.8,1537.3961,32.738,99.95
14,2022/10/15 12:56,137,1537.5104,47.8591,100
15,2022/10/15 12:57,148.1,1537.6108,41.8475,99.99
16,2022/10/15 12:57,160.8,1537.7279,50.4718,100
17,2022/10/15 12:58,174.6,1537.8558,31.1255,99.92
18,2022/10/15 12:58,189,1538.0141,46.5217,100
19,2022/10/15 12:59,203.5,1538.1425,47.6173,100
20,2022/10/15 12:59,218.1,1538.3144,36.6111,99.98
21,2022/10/15 13:00,233,1538.5189,24.0969,99.61
22,2022/10/15 13:00,248.6,1538.6227,37.2681,99.98
23,2022/10/15 13:01,264.8,1538.8257,48.161,100
24,2022/10/15 13:01,281.2,1539.0063,21.1307,99.23
25,2022/10/15 13:02,297.8,1539.187,50.2083,100
26,2022/10/15 13:02,314.6,1539.3847,50.4915,100
27,2022/10/15 13:03,331.6,1539.5857,32.618,99.95
28,2022/10/15 13:03,348.7,1539.7914,32.7997,99.95
29,2022/10/15 13:04,366,1539.9915,43.6055,100
30,2022/10/15 13:04,383.4,1540.1973,31.3516,99.93
31,2022/10/15 13:05,400.8,1540.4113,45.4945,100
32,2022/10/15 13:05,418.3,1540.6141,31.0797,99.92
33,2022/10/15 13:06,435.8,1540.8842,44.6556,100
34,2022/10/15 13:06,453.4,1541.0951,48.4542,100
35,2022/10/15 13:07,470.9,1541.4006,35.3132,99.97
36,2022/10/15 13:07,488.3,1541.5927,44.2548,100
37,2022/10/15 13:08,505.6,1541.8997,42.3896,99.99
38,2022/10/15 13:08,522.7,1542.0908,41.2709,99.99
39,2022/10/15 13:09,539.5,1542.4064,41.3336,99.99
40,2022/10/15 13:09,556.1,1542.5956,40.3441,99.99
41,2022/10/15 13:10,572.5,1542.9105,39.2083,99.99
42,2022/10/15 13:10,588.6,1543.1098,37.7609,99.98
43,2022/10/15 13:11,604.5,1543.3907,35.1289,99.97
44,2022/10/15 13:11,620.2,1543.6955,29.5547,99.89
45,2022/10/15 13:12,635.7,1543.9918,25.9994,99.75
46,2022/10/15 13:12,651,1544.2925,33.4145,99.95
47,2022/10/15 13:13,666.3,1544.5962,29.2501,99.88
48,2022/10/15 13:13,681.6,1544.9045,29.1495,99.88
49,2022/10/15 13:14,697.3,1545.177,30.1873,99.9
50,2022/10/15 13:14,712.9,1545.4252,25.7842,99.74
51,2022/10/15 13:15,728.7,1545.7,27.54,99.82
52,2022/10/15 13:15,744.5,1545.9717,14.3022,96.29
53,2022/10/15 13:16,760.5,1546.1841,25.1233,99.69
54,2022/10/15 13:16,776.6,1546.468,25.2973,99.7
55,2022/10/15 13:17,792.7,1546.7705,21.1838,99.24
56,2022/10/15 13:17,808.5,1547.0685,21.869,99.35
57,2022/10/15 13:18,822.7,1547.3191,13.4164,95.45
58,2022/10/15 13:18,833.7,1547.5729,20.7317,99.16
59,2022/10/15 13:19,842.8,1547.7684,20.1101,99.03
60,2022/10/15 13:19,850.3,1547.97,18.3755,98.55
61,2022/10/15 13:20,856.4,1548.1625,17.5951,98.26
62,2022/10/15 13:20,861.4,1548.3613,12.6344,94.55
63,2022/10/15 13:21,865.6,1548.5194,16.6496,97.84
64,2022/10/15 13:21,869,1548.6702,13.9779,96
65,2022/10/15 13:22,871.7,1548.8186,14.9243,96.78
66,2022/10/15 13:22,874,1548.9678,14.0171,96.03
67,2022/10/15 13:23,875.8,1549.1124,13.5718,95.61
68,2022/10/15 13:23,877.3,1549.2324,12.3556,94.19
69,2022/10/15 13:24,878.5,1549.3616,11.9102,93.56
70,2022/10/15 13:24,879.5,1549.4895,11.0684,92.18
71,2022/10/15 13:25,880.2,1549.6222,10.5252,91.14
72,2022/10/15 13:25,880.9,1549.7366,7.3817,81.73
73,2022/10/15 13:26,881.4,1549.834,4.4055,63.74
74,2022/10/15 13:26,881.9,1549.9467,8.5381,86
75,2022/10/15 13:27,882.3,1550.0435,6.5271,77.75
76,2022/10/15 13:27,882.6,1550.1452,7.4337,81.94
77,2022/10/15 13:28,882.9,1550.2441,6.8911,79.54
78,2022/10/15 13:28,883.2,1550.3362,6.4073,77.13
79,2022/10/15 13:29,883.4,1550.4134,5.7666,73.49
80,2022/10/15 13:29,883.6,1550.5024,5.5371,72.06
81,2022/10/15 13:30,883.8,1550.6004,5.0767,68.93
82,2022/10/15 13:30,883.9,1550.6713,4.7141,66.23
83,2022/10/15 13:31,884.1,1550.7599,4.4272,63.92
84,2022/10/15 13:31,884.3,1550.8242,4.1003,61.1
85,2022/10/15 13:32,884.4,1550.9022,3.8039,58.35
86,2022/10/15 13:32,884.6,1550.9779,3.3791,54.07
87,2022/10/15 13:33,884.7,1551.0626,3.1993,52.13
88,2022/10/15 13:33,884.8,1551.1515,2.8515,48.14
89,2022/10/15 13:34,885,1551.2218,2.6384,45.53
90,2022/10/15 13:34,885.1,1551.3126,2.1707,39.34
91,2022/10/15 13:35,885.2,1551.4216,1.771,33.49
92,2022/10/15 13:35,885.3,1551.5112,1.8811,35.15
93,2022/10/15 13:36,885.4,1551.6624,1.7377,32.98
94,2022/10/15 13:36,885.5,1551.8804,1.5456,29.94
95,2022/10/15 13:37,885.7,1552.1518,0.6719,14.33
96,2022/10/15 13:37,885.8,1552.5576,1.0871,22.14
97,2022/10/15 13:38,885.9,1553.4087,0.9936,20.45
98,2022/10/15 13:38,885.9,1555.8766,0.8282,17.36
99,2022/10/15 13:39,886,1546.6608,0.6321,13.55
100,2022/10/15 13:39,886.1,1556.7519,0.6088,13.08
101,2022/10/15 13:40,886.2,1557.5366,0.5055,10.99
102,2022/10/15 13:40,886.3,1547.2943,0.3884,8.55
103,2022/10/15 13:41,886.4,1557.0504,0.3318,7.36
104,2022/10/15 13:41,886.4,1557.285,0.165,3.73
105,2022/10/15 13:42,886.5,1548.3481,0.147,3.33
106,2022/10/15 13:42,886.6,1561.7382,0.0894,2.04
107,2022/10/15 13:43,886.6,1554.8339,0.117,2.66
108,2022/10/15 13:43,886.7,1554.0475,0.0574,1.31
109,2022/10/15 13:44,886.8,1565.3714,0.0484,1.11
110,2022/10/15 13:44,886.8,1553.0569,0.046,1.05
111,2022/10/15 13:45,886.9,1552.8265,0.0498,1.14
112,2022/10/15 13:45,886.9,1552.6895,0.0088,0.2
113,2022/10/15 13:46,886.9,1552.5886,0.0122,0.28
114,2022/10/15 13:46,886.9,1552.5611,0.0096,0.22
115,2022/10/15 13:47,887,1552.5148,0.0309,0.71
116,2022/10/15 13:47,887.1,1552.4776,0.0325,0.75
117,2022/10/15 13:48,887.1,1552.4528,0.0208,0.48
118,2022/10/15 13:48,887.1,1552.4367,0.0119,0.27
119,2022/10/15 13:49,887.2,1552.4218,0.0124,0.29
120,2022/10/15 13:49,887.3,1552.4247,0.044,1.01
121,2022/10/15 13:50,887.3,1552.4052,0.014,0.32
122,2022/10/15 13:50,887.4,1552.3987,0.0038,0.09
123,2022/10/15 13:51,887.4,1552.3911,0.0187,0.43
124,2022/10/15 13:51,887.4,1552.3918,0.0728,1.66
125,2022/10/15 13:52,887.5,1552.398,0.0062,0.14
126,2022/10/15 13:52,887.5,1552.4153,0.0019,0.04
127,2022/10/15 13:53,887.5,1552.4078,0.0156,0.36
128,2022/10/15 13:53,887.5,1552.4156,0.0755,1.72
129,2022/10/15 13:54,887.5,1552.419,0.0987,2.25
130,2022/10/15 13:54,887.5,1552.4258,0.0836,1.91
131,2022/10/15 13:55,887.5,1552.4369,0.1185,2.69
132,2022/10/15 13:55,887.5,1552.4578,0.1278,2.9
133,2022/10/15 13:56,887.5,1552.4691,0.0509,1.17
134,2022/10/15 13:56,887.5,1552.4731,0.1746,3.94
135,2022/10/15 13:57,887.5,1552.476,0.2011,4.52
136,2022/10/15 13:57,887.5,1552.4865,0.1531,3.46
137,2022/10/15 13:58,887.6,1552.4959,0.1534,3.47
138,2022/10/15 13:58,887.6,1552.5017,0.189,4.26
139,2022/10/15 13:59,887.7,1552.5187,0.1867,4.21
140,2022/10/15 13:59,887.7,1552.5251,0.2337,5.24
141,2022/10/15 14:00,887.7,1552.5453,0.1719,3.88
142,2022/10/15 14:00,887.7,1552.5518,0.1652,3.73
143,2022/10/15 14:01,887.8,1552.5561,0.2282,5.12
144,2022/10/15 14:01,887.8,1552.5611,0.185,4.17
145,2022/10/15 14:02,887.8,1552.5683,0.2487,5.57
146,2022/10/15 14:02,887.8,1552.5734,0.1846,4.16
147,2022/10/15 14:03,887.8,1552.5796,0.1738,3.92
148,2022/10/15 14:03,887.8,1552.5926,0.2437,5.46
149,2022/10/15 14:04,887.8,1552.5978,0.2557,5.72
150,2022/10/15 14:04,887.8,1552.6243,0.2176,4.89
151,2022/10/15 14:05,887.8,1552.6203,0.1594,3.6
152,2022/10/15 14:05,887.8,1552.6256,0.2034,4.58
153,2022/10/15 14:06,887.8,1552.6318,0.1639,3.7
154,2022/10/15 14:06,887.8,1552.6423,0.2764,6.17
155,2022/10/15 14:07,887.8,1552.6471,0.3014,6.7
156,2022/10/15 14:07,887.8,1552.6541,0.2791,6.22
157,2022/10/15 14:08,887.8,1552.6623,0.1628,3.68
158,2022/10/15 14:08,887.8,1552.6697,0.1201,2.73
159,2022/10/15 14:09,887.8,1552.6828,0.2618,5.85
160,2022/10/15 14:09,887.8,1552.6882,0.1844,4.16
161,2022/10/15 14:10,887.8,1552.7076,0.2904,6.47
162,2022/10/15 14:10,887.8,1552.7153,0.2566,5.74
163,2022/10/15 14:11,887.9,1552.7207,0.2825,6.3
164,2022/10/15 14:11,887.9,1552.7228,0.3164,7.03
165,2022/10/15 14:12,887.9,1552.7299,0.2927,6.52
166,2022/10/15 14:12,887.9,1552.7386,0.1955,4.4
167,2022/10/15 14:13,887.9,1552.745,0.1906,4.29
168,2022/10/15 14:13,887.9,1552.7524,0.225,5.05
169,2022/10/15 14:14,887.9,1552.7616,0.18,4.06
170,2022/10/15 14:14,888,1552.7672,0.0376,0.86
171,2022/10/15 14:15,887.9,1552.7811,0.1813,4.09
172,2022/10/15 14:15,888,1552.7854,0.2978,6.63
173,2022/10/15 14:16,888,1552.7926,0.2452,5.49
174,2022/10/15 14:16,888,1552.8127,0.2996,6.67
175,2022/10/15 14:17,888,1552.8083,0.1952,4.4
176,2022/10/15 14:17,888.1,1552.8208,0.1782,4.02
177,2022/10/15 14:18,888.1,1552.8202,0.2927,6.52
178,2022/10/15 14:18,888.3,1552.8265,0.2511,5.62
179,2022/10/15 14:19,888.4,1552.8331,0.2494,5.58
180,2022/10/15 14:19,888.5,1552.8393,0.1951,4.39
181,2022/10/15 14:20,888.5,1552.8454,0.2664,5.95
182,2022/10/15 14:20,888.6,1552.8508,0.1183,2.69
183,2022/10/15 14:21,888.6,1552.8564,0.1782,4.02
184,2022/10/15 14:21,888.6,1552.862,0.253,5.66
185,2022/10/15 14:22,888.7,1552.8681,0.2472,5.53
186,2022/10/15 14:22,888.7,1552.8743,0.2103,4.73
187,2022/10/15 14:23,888.7,1552.8806,0.2231,5.01
188,2022/10/15 14:23,888.7,1552.8871,0.2925,6.51
189,2022/10/15 14:24,888.7,1552.8934,0.254,5.68
190,2022/10/15 14:24,888.7,1552.8993,0.2788,6.22
191,2022/10/15 14:25,888.7,1552.911,0.1639,3.7
192,2022/10/15 14:25,888.8,1552.9174,0.197,4.43
193,2022/10/15 14:26,888.7,1552.9199,0.2596,5.8
194,2022/10/15 14:26,888.7,1552.9246,0.268,5.98
195,2022/10/15 14:27,888.7,1552.9256,0.1082,2.46
196,2022/10/15 14:27,888.8,1552.9294,0.2521,5.64
197,2022/10/15 14:28,888.7,1552.9335,0.2402,5.38
198,2022/10/15 14:28,888.7,1552.9383,0.2133,4.79
199,2022/10/15 14:29,888.8,1552.9439,0.1846,4.16
200,2022/10/15 14:29,888.8,1552.9498,0.2533,5.67
201,2022/10/15 14:30,888.8,1552.9536,0.157,3.55
202,2022/10/15 14:30,888.8,1552.9593,0.2168,4.87
203,2022/10/15 14:31,888.8,1552.9636,0.2259,5.07
204,2022/10/15 14:31,888.8,1552.9701,0.0993,2.26
205,2022/10/15 14:32,888.8,1552.9734,0.2587,5.78
206,2022/10/15 14:32,888.8,1552.978,0.1828,4.12
207,2022/10/15 14:33,888.8,1552.9821,0.2452,5.49
208,2022/10/15 14:33,888.8,1552.9859,0.193,4.35
209,2022/10/15 14:34,888.8,1552.9917,0.1689,3.81
210,2022/10/15 14:34,888.8,1552.9955,0.0503,1.15
211,2022/10/15 14:35,888.8,1553.0015,0.1675,3.78
212,2022/10/15 14:35,888.8,1553.0055,0.0329,0.75
213,2022/10/15 14:36,888.8,1553.0103,0.1649,3.73
214,2022/10/15 14:36,888.8,1553.0122,0.1319,2.99
215,2022/10/15 14:37,888.8,1553.0162,0.1745,3.94
216,2022/10/15 14:37,888.8,1553.0225,0.2225,4.99
