,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/10/15 0:34:37,1536.4044,50.0091,100.00,1.348284E-7
1,2022/10/15 0:35:07,1536.4103,49.3072,100.00,1.348289E-7
2,2022/10/15 0:35:37,1536.418,49.7805,100.00,1.348296E-7
3,2022/10/15 0:52:14,1534.2015,30.1943,99.90,1.346351E-7
4,2022/10/15 0:52:44,1535.2327,36.8559,99.98,1.347256E-7
5,2022/10/15 0:53:14,1537.2474,51.2921,100.00,1.349024E-7
6,2022/10/15 0:53:44,1537.2931,49.1748,100.00,1.349064E-7
7,2022/10/15 0:54:14,1538.1812,28.8507,99.87,1.349843E-7
8,2022/10/15 0:54:44,1537.3574,48.4199,100.00,1.349120E-7
9,2022/10/15 0:55:14,1537.396,50.9467,100.00,1.349154E-7
10,2022/10/15 0:55:44,1537.4814,50.6088,100.00,1.349229E-7
11,2022/10/15 0:56:14,1537.4778,51.2915,100.00,1.349226E-7
12,2022/10/15 0:56:44,1537.5136,50.5191,100.00,1.349257E-7
13,2022/10/15 12:49:40,1536.4562,48.9391,100.00,1.348329E-7
14,2022/10/15 12:50:10,1536.479,49.4191,100.00,1.348349E-7
15,2022/10/15 12:50:40,1536.5284,49.5232,100.00,1.348393E-7
16,2022/10/15 12:51:10,1530.9506,38.7671,99.99,1.343498E-7
17,2022/10/15 12:51:40,1536.6275,48.5585,100.00,1.348480E-7
18,2022/10/15 12:52:10,1543.4322,28.7114,99.87,1.354451E-7
19,2022/10/15 12:52:40,1536.7633,47.8870,100.00,1.348599E-7
20,2022/10/15 12:53:10,1536.8423,43.3193,100.00,1.348668E-7
21,2022/10/15 12:53:40,1536.9301,45.5237,100.00,1.348745E-7
22,2022/10/15 12:54:10,1536.9902,49.3953,100.00,1.348798E-7
23,2022/10/15 12:54:40,1537.933,27.2402,99.81,1.349625E-7
24,2022/10/15 12:55:10,1537.1523,45.5094,100.00,1.348940E-7
25,2022/10/15 12:55:40,1537.2484,49.8058,100.00,1.349025E-7
26,2022/10/15 12:56:10,1537.347,50.3393,100.00,1.349111E-7
27,2022/10/15 12:56:40,1537.4772,48.9935,100.00,1.349225E-7
28,2022/10/15 12:57:10,1537.6032,48.6270,100.00,1.349336E-7
29,2022/10/15 12:57:40,1529.325,33.8165,99.96,1.342071E-7
30,2022/10/15 12:58:10,1534.5661,39.9514,99.99,1.346671E-7
31,2022/10/15 12:58:40,1537.9993,49.4527,100.00,1.349684E-7
32,2022/10/15 12:59:10,1538.1425,30.5759,99.91,1.349809E-7
33,2022/10/15 12:59:40,1538.3042,45.8065,100.00,1.349951E-7
34,2022/10/15 13:00:10,1539.6504,38.5443,99.99,1.351132E-7
35,2022/10/15 13:00:40,1538.6251,47.1642,100.00,1.350233E-7
36,2022/10/15 13:01:10,1538.8056,45.1448,100.00,1.350391E-7
37,2022/10/15 13:01:40,1541.0058,25.9433,99.75,1.352322E-7
38,2022/10/15 13:02:10,1539.1659,43.1828,100.00,1.350707E-7
39,2022/10/15 13:02:40,1540.0465,21.5123,99.29,1.351480E-7
40,2022/10/15 13:03:10,1539.5489,41.0021,99.99,1.351043E-7
41,2022/10/15 13:03:40,1539.7644,39.7456,99.99,1.351232E-7
42,2022/10/15 13:04:10,1540.0858,28.5588,99.86,1.351515E-7
43,2022/10/15 13:04:40,1540.1731,37.3318,99.98,1.351591E-7
44,2022/10/15 13:05:10,1540.4037,35.4807,99.97,1.351794E-7
45,2022/10/15 13:05:40,1540.7884,18.0874,98.45,1.352131E-7
46,2022/10/15 13:06:10,1540.9364,33.9001,99.96,1.352261E-7
47,2022/10/15 13:06:40,1541.0758,33.1936,99.95,1.352383E-7
48,2022/10/15 13:07:10,1541.3173,32.2966,99.94,1.352595E-7
49,2022/10/15 13:07:40,1541.5667,31.1753,99.92,1.352814E-7
50,2022/10/15 13:08:10,1541.8141,30.5249,99.91,1.353031E-7
51,2022/10/15 13:08:40,1542.0716,29.6103,99.89,1.353257E-7
52,2022/10/15 13:09:10,1542.3318,28.4821,99.86,1.353486E-7
53,2022/10/15 13:09:40,1542.5788,27.6402,99.83,1.353702E-7
54,2022/10/15 13:10:10,1542.8419,22.4761,99.43,1.353933E-7
55,2022/10/15 13:10:40,1543.1006,25.6607,99.73,1.354160E-7
56,2022/10/15 13:11:10,1543.4539,24.3733,99.63,1.354470E-7
57,2022/10/15 13:11:40,1543.6955,21.8836,99.35,1.354682E-7
58,2022/10/15 13:12:10,1543.9733,22.2987,99.41,1.354926E-7
59,2022/10/15 13:12:40,1544.3496,21.2406,99.25,1.355256E-7
60,2022/10/15 13:13:10,1544.5962,20.1574,99.04,1.355473E-7
61,2022/10/15 13:13:40,1544.8519,19.1485,98.78,1.355697E-7
62,2022/10/15 13:14:10,1545.125,18.1348,98.46,1.355937E-7
63,2022/10/15 13:14:40,1545.4865,16.9019,97.96,1.356254E-7
64,2022/10/15 13:15:10,1545.732,16.2747,97.64,1.356469E-7
65,2022/10/15 13:15:40,1545.988,15.3942,97.11,1.356694E-7
66,2022/10/15 13:16:10,1546.2496,14.5773,96.51,1.356924E-7
67,2022/10/15 13:16:40,1546.5119,12.3501,94.18,1.357154E-7
68,2022/10/15 13:17:10,1546.7565,12.9822,94.97,1.357368E-7
69,2022/10/15 13:17:40,1547.036,12.2320,94.02,1.357614E-7
70,2022/10/15 13:18:10,1547.3009,11.4556,92.85,1.357846E-7
71,2022/10/15 13:18:40,1547.5426,10.4169,90.92,1.358058E-7
72,2022/10/15 13:19:10,1547.7778,7.6413,82.79,1.358265E-7
73,2022/10/15 13:19:40,1547.9075,8.3658,85.43,1.358379E-7
74,2022/10/15 13:20:10,1548.1649,8.6970,86.50,1.358604E-7
75,2022/10/15 13:20:40,1548.3284,8.0944,84.49,1.358748E-7
76,2022/10/15 13:21:10,1548.5241,7.6063,82.65,1.358920E-7
77,2022/10/15 13:21:40,1548.6773,7.0861,80.44,1.359054E-7
78,2022/10/15 13:22:10,1548.8186,6.5912,78.08,1.359178E-7
79,2022/10/15 13:22:40,1548.9607,6.1143,75.53,1.359303E-7
80,2022/10/15 13:23:10,1549.0886,5.6738,72.92,1.359415E-7
81,2022/10/15 13:23:40,1549.2206,5.2404,70.08,1.359531E-7
82,2022/10/15 13:24:10,1549.3498,4.8799,67.49,1.359644E-7
83,2022/10/15 13:24:40,1549.48,4.5198,64.68,1.359758E-7
84,2022/10/15 13:25:10,1549.6054,4.1923,61.91,1.359869E-7
85,2022/10/15 13:25:40,1549.7246,3.8740,59.02,1.359973E-7
86,2022/10/15 13:26:10,1549.8412,3.5645,55.99,1.360075E-7
87,2022/10/15 13:26:40,1549.9563,3.2773,52.98,1.360176E-7
88,2022/10/15 13:27:10,1550.0652,3.0061,49.95,1.360272E-7
89,2022/10/15 13:27:41,1550.1381,2.7289,46.65,1.360336E-7
90,2022/10/15 13:28:11,1550.2369,2.1892,39.59,1.360423E-7
91,2022/10/15 13:28:41,1550.3386,1.8028,33.97,1.360512E-7
92,2022/10/15 13:29:11,1550.4088,1.9566,36.27,1.360574E-7
93,2022/10/15 13:29:41,1550.5071,1.7675,33.43,1.360660E-7
94,2022/10/15 13:30:11,1550.6028,1.5764,30.44,1.360744E-7
95,2022/10/15 13:30:41,1550.6713,0.7037,14.96,1.360804E-7
96,2022/10/15 13:31:11,1550.7599,1.0967,22.32,1.360882E-7
97,2022/10/15 13:31:41,1550.8197,1.0284,21.08,1.360934E-7
98,2022/10/15 13:32:11,1550.9119,0.8602,17.97,1.361015E-7
99,2022/10/15 13:32:41,1550.9734,0.6619,14.14,1.361069E-7
100,2022/10/15 13:33:11,1551.0695,0.6127,13.16,1.361153E-7
101,2022/10/15 13:33:41,1551.1369,0.5112,11.10,1.361213E-7
102,2022/10/15 13:34:11,1551.2405,0.3966,8.73,1.361303E-7
103,2022/10/15 13:34:41,1551.3126,0.3352,7.43,1.361367E-7
104,2022/10/15 13:35:11,1551.5223,0.2474,5.54,1.361551E-7
105,2022/10/15 13:35:41,1551.5175,0.1511,3.42,1.361547E-7
106,2022/10/15 13:36:11,1551.6605,0.1566,3.54,1.361672E-7
107,2022/10/15 13:36:41,1551.8812,0.1198,2.72,1.361866E-7
108,2022/10/15 13:37:11,1552.1476,16.6646,97.84,1.362099E-7
109,2022/10/15 13:37:41,1552.6019,0.0983,2.24,1.362498E-7
110,2022/10/15 13:38:11,1532.0244,0.0085,0.20,2.44445E-8
111,2022/10/15 13:38:41,1555.8766,0.0271,0.62,5.49189E-8
112,2022/10/15 13:39:11,1567.8134,16.6771,97.85,1.375847E-7
113,2022/10/15 13:39:41,1552.9813,0.0088,0.20,2.47789E-8
114,2022/10/15 13:40:11,1550.9353,0.0203,0.47,4.31732E-8
115,2022/10/15 13:40:41,1537.359,0.0412,0.94,1.062568E-7
116,2022/10/15 13:41:11,1500.029,0.0132,0.30,3.05943E-8
117,2022/10/15 13:41:41,1554.6982,0.0246,0.56,4.99594E-8
118,2022/10/15 13:42:11,1548.223,0.0104,0.24,2.75117E-8
119,2022/10/15 13:42:41,1562.0618,0.0374,0.86,8.49007E-8
120,2022/10/15 13:43:11,1554.8339,0.1041,2.37,1.364457E-7
121,2022/10/15 13:43:41,1554.0475,16.7183,97.87,1.363767E-7
122,2022/10/15 13:44:11,1531.1893,0.0070,0.16,2.15087E-8
123,2022/10/15 13:44:41,1553.0438,16.7301,97.88,1.362886E-7
124,2022/10/15 13:45:11,1552.8265,0.1130,2.57,1.362695E-7
125,2022/10/15 13:45:41,1552.6895,0.0118,0.27,2.96445E-8
126,2022/10/15 13:46:11,1552.5915,0.1164,2.64,1.362489E-7
127,2022/10/15 13:46:41,1552.5355,0.1174,2.67,1.362440E-7
128,2022/10/15 13:47:11,1552.5877,16.7312,97.88,1.362486E-7
129,2022/10/15 13:47:41,1552.4845,0.1020,2.32,1.362395E-7
130,2022/10/15 13:48:11,1552.4546,0.0908,2.07,1.362369E-7
131,2022/10/15 13:48:41,1552.4368,0.1268,2.88,1.362353E-7
132,2022/10/15 13:49:11,1552.4213,0.1221,2.77,1.362340E-7
133,2022/10/15 13:49:41,1552.4094,0.0581,1.33,1.362329E-7
134,2022/10/15 13:50:11,1552.3999,0.1793,4.04,1.362321E-7
135,2022/10/15 13:50:41,1552.4571,0.1722,3.89,1.362371E-7
136,2022/10/15 13:51:11,1552.4402,0.0617,1.41,1.362356E-7
137,2022/10/15 13:51:41,1552.4018,0.1721,3.89,1.362323E-7
138,2022/10/15 13:52:11,1552.4021,0.1880,4.24,1.362323E-7
139,2022/10/15 13:52:41,1552.3998,0.2222,4.99,1.362321E-7
140,2022/10/15 13:53:11,1552.4059,0.2114,4.75,1.362326E-7
141,2022/10/15 13:53:41,1552.4124,0.1737,3.92,1.362332E-7
142,2022/10/15 13:54:11,1552.415,0.2456,5.50,1.362334E-7
143,2022/10/15 13:54:41,1552.5018,0.1859,4.19,1.362410E-7
144,2022/10/15 13:55:11,1552.4551,0.2439,5.46,1.362369E-7
145,2022/10/15 13:55:41,1552.4622,0.2540,5.68,1.362376E-7
146,2022/10/15 13:56:11,1552.4645,0.1881,4.24,1.362378E-7
147,2022/10/15 13:56:41,1552.4664,0.1744,3.94,1.362379E-7
148,2022/10/15 13:57:11,1552.4749,0.2467,5.52,1.362387E-7
149,2022/10/15 13:57:41,1552.4865,0.2729,6.09,1.362397E-7
150,2022/10/15 13:58:11,1552.4932,0.2384,5.34,1.362403E-7
151,2022/10/15 13:58:41,1552.5,0.1876,4.23,1.362409E-7
152,2022/10/15 13:59:11,1552.5105,0.2902,6.46,1.362418E-7
153,2022/10/15 13:59:41,1552.588,0.2261,5.07,1.362486E-7
154,2022/10/15 14:00:11,1552.5816,0.2846,6.34,1.362480E-7
155,2022/10/15 14:00:41,1552.5555,0.3016,6.71,1.362457E-7
156,2022/10/15 14:01:11,1552.5599,0.2901,6.46,1.362461E-7
157,2022/10/15 14:01:41,1552.5629,0.1718,3.88,1.362464E-7
158,2022/10/15 14:02:11,1552.5699,0.1306,2.96,1.362470E-7
159,2022/10/15 14:02:41,1552.574,0.2777,6.19,1.362474E-7
160,2022/10/15 14:03:11,1552.5814,0.1688,3.81,1.362480E-7
161,2022/10/15 14:03:41,1552.5871,0.0514,1.18,1.362485E-7
162,2022/10/15 14:04:11,1552.5946,0.2879,6.41,1.362492E-7
163,2022/10/15 14:04:41,1552.6028,0.2961,6.59,1.362499E-7
164,2022/10/15 14:05:11,1552.6112,0.2963,6.60,1.362506E-7
165,2022/10/15 14:05:41,1552.6808,0.1581,3.57,1.362567E-7
166,2022/10/15 14:06:11,1552.6832,0.3126,6.94,1.362569E-7
167,2022/10/15 14:06:41,1552.686,0.2995,6.66,1.362572E-7
168,2022/10/15 14:07:11,1552.6859,0.1871,4.22,1.362572E-7
169,2022/10/15 14:07:41,1552.6626,0.2076,4.67,1.362551E-7
170,2022/10/15 14:08:11,1552.669,0.1187,2.70,1.362557E-7
171,2022/10/15 14:08:41,1552.6772,0.1907,4.30,1.362564E-7
172,2022/10/15 14:09:11,1552.6828,0.1230,2.79,1.362569E-7
173,2022/10/15 14:09:41,1552.6891,0.3184,7.07,1.362575E-7
174,2022/10/15 14:10:11,1552.6967,0.2619,5.85,1.362581E-7
175,2022/10/15 14:10:41,1552.7054,0.0878,2.00,1.362589E-7
176,2022/10/15 14:11:11,1552.7116,0.2531,5.66,1.362594E-7
177,2022/10/15 14:11:41,1552.7201,0.2456,5.50,1.362602E-7
178,2022/10/15 14:12:11,1552.7286,0.2274,5.10,1.362609E-7
179,2022/10/15 14:12:41,1552.737,0.2967,6.60,1.362617E-7
180,2022/10/15 14:13:11,1552.8021,0.1088,2.47,1.362674E-7
181,2022/10/15 14:13:41,1552.8098,0.2244,5.04,1.362681E-7
182,2022/10/15 14:14:11,1552.8092,0.1577,3.57,1.362680E-7
183,2022/10/15 14:14:41,1552.7787,0.2197,4.93,1.362653E-7
