,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/10/15 0:34:37,1535.711,43.1386,100.00,1.347675E-7
1,2022/10/15 0:35:07,1535.7011,41.1761,99.99,1.347667E-7
2,2022/10/15 0:35:37,1535.7046,42.4828,99.99,1.347670E-7
3,2022/10/15 0:52:14,1536.5581,33.7860,99.96,1.348419E-7
4,2022/10/15 0:52:44,1536.5615,30.2876,99.91,1.348422E-7
5,2022/10/15 0:53:14,1536.5892,42.1012,99.99,1.348446E-7
6,2022/10/15 0:53:44,1536.6158,40.5784,99.99,1.348469E-7
7,2022/10/15 0:54:14,1536.6348,23.6393,99.57,1.348486E-7
8,2022/10/15 0:54:44,1536.7015,40.1671,99.99,1.348545E-7
9,2022/10/15 0:55:14,1536.722,41.0448,99.99,1.348563E-7
10,2022/10/15 0:55:44,1536.7593,34.8887,99.97,1.348595E-7
11,2022/10/15 0:56:14,1536.9002,40.3531,99.99,1.348719E-7
12,2022/10/15 0:56:44,1536.8423,35.5096,99.97,1.348668E-7
13,2022/10/15 12:49:40,1535.8029,44.8057,100.00,1.347756E-7
14,2022/10/15 12:50:10,1535.7841,37.9798,99.98,1.347740E-7
15,2022/10/15 12:50:40,1535.809,39.1942,99.99,1.347761E-7
16,2022/10/15 12:51:10,1535.8484,30.9477,99.92,1.347796E-7
17,2022/10/15 12:51:40,1535.9075,39.0775,99.99,1.347848E-7
18,2022/10/15 12:52:10,1536.0038,43.5510,100.00,1.347932E-7
19,2022/10/15 12:52:40,1536.0416,28.6636,99.86,1.347966E-7
20,2022/10/15 12:53:10,1536.1258,34.5779,99.97,1.348039E-7
21,2022/10/15 12:53:40,1536.2127,36.6593,99.98,1.348116E-7
22,2022/10/15 12:54:10,1536.2979,39.0528,99.99,1.348190E-7
23,2022/10/15 12:54:40,1536.4251,28.1174,99.85,1.348302E-7
24,2022/10/15 12:55:10,1536.4523,34.7938,99.97,1.348326E-7
25,2022/10/15 12:55:40,1536.5489,34.9526,99.97,1.348411E-7
26,2022/10/15 12:56:10,1536.6528,31.5384,99.93,1.348502E-7
