,time,temperature,ctwl/nm,notch/dB,reflection/%
0,2022/10/15 12:49,27.03,1535.8029,43.1386,100
1,2022/10/15 12:50,30.93,1535.7841,41.1761,99.99
2,2022/10/15 12:50,38.32,1535.809,42.4828,99.99
3,2022/10/15 12:51,44.16,1535.8484,33.786,99.96
4,2022/10/15 12:51,49.7,1535.9075,30.2876,99.91
5,2022/10/15 12:52,56.33,1536.0038,42.1012,99.99
6,2022/10/15 12:52,63.45,1536.0416,40.5784,99.99
7,2022/10/15 12:53,70.47,1536.1258,23.6393,99.57
8,2022/10/15 12:53,77.49,1536.2127,40.1671,99.99
9,2022/10/15 12:54,84.22,1536.2979,41.0448,99.99
10,2022/10/15 12:54,92.91,1536.4251,34.8887,99.97
11,2022/10/15 12:55,104.7,1536.4523,40.3531,99.99
12,2022/10/15 12:55,116.5,1536.5489,35.5096,99.97
13,2022/10/15 12:56,126.8,1536.6528,44.8057,100
14,2022/10/15 12:56,137,1536.7948,37.9798,99.98
15,2022/10/15 12:57,148.1,1536.9142,39.1942,99.99
16,2022/10/15 12:57,160.8,1537.0917,30.9477,99.92
17,2022/10/15 12:58,174.6,1537.2021,39.0775,99.99
18,2022/10/15 12:58,189,1537.3313,43.551,100
19,2022/10/15 12:59,203.5,1537.5024,28.6636,99.86
20,2022/10/15 12:59,218.1,1537.7102,34.5779,99.97
21,2022/10/15 13:00,233,1537.8184,36.6593,99.98
22,2022/10/15 13:00,248.6,1537.9933,39.0528,99.99
23,2022/10/15 13:01,264.8,1538.1868,28.1174,99.85
24,2022/10/15 13:01,281.2,1538.4153,34.7938,99.97
25,2022/10/15 13:02,297.8,1538.6041,34.9526,99.97
26,2022/10/15 13:02,314.6,1538.7847,31.5384,99.93
27,2022/10/15 13:03,331.6,1538.9994,37.1123,99.98
28,2022/10/15 13:03,348.7,1539.2057,37.2852,99.98
29,2022/10/15 13:04,366,1539.3812,44.815,100
30,2022/10/15 13:04,383.4,1539.5934,43.054,100
31,2022/10/15 13:05,400.8,1539.8724,35.2661,99.97
32,2022/10/15 13:05,418.3,1540.1078,26.2871,99.76
33,2022/10/15 13:06,435.8,1540.2902,44.1185,100
34,2022/10/15 13:06,453.4,1540.5147,37.5847,99.98
35,2022/10/15 13:07,470.9,1540.7797,39.3768,99.99
36,2022/10/15 13:07,488.3,1541.0032,40.9745,99.99
37,2022/10/15 13:08,505.6,1541.3023,37.8701,99.98
38,2022/10/15 13:08,522.7,1541.5102,38.7049,99.99
39,2022/10/15 13:09,539.5,1541.7844,38.3198,99.99
40,2022/10/15 13:09,556.1,1542.0815,36.5634,99.98
