,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/10/12 18:33:43,1538.1465,0.0872,1.99,1.349813E-7
1,2022/10/12 18:34:13,1538.0743,0.0800,1.83,1.349749E-7
2,2022/10/12 18:34:43,1537.9791,0.0778,1.78,1.349666E-7
3,2022/10/12 18:35:13,1554.8287,0.1048,2.38,1.364452E-7
4,2022/10/12 18:35:43,1559.0219,0.0217,0.50,4.55608E-8
5,2022/10/12 18:36:13,1558.7607,0.0141,0.32,3.31376E-8
6,2022/10/12 18:36:43,1541.1919,0.0007,0.02,7.2756E-9
7,2022/10/12 18:37:13,1554.3055,0.0191,0.44,4.11637E-8
8,2022/10/12 18:37:43,1553.572,0.0416,0.95,1.122076E-7
9,2022/10/12 18:38:13,1538.8872,0.0367,0.84,7.99464E-8
10,2022/10/12 18:38:43,1555.7652,0.0065,0.15,2.10785E-8
11,2022/10/12 18:39:13,1538.6781,0.0037,0.09,1.57912E-8
12,2022/10/12 18:39:43,1538.6186,0.0025,0.06,1.27557E-8
13,2022/10/12 18:40:13,1538.5698,0.0044,0.10,1.67048E-8
14,2022/10/12 18:40:43,1545.6763,0.0148,0.34,3.41912E-8
15,2022/10/12 18:41:13,1538.4832,0.0403,0.92,9.87276E-8
16,2022/10/12 18:41:43,1539.3244,0.0613,1.40,1.350846E-7
17,2022/10/12 18:42:13,1554.5988,0.0269,0.62,5.48738E-8
18,2022/10/12 18:42:43,1553.1585,0.0335,0.77,7.02840E-8
19,2022/10/12 18:43:13,1552.9102,0.0125,0.29,3.10004E-8
20,2022/10/12 18:43:43,1552.8636,0.0161,0.37,3.63603E-8
21,2022/10/12 18:44:13,1552.8245,0.0324,0.74,6.66370E-8
22,2022/10/12 18:44:43,1552.7917,0.0862,1.97,1.362665E-7
23,2022/10/12 18:45:13,1554.1308,0.0224,0.51,4.61503E-8
24,2022/10/12 18:45:43,1537.9072,0.0372,0.85,8.16855E-8
25,2022/10/12 18:46:13,1540.3617,0.0043,0.10,1.67243E-8
26,2022/10/12 18:46:43,1537.3299,0.0276,0.63,5.51240E-8
27,2022/10/12 18:47:13,1538.2725,0.0296,0.68,5.97313E-8
28,2022/10/12 18:47:43,1538.8311,0.1466,3.32,1.350413E-7
29,2022/10/12 18:48:13,1537.0409,0.0532,1.22,1.348842E-7
30,2022/10/12 18:48:43,1538.759,0.0083,0.19,2.38343E-8
31,2022/10/12 18:49:13,1559.0787,0.0174,0.40,3.85384E-8
32,2022/10/12 18:49:43,1553.8601,0.0092,0.21,2.55086E-8
33,2022/10/12 18:50:13,1581.181,0.0266,0.61,5.49438E-8
34,2022/10/12 18:50:43,1538.7035,0.0222,0.51,4.56922E-8
35,2022/10/12 18:51:13,1555.9054,0.0622,1.42,1.365397E-7
