,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/5 22:09:51,1533.6812,49.0264,100.00,1.345894E-7
1,2022/9/5 22:10:21,1533.6822,49.0057,100.00,1.345895E-7
2,2022/9/5 22:10:51,1533.6821,49.1614,100.00,1.345895E-7
3,2022/9/5 22:11:21,1533.6834,49.7853,100.00,1.345896E-7
4,2022/9/5 22:11:51,1533.6837,49.0700,100.00,1.345896E-7
5,2022/9/5 22:12:21,1533.6832,49.7966,100.00,1.345896E-7
6,2022/9/5 22:12:51,1533.684,48.7576,100.00,1.345897E-7
7,2022/9/5 22:13:21,1533.6849,50.2913,100.00,1.345897E-7
8,2022/9/5 22:13:51,1533.685,48.7103,100.00,1.345897E-7
9,2022/9/5 22:14:21,1533.6852,48.5250,100.00,1.345898E-7
10,2022/9/5 22:14:51,1533.6848,48.4331,100.00,1.345897E-7
11,2022/9/5 22:15:21,1533.6854,49.6765,100.00,1.345898E-7
12,2022/9/5 22:15:51,1533.6861,48.4937,100.00,1.345898E-7
13,2022/9/5 22:16:21,1533.6855,49.5138,100.00,1.345898E-7
14,2022/9/5 22:16:51,1533.6856,49.0283,100.00,1.345898E-7
15,2022/9/5 22:17:21,1533.6855,47.4025,100.00,1.345898E-7
16,2022/9/5 22:17:51,1533.6853,50.2036,100.00,1.345898E-7
17,2022/9/5 22:18:21,1533.6852,49.7141,100.00,1.345898E-7
18,2022/9/5 22:18:51,1533.6857,48.2534,100.00,1.345898E-7
19,2022/9/5 22:19:21,1533.686,48.9411,100.00,1.345898E-7
20,2022/9/5 22:19:51,1533.6866,48.6614,100.00,1.345899E-7
21,2022/9/5 22:20:21,1533.6864,48.0915,100.00,1.345899E-7
22,2022/9/5 22:20:51,1533.6857,48.7589,100.00,1.345898E-7
23,2022/9/5 22:21:21,1533.6854,49.4374,100.00,1.345898E-7
24,2022/9/5 22:21:51,1533.6898,48.8773,100.00,1.345902E-7
25,2022/9/5 22:22:21,1533.7549,48.4612,100.00,1.345959E-7
26,2022/9/5 22:22:51,1533.9847,48.5542,100.00,1.346160E-7
27,2022/9/5 22:23:21,1534.127,48.9069,100.00,1.346285E-7
28,2022/9/5 22:23:51,1534.2281,47.8493,100.00,1.346374E-7
29,2022/9/5 22:24:21,1534.2983,48.1285,100.00,1.346436E-7
30,2022/9/5 22:24:51,1534.473,48.4695,100.00,1.346589E-7
31,2022/9/5 22:25:21,1534.5543,48.1059,100.00,1.346660E-7
32,2022/9/5 22:25:51,1534.6354,49.1937,100.00,1.346731E-7
33,2022/9/5 22:26:21,1534.7414,48.2623,100.00,1.346825E-7
34,2022/9/5 22:26:51,1534.8849,50.5294,100.00,1.346950E-7
35,2022/9/5 22:27:21,1535.0198,45.0440,100.00,1.347069E-7
36,2022/9/5 22:27:51,1535.159,46.5581,100.00,1.347191E-7
37,2022/9/5 22:28:21,1535.2869,34.1133,99.96,1.347303E-7
38,2022/9/5 22:28:51,1535.5865,44.7801,100.00,1.347566E-7
39,2022/9/5 22:29:21,1535.7127,43.0305,100.00,1.347677E-7
40,2022/9/5 22:29:51,1535.8319,41.4280,99.99,1.347781E-7
41,2022/9/5 22:30:21,1535.9675,41.3744,99.99,1.347900E-7
42,2022/9/5 22:30:51,1536.3015,40.3893,99.99,1.348194E-7
43,2022/9/5 22:31:21,1536.4383,39.0934,99.99,1.348314E-7
44,2022/9/5 22:31:51,1536.5935,38.2607,99.99,1.348450E-7
45,2022/9/5 22:32:21,1536.8992,31.1163,99.92,1.348718E-7
46,2022/9/5 22:32:51,1537.0857,36.3435,99.98,1.348882E-7
47,2022/9/5 22:33:21,1537.2206,35.3287,99.97,1.349000E-7
48,2022/9/5 22:33:51,1537.5301,34.4483,99.96,1.349272E-7
49,2022/9/5 22:34:21,1537.709,33.6468,99.96,1.349429E-7
50,2022/9/5 22:34:51,1538.0122,32.7152,99.95,1.349695E-7
51,2022/9/5 22:35:21,1538.1976,31.7295,99.93,1.349858E-7
52,2022/9/5 22:35:51,1538.3939,30.9162,99.92,1.350030E-7
53,2022/9/5 22:36:21,1538.6195,29.5772,99.89,1.350228E-7
54,2022/9/5 22:36:51,1538.851,19.5655,98.89,1.350431E-7
55,2022/9/5 22:37:21,1539.0508,27.4490,99.82,1.350606E-7
56,2022/9/5 22:37:51,1539.3234,26.1778,99.76,1.350845E-7
57,2022/9/5 22:38:21,1539.5362,24.4947,99.64,1.351032E-7
58,2022/9/5 22:38:51,1539.7741,23.8152,99.58,1.351241E-7
59,2022/9/5 22:39:21,1539.9861,13.0161,95.01,1.351427E-7
60,2022/9/5 22:39:51,1540.1813,21.3839,99.27,1.351598E-7
61,2022/9/5 22:40:21,1540.4285,20.2770,99.06,1.351815E-7
62,2022/9/5 22:40:51,1540.6668,19.2437,98.81,1.352024E-7
63,2022/9/5 22:41:21,1540.95,18.1391,98.47,1.352273E-7
64,2022/9/5 22:41:51,1541.1716,16.9561,97.98,1.352467E-7
65,2022/9/5 22:42:21,1541.3374,16.0279,97.50,1.352613E-7
66,2022/9/5 22:42:51,1541.5418,15.1021,96.91,1.352792E-7
67,2022/9/5 22:43:21,1541.7662,13.3989,95.43,1.352989E-7
68,2022/9/5 22:43:51,1541.9809,13.7491,95.78,1.353178E-7
69,2022/9/5 22:44:21,1542.2124,12.8495,94.81,1.353381E-7
70,2022/9/5 22:44:51,1542.5048,11.1056,92.25,1.353637E-7
71,2022/9/5 22:45:21,1542.7555,6.0598,75.22,1.353857E-7
72,2022/9/5 22:45:51,1543.0563,10.6753,91.44,1.354121E-7
73,2022/9/5 22:46:21,1543.3569,7.6819,82.95,1.354385E-7
74,2022/9/5 22:46:51,1543.6588,9.2362,88.08,1.354650E-7
75,2022/9/5 22:47:21,1543.9816,8.4813,85.81,1.354933E-7
76,2022/9/5 22:47:51,1544.3469,7.6568,82.85,1.355254E-7
77,2022/9/5 22:48:21,1544.7649,6.6509,78.38,1.355621E-7
78,2022/9/5 22:48:51,1545.2887,5.5808,72.34,1.356080E-7
79,2022/9/5 22:49:21,1546.1063,4.7495,66.50,1.356798E-7
80,2022/9/5 22:49:51,1547.8169,3.6205,56.55,1.358299E-7
81,2022/9/5 22:50:21,1557.0126,2.5481,44.39,1.366369E-7
82,2022/9/5 22:50:51,1529.2701,1.6554,31.69,1.342023E-7
83,2022/9/5 22:51:21,1539.5868,0.8691,18.14,1.351077E-7
84,2022/9/5 22:51:51,1541.2219,0.2889,6.44,1.352512E-7
85,2022/9/5 22:52:21,1541.6239,0.2896,6.45,1.352864E-7
86,2022/9/5 22:52:51,1538.1819,0.1790,4.04,1.349844E-7
87,2022/9/5 22:53:21,1538.0835,0.0264,0.61,5.34463E-8
88,2022/9/5 22:53:51,1540.8226,0.2886,6.43,1.352161E-7
89,2022/9/5 22:54:21,1540.3664,0.2879,6.41,1.351761E-7
90,2022/9/5 22:54:51,1539.6792,0.2886,6.43,1.351158E-7
91,2022/9/5 22:55:21,1539.0277,0.2886,6.43,1.350586E-7
92,2022/9/5 22:55:51,1538.2719,0.2895,6.45,1.349923E-7
