,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/5 22:09:51,1533.6684,49.0569,100.00,1.345883E-7
1,2022/9/5 22:10:21,1533.6694,50.1611,100.00,1.345884E-7
2,2022/9/5 22:10:51,1533.669,49.2376,100.00,1.345883E-7
3,2022/9/5 22:11:21,1533.6707,49.8247,100.00,1.345885E-7
4,2022/9/5 22:11:51,1533.671,49.2075,100.00,1.345885E-7
5,2022/9/5 22:12:21,1533.6699,49.8598,100.00,1.345884E-7
6,2022/9/5 22:12:51,1533.671,48.7615,100.00,1.345885E-7
7,2022/9/5 22:13:21,1533.6722,50.3641,100.00,1.345886E-7
8,2022/9/5 22:13:51,1533.6722,48.8038,100.00,1.345886E-7
9,2022/9/5 22:14:21,1533.6725,48.5588,100.00,1.345886E-7
10,2022/9/5 22:14:51,1533.6717,48.5349,100.00,1.345886E-7
11,2022/9/5 22:15:21,1533.6724,49.7097,100.00,1.345886E-7
12,2022/9/5 22:15:51,1533.6733,48.5903,100.00,1.345887E-7
13,2022/9/5 22:16:21,1533.6728,49.6141,100.00,1.345887E-7
14,2022/9/5 22:16:51,1533.6729,49.1893,100.00,1.345887E-7
15,2022/9/5 22:17:21,1533.6728,48.4738,100.00,1.345887E-7
16,2022/9/5 22:17:51,1533.6723,50.2694,100.00,1.345886E-7
17,2022/9/5 22:18:21,1533.6722,49.6328,100.00,1.345886E-7
18,2022/9/5 22:18:51,1533.6726,48.3084,100.00,1.345887E-7
19,2022/9/5 22:19:21,1533.6729,48.9980,100.00,1.345887E-7
20,2022/9/5 22:19:51,1533.6739,48.7693,100.00,1.345888E-7
21,2022/9/5 22:20:21,1533.6736,48.2027,100.00,1.345887E-7
22,2022/9/5 22:20:51,1533.6724,48.8162,100.00,1.345886E-7
23,2022/9/5 22:21:21,1533.6726,49.5229,100.00,1.345887E-7
24,2022/9/5 22:21:51,1533.6768,48.9670,100.00,1.345890E-7
25,2022/9/5 22:22:21,1533.7427,48.5001,100.00,1.345948E-7
26,2022/9/5 22:22:51,1533.9688,47.8187,100.00,1.346147E-7
27,2022/9/5 22:23:21,1534.1118,48.9516,100.00,1.346272E-7
28,2022/9/5 22:23:51,1534.2134,47.9449,100.00,1.346361E-7
29,2022/9/5 22:24:21,1534.284,47.5906,100.00,1.346423E-7
