,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/5 22:09:51,1535.6694,40.7193,99.99,1.347639E-7
1,2022/9/5 22:10:21,1535.6698,43.4082,100.00,1.347639E-7
2,2022/9/5 22:10:51,1535.6704,43.6278,100.00,1.347640E-7
3,2022/9/5 22:11:21,1535.6709,43.7286,100.00,1.347640E-7
4,2022/9/5 22:11:51,1535.6712,43.0982,100.00,1.347640E-7
5,2022/9/5 22:12:21,1535.6713,43.7566,100.00,1.347641E-7
6,2022/9/5 22:12:51,1535.6727,42.3542,99.99,1.347642E-7
7,2022/9/5 22:13:21,1535.6719,43.0018,99.99,1.347641E-7
8,2022/9/5 22:13:51,1535.6733,42.4353,99.99,1.347642E-7
9,2022/9/5 22:14:21,1535.6728,43.5355,100.00,1.347642E-7
10,2022/9/5 22:14:51,1535.6726,43.5753,100.00,1.347642E-7
11,2022/9/5 22:15:21,1535.6731,43.3706,100.00,1.347642E-7
12,2022/9/5 22:15:51,1535.6718,44.4297,100.00,1.347641E-7
13,2022/9/5 22:16:21,1535.6732,43.4363,100.00,1.347642E-7
14,2022/9/5 22:16:51,1535.6731,43.4715,100.00,1.347642E-7
15,2022/9/5 22:17:21,1535.6735,43.5179,100.00,1.347642E-7
16,2022/9/5 22:17:51,1535.6732,43.4603,100.00,1.347642E-7
17,2022/9/5 22:18:21,1535.6735,43.3733,100.00,1.347642E-7
18,2022/9/5 22:18:51,1535.6737,43.3546,100.00,1.347643E-7
19,2022/9/5 22:19:21,1535.6743,43.3024,100.00,1.347643E-7
20,2022/9/5 22:19:51,1535.6729,44.5438,100.00,1.347642E-7
21,2022/9/5 22:20:21,1535.6746,40.9542,99.99,1.347643E-7
22,2022/9/5 22:20:51,1535.6743,43.3488,100.00,1.347643E-7
23,2022/9/5 22:21:21,1535.6733,43.6224,100.00,1.347642E-7
24,2022/9/5 22:21:51,1535.6802,43.0540,100.00,1.347648E-7
25,2022/9/5 22:22:21,1535.8006,43.8145,100.00,1.347754E-7
26,2022/9/5 22:22:51,1535.9999,41.9127,99.99,1.347929E-7
27,2022/9/5 22:23:21,1536.0849,37.3901,99.98,1.348004E-7
28,2022/9/5 22:23:51,1536.1723,43.9687,100.00,1.348080E-7
29,2022/9/5 22:24:21,1536.2725,44.5190,100.00,1.348168E-7
30,2022/9/5 22:24:51,1536.3736,41.4788,99.99,1.348257E-7
31,2022/9/5 22:25:21,1536.4293,35.3557,99.97,1.348306E-7
32,2022/9/5 22:25:51,1536.5769,43.6885,100.00,1.348435E-7
33,2022/9/5 22:26:21,1536.686,41.9555,99.99,1.348531E-7
34,2022/9/5 22:26:51,1536.7727,43.4323,100.00,1.348607E-7
35,2022/9/5 22:27:21,1536.9483,43.3960,100.00,1.348761E-7
36,2022/9/5 22:27:51,1537.0093,42.4720,99.99,1.348815E-7
37,2022/9/5 22:28:21,1537.243,43.7999,100.00,1.349020E-7
38,2022/9/5 22:28:51,1537.4303,29.4167,99.89,1.349184E-7
39,2022/9/5 22:29:21,1537.5981,39.7121,99.99,1.349331E-7
40,2022/9/5 22:29:51,1537.6989,42.7041,99.99,1.349420E-7
41,2022/9/5 22:30:21,1537.9105,41.0854,99.99,1.349606E-7
42,2022/9/5 22:30:51,1538.1138,38.8098,99.99,1.349784E-7
43,2022/9/5 22:31:21,1538.2541,40.0318,99.99,1.349907E-7
44,2022/9/5 22:31:51,1538.4373,37.3783,99.98,1.350068E-7
45,2022/9/5 22:32:21,1538.6715,37.0907,99.98,1.350273E-7
46,2022/9/5 22:32:51,1538.8625,36.3385,99.98,1.350441E-7
47,2022/9/5 22:33:21,1539.0988,35.2279,99.97,1.350648E-7
48,2022/9/5 22:33:51,1539.3043,34.6551,99.97,1.350829E-7
49,2022/9/5 22:34:21,1539.5415,33.3809,99.95,1.351037E-7
50,2022/9/5 22:34:51,1539.7895,33.0321,99.95,1.351255E-7
51,2022/9/5 22:35:21,1540.0309,31.7932,99.93,1.351466E-7
52,2022/9/5 22:35:51,1540.2567,32.0722,99.94,1.351665E-7
53,2022/9/5 22:36:21,1540.4687,29.1589,99.88,1.351851E-7
54,2022/9/5 22:36:51,1540.7605,29.2966,99.88,1.352107E-7
55,2022/9/5 22:37:21,1540.9845,27.6519,99.83,1.352303E-7
56,2022/9/5 22:37:51,1541.2881,16.1796,97.59,1.352570E-7
57,2022/9/5 22:38:21,1541.5404,25.5777,99.72,1.352791E-7
58,2022/9/5 22:38:51,1541.8628,26.1214,99.76,1.353074E-7
59,2022/9/5 22:39:21,1542.0937,24.6692,99.66,1.353277E-7
60,2022/9/5 22:39:51,1542.4015,23.7179,99.58,1.353547E-7
61,2022/9/5 22:40:21,1542.6438,22.2310,99.40,1.353759E-7
62,2022/9/5 22:40:51,1543.0017,22.3768,99.42,1.354073E-7
63,2022/9/5 22:41:21,1543.4775,20.5070,99.11,1.354491E-7
64,2022/9/5 22:41:51,1544.0117,18.9751,98.73,1.354960E-7
65,2022/9/5 22:42:21,1544.0485,16.4127,97.72,1.354992E-7
66,2022/9/5 22:42:51,1544.1883,16.7337,97.88,1.355115E-7
67,2022/9/5 22:43:21,1544.3069,16.1156,97.55,1.355219E-7
