,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/5 22:09:51,1535.6598,44.7343,100.00,1.347630E-7
1,2022/9/5 22:10:21,1535.6602,44.7758,100.00,1.347631E-7
2,2022/9/5 22:10:51,1535.6608,44.8361,100.00,1.347631E-7
3,2022/9/5 22:11:21,1535.6599,39.7989,99.99,1.347631E-7
4,2022/9/5 22:11:51,1535.6616,44.8312,100.00,1.347632E-7
5,2022/9/5 22:12:21,1535.6617,44.7909,100.00,1.347632E-7
6,2022/9/5 22:12:51,1535.662,45.0164,100.00,1.347632E-7
7,2022/9/5 22:13:21,1535.6624,44.9690,100.00,1.347633E-7
8,2022/9/5 22:13:51,1535.6626,44.8269,100.00,1.347633E-7
9,2022/9/5 22:14:21,1535.6632,44.8276,100.00,1.347633E-7
10,2022/9/5 22:14:51,1535.6631,44.9922,100.00,1.347633E-7
11,2022/9/5 22:15:21,1535.6635,45.0075,100.00,1.347634E-7
12,2022/9/5 22:15:51,1535.6622,44.9104,100.00,1.347633E-7
13,2022/9/5 22:16:21,1535.6636,44.9637,100.00,1.347634E-7
14,2022/9/5 22:16:51,1535.6621,45.0308,100.00,1.347632E-7
15,2022/9/5 22:17:21,1535.664,44.9365,100.00,1.347634E-7
16,2022/9/5 22:17:51,1535.6637,44.9543,100.00,1.347634E-7
17,2022/9/5 22:18:21,1535.664,44.8939,100.00,1.347634E-7
18,2022/9/5 22:18:51,1535.6642,44.9228,100.00,1.347634E-7
19,2022/9/5 22:19:21,1535.6647,44.8419,100.00,1.347635E-7
20,2022/9/5 22:19:51,1535.6634,44.7350,100.00,1.347634E-7
21,2022/9/5 22:20:21,1535.6651,44.9715,100.00,1.347635E-7
22,2022/9/5 22:20:51,1535.6648,44.8532,100.00,1.347635E-7
23,2022/9/5 22:21:21,1535.6637,44.9884,100.00,1.347634E-7
24,2022/9/5 22:21:51,1535.6708,45.2390,100.00,1.347640E-7
25,2022/9/5 22:22:21,1535.7929,44.6680,100.00,1.347747E-7
26,2022/9/5 22:22:51,1535.9919,44.5711,100.00,1.347922E-7
27,2022/9/5 22:23:21,1536.097,44.6993,100.00,1.348014E-7
28,2022/9/5 22:23:51,1536.1743,43.2875,100.00,1.348082E-7
29,2022/9/5 22:24:21,1536.2503,44.4689,100.00,1.348149E-7
30,2022/9/5 22:24:51,1536.3785,40.1742,99.99,1.348261E-7
31,2022/9/5 22:25:21,1536.4711,44.6158,100.00,1.348342E-7
32,2022/9/5 22:25:51,1536.5791,44.4339,100.00,1.348437E-7
33,2022/9/5 22:26:21,1536.6635,44.6822,100.00,1.348511E-7
34,2022/9/5 22:26:51,1536.8385,44.6730,100.00,1.348665E-7
35,2022/9/5 22:27:21,1536.9672,44.1509,100.00,1.348778E-7
36,2022/9/5 22:27:51,1537.0698,43.7295,100.00,1.348868E-7
37,2022/9/5 22:28:21,1537.1987,44.2754,100.00,1.348981E-7
38,2022/9/5 22:28:51,1537.4819,27.2952,99.81,1.349229E-7
39,2022/9/5 22:29:21,1537.6134,37.5215,99.98,1.349345E-7
40,2022/9/5 22:29:51,1537.7652,34.8826,99.97,1.349478E-7
41,2022/9/5 22:30:21,1537.9722,41.9148,99.99,1.349660E-7
42,2022/9/5 22:30:51,1538.1708,41.0790,99.99,1.349834E-7
43,2022/9/5 22:31:21,1538.3568,40.2063,99.99,1.349997E-7
44,2022/9/5 22:31:51,1538.5602,39.1421,99.99,1.350176E-7
45,2022/9/5 22:32:21,1538.7696,38.1808,99.98,1.350359E-7
46,2022/9/5 22:32:51,1538.9979,32.7147,99.95,1.350560E-7
47,2022/9/5 22:33:21,1539.1956,35.6221,99.97,1.350733E-7
48,2022/9/5 22:33:51,1539.426,35.3425,99.97,1.350936E-7
49,2022/9/5 22:34:21,1539.6375,34.1074,99.96,1.351121E-7
50,2022/9/5 22:34:51,1539.892,33.7103,99.96,1.351344E-7
51,2022/9/5 22:35:21,1540.1276,32.6229,99.95,1.351551E-7
52,2022/9/5 22:35:51,1540.3417,31.9813,99.94,1.351739E-7
53,2022/9/5 22:36:21,1540.5716,31.1773,99.92,1.351941E-7
54,2022/9/5 22:36:51,1540.8106,30.3558,99.91,1.352151E-7
55,2022/9/5 22:37:21,1541.0461,29.5207,99.89,1.352357E-7
56,2022/9/5 22:37:51,1541.2978,24.4787,99.64,1.352578E-7
57,2022/9/5 22:38:21,1541.5419,27.5861,99.83,1.352792E-7
58,2022/9/5 22:38:51,1541.7923,26.6501,99.78,1.353012E-7
59,2022/9/5 22:39:21,1542.023,24.1161,99.61,1.353215E-7
60,2022/9/5 22:39:51,1542.2482,24.5918,99.65,1.353412E-7
61,2022/9/5 22:40:21,1542.4948,23.2845,99.53,1.353629E-7
62,2022/9/5 22:40:51,1542.775,12.4380,94.30,1.353874E-7
63,2022/9/5 22:41:21,1543.2026,20.3359,99.07,1.354250E-7
64,2022/9/5 22:41:51,1543.6983,19.7098,98.93,1.354685E-7
65,2022/9/5 22:42:21,1543.7172,17.4987,98.22,1.354701E-7
66,2022/9/5 22:42:51,1543.8372,16.7288,97.88,1.354807E-7
67,2022/9/5 22:43:21,1543.9462,17.1049,98.05,1.354902E-7
68,2022/9/5 22:43:51,1544.1319,16.8163,97.92,1.355065E-7
69,2022/9/5 22:44:21,1544.3703,16.0653,97.53,1.355274E-7
70,2022/9/5 22:44:51,1544.6101,15.3722,97.10,1.355485E-7
71,2022/9/5 22:45:21,1544.8558,14.7855,96.68,1.355700E-7
72,2022/9/5 22:45:51,1545.093,14.2442,96.24,1.355909E-7
73,2022/9/5 22:46:21,1545.3359,10.5441,91.18,1.356122E-7
74,2022/9/5 22:46:51,1545.5808,12.7510,94.69,1.356337E-7
75,2022/9/5 22:47:21,1545.8187,12.2160,94.00,1.356545E-7
76,2022/9/5 22:47:51,1546.0562,11.4057,92.77,1.356754E-7
77,2022/9/5 22:48:21,1546.283,10.6857,91.46,1.356953E-7
78,2022/9/5 22:48:51,1546.5096,9.8901,89.74,1.357152E-7
79,2022/9/5 22:49:21,1546.7542,9.0142,87.45,1.357366E-7
80,2022/9/5 22:49:51,1546.9706,8.1550,84.71,1.357556E-7
81,2022/9/5 22:50:21,1547.1901,7.1380,80.67,1.357749E-7
82,2022/9/5 22:50:51,1547.4015,5.9227,74.43,1.357934E-7
83,2022/9/5 22:51:21,1547.5117,4.6686,65.87,1.358031E-7
84,2022/9/5 22:51:51,1547.4879,3.3547,53.81,1.358010E-7
85,2022/9/5 22:52:21,1547.2371,2.1092,38.47,1.357790E-7
86,2022/9/5 22:52:51,1546.3364,1.2328,24.71,1.357000E-7
87,2022/9/5 22:53:21,1541.5488,0.5275,11.44,1.352798E-7
88,2022/9/5 22:53:51,1562.5914,0.1581,3.57,1.371264E-7
89,2022/9/5 22:54:21,1554.5204,1.4724,28.75,1.364182E-7
90,2022/9/5 22:54:51,1554.6678,1.4651,28.63,1.364311E-7
91,2022/9/5 22:55:21,1559.109,0.1471,3.33,1.368208E-7
92,2022/9/5 22:55:51,1418.5131,0.2892,6.44,1.244827E-7
93,2022/9/5 22:56:21,1540.0287,0.5027,10.93,1.351464E-7
94,2022/9/5 22:56:51,1544.2575,0.6967,14.82,1.355175E-7
95,2022/9/5 22:57:21,1545.662,0.8368,17.53,1.356408E-7
96,2022/9/5 22:57:51,1546.3162,0.9510,19.67,1.356982E-7
97,2022/9/5 22:58:21,1546.6562,1.0663,21.77,1.357280E-7
98,2022/9/5 22:58:51,1546.8605,1.1112,22.58,1.357460E-7
99,2022/9/5 22:59:21,1546.9181,1.1621,23.48,1.357510E-7
100,2022/9/5 22:59:51,1546.9896,1.1162,22.66,1.357573E-7
101,2022/9/5 23:00:21,1546.9858,1.1412,23.11,1.357570E-7
102,2022/9/5 23:00:51,1546.9549,1.1059,22.48,1.357543E-7
103,2022/9/5 23:01:21,1546.9393,1.0589,21.64,1.357529E-7
104,2022/9/5 23:01:51,1546.864,1.0464,21.41,1.357463E-7
105,2022/9/5 23:02:21,1546.6471,0.6620,14.14,1.357272E-7
106,2022/9/5 23:02:51,1546.7036,0.9642,19.91,1.357322E-7
107,2022/9/5 23:03:21,1546.6039,0.9238,19.16,1.357235E-7
108,2022/9/5 23:03:51,1546.5228,0.9001,18.72,1.357163E-7
109,2022/9/5 23:04:21,1546.3747,0.8670,18.10,1.357033E-7
110,2022/9/5 23:04:51,1546.206,0.7820,16.48,1.356885E-7
111,2022/9/5 23:05:21,1546.1422,0.8434,17.65,1.356829E-7
112,2022/9/5 23:05:51,1546.0202,0.7815,16.47,1.356722E-7
113,2022/9/5 23:06:21,1545.9074,0.7629,16.11,1.356623E-7
114,2022/9/5 23:06:51,1545.7576,0.6687,14.27,1.356492E-7
115,2022/9/5 23:07:21,1545.6345,0.7312,15.50,1.356384E-7
116,2022/9/5 23:07:51,1545.5465,0.7298,15.47,1.356307E-7
117,2022/9/5 23:08:21,1545.5814,0.7364,15.60,1.356337E-7
118,2022/9/5 23:08:51,1545.3999,0.6885,14.66,1.356178E-7
119,2022/9/5 23:09:21,1545.2958,0.6972,14.83,1.356087E-7
120,2022/9/5 23:09:51,1545.3279,0.6880,14.65,1.356115E-7
121,2022/9/5 23:10:21,1545.2943,0.6556,14.01,1.356085E-7
122,2022/9/5 23:10:51,1545.1949,0.6633,14.16,1.355998E-7
123,2022/9/5 23:11:21,1545.1446,0.6654,14.21,1.355954E-7
124,2022/9/5 23:11:51,1545.0374,0.6494,13.89,1.355860E-7
125,2022/9/5 23:12:21,1545.0503,0.6504,13.91,1.355871E-7
126,2022/9/5 23:12:51,1545.0073,0.6499,13.90,1.355833E-7
127,2022/9/5 23:13:21,1545.0641,0.6474,13.85,1.355883E-7
128,2022/9/5 23:13:51,1544.9617,0.6462,13.83,1.355793E-7
129,2022/9/5 23:14:21,1544.9403,0.6593,14.08,1.355775E-7
130,2022/9/5 23:14:51,1544.9229,0.6430,13.76,1.355759E-7
131,2022/9/5 23:15:21,1544.8922,0.6361,13.62,1.355732E-7
132,2022/9/5 23:15:51,1544.6764,0.6105,13.11,1.355543E-7
133,2022/9/5 23:16:21,1544.7662,0.6242,13.39,1.355622E-7
134,2022/9/5 23:16:51,1544.7164,0.6357,13.62,1.355578E-7
135,2022/9/5 23:17:21,1544.7695,0.6318,13.54,1.355625E-7
136,2022/9/5 23:17:51,1544.6442,0.6106,13.12,1.355515E-7
137,2022/9/5 23:18:21,1544.8158,0.4054,8.91,1.355665E-7
138,2022/9/5 23:18:51,1544.6164,0.6065,13.03,1.355490E-7
139,2022/9/5 23:19:21,1544.7571,0.6252,13.41,1.355614E-7
140,2022/9/5 23:19:51,1544.9553,0.6137,13.18,1.355788E-7
141,2022/9/5 23:20:21,1544.5947,0.4637,10.13,1.355471E-7
142,2022/9/5 23:20:51,1544.6876,0.6182,13.27,1.355553E-7
143,2022/9/5 23:21:21,1544.6674,0.5939,12.78,1.355535E-7
144,2022/9/5 23:21:51,1544.6054,0.5987,12.88,1.355481E-7
145,2022/9/5 23:22:21,1544.524,0.5997,12.90,1.355409E-7
146,2022/9/5 23:22:51,1544.5786,0.5886,12.67,1.355457E-7
147,2022/9/5 23:23:21,1544.5538,0.5918,12.74,1.355435E-7
148,2022/9/5 23:23:51,1544.6992,0.5907,12.72,1.355563E-7
149,2022/9/5 23:24:21,1544.5982,0.5883,12.67,1.355474E-7
150,2022/9/5 23:24:51,1544.5538,0.5809,12.52,1.355435E-7
151,2022/9/5 23:25:21,1544.5414,0.5995,12.89,1.355425E-7
152,2022/9/5 23:25:51,1544.4808,0.5954,12.81,1.355371E-7
153,2022/9/5 23:26:21,1544.4311,0.5878,12.66,1.355328E-7
154,2022/9/5 23:26:51,1544.6577,0.5792,12.49,1.355527E-7
155,2022/9/5 23:27:21,1544.4451,0.6077,13.06,1.355340E-7
156,2022/9/5 23:27:51,1544.6001,0.6001,12.91,1.355476E-7
157,2022/9/5 23:28:21,1544.4954,0.5887,12.68,1.355384E-7
158,2022/9/5 23:28:51,1544.5471,0.5816,12.53,1.355430E-7
159,2022/9/5 23:29:21,1544.4338,0.5392,11.68,1.355330E-7
160,2022/9/5 23:29:51,1544.5494,0.5849,12.60,1.355432E-7
161,2022/9/5 23:30:21,1544.5265,0.5925,12.75,1.355412E-7
162,2022/9/5 23:30:51,1544.5067,0.5805,12.51,1.355394E-7
163,2022/9/5 23:31:21,1544.5858,0.5869,12.64,1.355464E-7
164,2022/9/5 23:31:51,1544.4264,0.5897,12.70,1.355324E-7
165,2022/9/5 23:32:21,1544.3413,0.5940,12.78,1.355249E-7
166,2022/9/5 23:32:51,1544.2636,0.5762,12.43,1.355181E-7
167,2022/9/5 23:33:21,1544.3184,0.5420,11.73,1.355229E-7
