,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/20 17:05:11,1534.5025,32.5306,99.94,1.346615E-7
1,2022/9/20 17:05:41,1534.5025,27.3190,99.81,1.346615E-7
2,2022/9/20 17:06:11,1534.5025,28.8752,99.87,1.346615E-7
3,2022/9/20 17:06:41,1534.5032,32.9401,99.95,1.346615E-7
4,2022/9/20 17:07:11,1534.5032,32.2270,99.94,1.346615E-7
5,2022/9/20 17:07:41,1534.504,33.5054,99.96,1.346616E-7
6,2022/9/20 17:08:11,1534.5021,33.8173,99.96,1.346615E-7
7,2022/9/20 17:08:41,1534.501,24.9688,99.68,1.346614E-7
8,2022/9/20 17:09:11,1534.5005,34.0866,99.96,1.346613E-7
9,2022/9/20 17:09:41,1534.4986,34.0474,99.96,1.346611E-7
10,2022/9/20 17:10:11,1534.5001,30.4969,99.91,1.346613E-7
11,2022/9/20 17:10:41,1534.5008,25.4047,99.71,1.346613E-7
12,2022/9/20 17:11:11,1534.5206,36.2223,99.98,1.346631E-7
13,2022/9/20 17:11:41,1534.5732,35.9807,99.97,1.346677E-7
14,2022/9/20 17:12:11,1534.5897,35.3003,99.97,1.346691E-7
15,2022/9/20 17:12:41,1534.5843,37.2942,99.98,1.346687E-7
16,2022/9/20 17:13:11,1534.498,5.6323,72.66,1.346611E-7
17,2022/9/20 17:13:41,1535.1117,35.4504,99.97,1.347149E-7
18,2022/9/20 17:14:11,1535.3979,36.8744,99.98,1.347401E-7
19,2022/9/20 17:14:41,1535.238,34.1135,99.96,1.347260E-7
20,2022/9/20 17:15:11,1535.5901,17.0455,98.03,1.347569E-7
21,2022/9/20 17:15:41,1534.9196,15.2296,97.00,1.346981E-7
22,2022/9/20 17:16:11,1535.0605,36.0653,99.98,1.347105E-7
23,2022/9/20 17:16:41,1534.462,32.8838,99.95,1.346579E-7
24,2022/9/20 17:17:11,1534.6029,13.8705,95.90,1.346703E-7
25,2022/9/20 17:17:41,1534.854,23.6625,99.57,1.346923E-7
26,2022/9/20 17:18:11,1535.7151,34.8531,99.97,1.347679E-7
27,2022/9/20 17:18:41,1535.667,36.6886,99.98,1.347637E-7
28,2022/9/20 17:19:11,1535.0934,32.9656,99.95,1.347133E-7
29,2022/9/20 17:19:41,1534.7636,35.8130,99.97,1.346844E-7
30,2022/9/20 17:20:11,1535.09,34.1264,99.96,1.347130E-7
31,2022/9/20 17:20:41,1534.5943,35.8510,99.97,1.346695E-7
32,2022/9/20 17:21:11,1535.502,32.1887,99.94,1.347492E-7
33,2022/9/20 17:21:41,1535.1309,35.9086,99.97,1.347166E-7
34,2022/9/20 17:22:11,1536.0656,26.4958,99.78,1.347987E-7
35,2022/9/20 17:22:41,1535.2872,36.0100,99.97,1.347303E-7
36,2022/9/20 17:23:11,1534.7172,13.9362,95.96,1.346803E-7
