,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/20 17:05:11,-28.161,15.9926,97.48,-2.4713E-9
1,2022/9/20 17:05:41,-28.1611,33.5275,99.96,-2.4713E-9
2,2022/9/20 17:06:11,-28.1611,30.5870,99.91,-2.4713E-9
3,2022/9/20 17:06:41,-28.1611,37.8499,99.98,-2.4713E-9
4,2022/9/20 17:07:11,-28.1611,35.2695,99.97,-2.4713E-9
5,2022/9/20 17:07:41,-28.1611,34.1291,99.96,-2.4713E-9
6,2022/9/20 17:08:11,-28.1619,19.7422,98.94,-2.4714E-9
7,2022/9/20 17:08:41,-28.1674,37.8564,99.98,-2.4719E-9
8,2022/9/20 17:09:11,-28.1669,34.9213,99.97,-2.4718E-9
9,2022/9/20 17:09:41,-28.1676,36.1673,99.98,-2.4719E-9
10,2022/9/20 17:10:11,-28.1659,37.7948,99.98,-2.4717E-9
11,2022/9/20 17:10:41,-28.1676,31.6898,99.93,-2.4719E-9
12,2022/9/20 17:11:11,-28.0854,37.7353,99.98,-2.4647E-9
13,2022/9/20 17:11:41,-28.3835,37.1933,99.98,-2.4908E-9
14,2022/9/20 17:12:11,-28.4204,36.6590,99.98,-2.4941E-9
15,2022/9/20 17:12:41,-28.294,37.7229,99.98,-2.4830E-9
16,2022/9/20 17:13:11,-29.318,36.6982,99.98,-2.5728E-9
17,2022/9/20 17:13:41,-27.8689,27.8660,99.84,-2.4457E-9
18,2022/9/20 17:14:11,-28.0806,36.6834,99.98,-2.4642E-9
19,2022/9/20 17:14:41,-28.1947,37.4631,99.98,-2.4742E-9
20,2022/9/20 17:15:11,-27.9172,29.7138,99.89,-2.4499E-9
21,2022/9/20 17:15:41,-28.0677,33.1444,99.95,-2.4631E-9
22,2022/9/20 17:16:11,-28.013,37.5358,99.98,-2.4583E-9
23,2022/9/20 17:16:41,-28.168,37.7514,99.98,-2.4719E-9
24,2022/9/20 17:17:11,-28.3711,36.4810,99.98,-2.4897E-9
25,2022/9/20 17:17:41,-28.1126,36.9725,99.98,-2.4670E-9
26,2022/9/20 17:18:11,-27.9802,36.6722,99.98,-2.4554E-9
27,2022/9/20 17:18:41,-27.9707,37.5498,99.98,-2.4546E-9
28,2022/9/20 17:19:11,-28.0274,25.0389,99.69,-2.4596E-9
29,2022/9/20 17:19:41,-28.153,31.8127,99.93,-2.4706E-9
30,2022/9/20 17:20:11,-28.0423,37.5234,99.98,-2.4609E-9
31,2022/9/20 17:20:41,-28.3109,19.2663,98.82,-2.4844E-9
32,2022/9/20 17:21:11,-28.2878,37.2853,99.98,-2.4824E-9
33,2022/9/20 17:21:41,-27.9065,15.9310,97.45,-2.4490E-9
34,2022/9/20 17:22:11,-28.2831,18.8174,98.69,-2.4820E-9
35,2022/9/20 17:22:41,-28.1214,37.5831,99.98,-2.4678E-9
36,2022/9/20 17:23:11,-28.2314,34.8076,99.97,-2.4775E-9
37,2022/9/20 17:23:41,-28.6101,36.9214,99.98,-2.5107E-9
38,2022/9/20 17:24:11,-28.7005,32.9281,99.95,-2.5186E-9
39,2022/9/20 17:24:41,-28.1241,37.6560,99.98,-2.4681E-9
40,2022/9/20 17:25:11,-28.121,28.2899,99.85,-2.4678E-9
41,2022/9/20 17:25:41,-28.021,37.5717,99.98,-2.4590E-9
42,2022/9/20 17:26:11,-28.0235,32.4126,99.94,-2.4592E-9
43,2022/9/20 17:26:41,-28.0161,37.4918,99.98,-2.4586E-9
44,2022/9/20 17:27:11,-28.0365,36.4759,99.98,-2.4604E-9
45,2022/9/20 17:27:41,-28.1688,37.8961,99.98,-2.4720E-9
46,2022/9/20 17:28:11,-28.1684,36.0123,99.97,-2.4719E-9
47,2022/9/20 17:28:41,-28.155,36.9918,99.98,-2.4708E-9
48,2022/9/20 17:29:11,-28.2469,33.2207,99.95,-2.4788E-9
49,2022/9/20 17:29:41,-28.0975,37.4241,99.98,-2.4657E-9
50,2022/9/20 17:30:11,-28.0933,37.6059,99.98,-2.4653E-9
51,2022/9/20 17:30:41,-28.1694,37.8267,99.98,-2.4720E-9
52,2022/9/20 17:31:11,-28.1225,37.3810,99.98,-2.4679E-9
53,2022/9/20 17:31:41,-27.2689,18.8585,98.70,-2.3930E-9
54,2022/9/20 17:32:11,-27.796,37.8268,99.98,-2.4393E-9
55,2022/9/20 17:32:41,-27.7867,10.9777,92.02,-2.4384E-9
56,2022/9/20 17:33:11,-28.0051,37.6450,99.98,-2.4576E-9
57,2022/9/20 17:33:41,-28.169,28.7789,99.87,-2.4720E-9
58,2022/9/20 17:34:11,-28.1752,37.7082,99.98,-2.4725E-9
59,2022/9/20 17:34:41,-28.177,30.1547,99.90,-2.4727E-9
60,2022/9/20 17:35:11,-28.2056,37.0944,99.98,-2.4752E-9
61,2022/9/20 17:35:41,-28.2096,36.6734,99.98,-2.4756E-9
62,2022/9/20 17:36:11,-28.1899,34.4801,99.96,-2.4738E-9
63,2022/9/20 17:36:41,-28.1146,35.1368,99.97,-2.4672E-9
64,2022/9/20 17:37:11,-28.2108,37.6979,99.98,-2.4757E-9
65,2022/9/20 17:37:41,-28.0247,37.7668,99.98,-2.4593E-9
66,2022/9/20 17:38:11,-28.063,23.8850,99.59,-2.4627E-9
67,2022/9/20 17:38:41,-28.1359,33.0735,99.95,-2.4691E-9
68,2022/9/20 17:39:11,-28.1351,37.3590,99.98,-2.4690E-9
69,2022/9/20 17:39:41,-28.1344,37.8109,99.98,-2.4690E-9
70,2022/9/20 17:40:11,-28.1351,37.6617,99.98,-2.4690E-9
71,2022/9/20 17:40:41,-28.1338,33.2525,99.95,-2.4689E-9
72,2022/9/20 17:41:11,-28.1336,33.5285,99.96,-2.4689E-9
73,2022/9/20 17:41:41,-28.1333,37.7965,99.98,-2.4689E-9
74,2022/9/20 17:42:11,-28.132,37.6769,99.98,-2.4687E-9
75,2022/9/20 17:42:41,-28.1331,37.5389,99.98,-2.4688E-9
76,2022/9/20 17:43:11,-28.1329,37.3243,99.98,-2.4688E-9
77,2022/9/20 17:43:41,-28.1331,37.8935,99.98,-2.4688E-9
78,2022/9/20 17:44:11,-28.1316,35.5103,99.97,-2.4687E-9
79,2022/9/20 17:44:41,-28.1315,33.1566,99.95,-2.4687E-9
80,2022/9/20 17:45:11,-28.1327,35.8748,99.97,-2.4688E-9
81,2022/9/20 17:45:41,-28.1327,37.6930,99.98,-2.4688E-9
82,2022/9/20 17:46:11,-28.1315,34.4694,99.96,-2.4687E-9
83,2022/9/20 17:46:41,-28.1325,37.7933,99.98,-2.4688E-9
84,2022/9/20 17:47:11,-28.1326,34.0863,99.96,-2.4688E-9
85,2022/9/20 17:47:41,-28.1326,30.3329,99.91,-2.4688E-9
86,2022/9/20 17:48:11,-28.1336,33.0597,99.95,-2.4689E-9
87,2022/9/20 17:48:41,-28.1325,31.4778,99.93,-2.4688E-9
88,2022/9/20 17:49:11,-28.1341,37.2940,99.98,-2.4689E-9
89,2022/9/20 17:49:41,-28.1327,37.8197,99.98,-2.4688E-9
90,2022/9/20 17:50:11,-28.1325,37.9077,99.98,-2.4688E-9
91,2022/9/20 17:50:41,-28.1336,37.5289,99.98,-2.4689E-9
92,2022/9/20 17:51:11,-28.1335,37.3196,99.98,-2.4689E-9
