,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/20 17:05:11,1530.4625,33.3093,99.95,1.343070E-7
1,2022/9/20 17:05:41,1530.4625,36.8554,99.98,1.343070E-7
2,2022/9/20 17:06:11,1530.4624,37.7549,99.98,1.343069E-7
3,2022/9/20 17:06:41,1530.4624,35.2274,99.97,1.343069E-7
4,2022/9/20 17:07:11,1530.4624,33.1688,99.95,1.343069E-7
5,2022/9/20 17:07:41,1530.4624,36.9848,99.98,1.343069E-7
6,2022/9/20 17:08:11,1530.4622,37.7204,99.98,1.343069E-7
7,2022/9/20 17:08:41,1530.4598,37.7739,99.98,1.343067E-7
8,2022/9/20 17:09:11,1530.4599,37.8863,99.98,1.343067E-7
9,2022/9/20 17:09:41,1530.4597,36.7400,99.98,1.343067E-7
10,2022/9/20 17:10:11,1530.4607,36.7870,99.98,1.343068E-7
11,2022/9/20 17:10:41,1530.4597,32.2137,99.94,1.343067E-7
12,2022/9/20 17:11:11,1530.482,37.7175,99.98,1.343087E-7
13,2022/9/20 17:11:41,1530.6218,37.5537,99.98,1.343209E-7
14,2022/9/20 17:12:11,1530.5443,37.6565,99.98,1.343141E-7
15,2022/9/20 17:12:41,1530.5669,36.9577,99.98,1.343161E-7
16,2022/9/20 17:13:11,1530.4924,37.2987,99.98,1.343096E-7
17,2022/9/20 17:13:41,1531.2148,37.5989,99.98,1.343730E-7
18,2022/9/20 17:14:11,1531.348,37.3879,99.98,1.343847E-7
19,2022/9/20 17:14:41,1531.2981,28.3465,99.85,1.343803E-7
20,2022/9/20 17:15:11,1531.5801,29.6902,99.89,1.344050E-7
21,2022/9/20 17:15:41,1531.0164,36.6455,99.98,1.343556E-7
22,2022/9/20 17:16:11,1531.0587,37.4758,99.98,1.343593E-7
23,2022/9/20 17:16:41,1530.4599,37.3234,99.98,1.343067E-7
24,2022/9/20 17:17:11,1530.5274,35.8818,99.97,1.343126E-7
25,2022/9/20 17:17:41,1530.8541,37.2374,99.98,1.343413E-7
26,2022/9/20 17:18:11,1531.7205,36.8483,99.98,1.344173E-7
27,2022/9/20 17:18:41,1531.6627,37.6087,99.98,1.344123E-7
28,2022/9/20 17:19:11,1531.1162,37.7116,99.98,1.343643E-7
29,2022/9/20 17:19:41,1530.8364,36.6303,99.98,1.343398E-7
30,2022/9/20 17:20:11,1531.0951,25.3300,99.71,1.343625E-7
31,2022/9/20 17:20:41,1530.6718,37.1645,99.98,1.343253E-7
32,2022/9/20 17:21:11,1531.5959,23.0585,99.51,1.344064E-7
33,2022/9/20 17:21:41,1531.0842,25.8647,99.74,1.343615E-7
34,2022/9/20 17:22:11,1531.9254,0.4846,10.56,1.344353E-7
35,2022/9/20 17:22:41,1531.2815,37.5441,99.98,1.343788E-7
36,2022/9/20 17:23:11,1530.7096,34.8775,99.97,1.343286E-7
37,2022/9/20 17:23:41,1531.2087,34.1790,99.96,1.343724E-7
38,2022/9/20 17:24:11,1531.173,37.2687,99.98,1.343693E-7
39,2022/9/20 17:24:41,1532.0116,37.6681,99.98,1.344429E-7
40,2022/9/20 17:25:11,1531.4612,37.6603,99.98,1.343946E-7
41,2022/9/20 17:25:41,1531.7528,33.0575,99.95,1.344202E-7
42,2022/9/20 17:26:11,1531.7462,32.0591,99.94,1.344196E-7
43,2022/9/20 17:26:41,1531.7416,21.5672,99.30,1.344192E-7
44,2022/9/20 17:27:11,1531.6732,37.0092,99.98,1.344132E-7
45,2022/9/20 17:27:41,1530.4593,35.0093,99.97,1.343067E-7
46,2022/9/20 17:28:11,1530.4593,35.7961,99.97,1.343067E-7
47,2022/9/20 17:28:41,1530.4657,37.6522,99.98,1.343072E-7
48,2022/9/20 17:29:11,1530.6992,36.1957,99.98,1.343277E-7
49,2022/9/20 17:29:41,1531.3104,33.9954,99.96,1.343814E-7
50,2022/9/20 17:30:11,1531.4487,37.5556,99.98,1.343935E-7
51,2022/9/20 17:30:41,1530.7629,27.3013,99.81,1.343333E-7
52,2022/9/20 17:31:11,1532.0072,34.9342,99.97,1.344425E-7
53,2022/9/20 17:31:41,1531.5479,37.6429,99.98,1.344022E-7
54,2022/9/20 17:32:11,1531.225,37.3764,99.98,1.343739E-7
55,2022/9/20 17:32:41,1531.2687,26.4842,99.78,1.343777E-7
56,2022/9/20 17:33:11,1531.0424,37.1379,99.98,1.343578E-7
57,2022/9/20 17:33:41,1530.4604,22.1842,99.40,1.343068E-7
58,2022/9/20 17:34:11,1530.6909,20.6550,99.14,1.343270E-7
59,2022/9/20 17:34:41,1530.6861,36.9381,99.98,1.343266E-7
60,2022/9/20 17:35:11,1531.2201,33.8088,99.96,1.343734E-7
61,2022/9/20 17:35:41,1532.3886,28.4823,99.86,1.344760E-7
62,2022/9/20 17:36:11,1530.6595,37.3855,99.98,1.343242E-7
63,2022/9/20 17:36:41,1532.3013,36.4234,99.98,1.344683E-7
64,2022/9/20 17:37:11,1532.3763,36.9622,99.98,1.344749E-7
65,2022/9/20 17:37:41,1531.7486,37.3535,99.98,1.344198E-7
66,2022/9/20 17:38:11,1531.4166,35.6558,99.97,1.343907E-7
67,2022/9/20 17:38:41,1530.4697,35.0283,99.97,1.343076E-7
68,2022/9/20 17:39:11,1530.4699,35.6899,99.97,1.343076E-7
69,2022/9/20 17:39:41,1530.47,21.2176,99.24,1.343076E-7
70,2022/9/20 17:40:11,1530.4691,37.6532,99.98,1.343075E-7
71,2022/9/20 17:40:41,1530.4701,37.8405,99.98,1.343076E-7
72,2022/9/20 17:41:11,1530.4702,37.4084,99.98,1.343076E-7
73,2022/9/20 17:41:41,1530.4702,37.3028,99.98,1.343076E-7
74,2022/9/20 17:42:11,1530.4713,34.5719,99.97,1.343077E-7
75,2022/9/20 17:42:41,1530.4703,37.7308,99.98,1.343076E-7
76,2022/9/20 17:43:11,1530.4703,37.8445,99.98,1.343076E-7
77,2022/9/20 17:43:41,1530.4703,21.4149,99.28,1.343076E-7
78,2022/9/20 17:44:11,1530.4713,37.7731,99.98,1.343077E-7
79,2022/9/20 17:44:41,1530.4714,33.4525,99.95,1.343077E-7
80,2022/9/20 17:45:11,1530.4704,37.4943,99.98,1.343076E-7
81,2022/9/20 17:45:41,1530.4704,31.6987,99.93,1.343076E-7
82,2022/9/20 17:46:11,1530.4703,37.1100,99.98,1.343076E-7
83,2022/9/20 17:46:41,1530.4704,24.5481,99.65,1.343076E-7
84,2022/9/20 17:47:11,1530.4704,33.3483,99.95,1.343076E-7
85,2022/9/20 17:47:41,1530.4704,19.6255,98.91,1.343076E-7
