,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/20 17:05:11,1534.903,39.9129,99.99,1.346966E-7
1,2022/9/20 17:05:41,1534.8993,41.1281,99.99,1.346963E-7
2,2022/9/20 17:06:11,1534.8993,41.2842,99.99,1.346963E-7
3,2022/9/20 17:06:41,1534.8994,39.1901,99.99,1.346963E-7
4,2022/9/20 17:07:11,1534.8917,42.0400,99.99,1.346956E-7
5,2022/9/20 17:07:41,1534.9032,40.8597,99.99,1.346966E-7
6,2022/9/20 17:08:11,1534.8938,41.0447,99.99,1.346958E-7
7,2022/9/20 17:08:41,1534.9013,41.0003,99.99,1.346965E-7
8,2022/9/20 17:09:11,1534.8975,41.2614,99.99,1.346961E-7
9,2022/9/20 17:09:41,1534.8994,41.2975,99.99,1.346963E-7
10,2022/9/20 17:10:11,1534.8975,41.4568,99.99,1.346961E-7
11,2022/9/20 17:10:41,1534.8995,39.5791,99.99,1.346963E-7
12,2022/9/20 17:11:11,1534.9356,13.3268,95.35,1.346995E-7
13,2022/9/20 17:11:41,1534.9165,42.1136,99.99,1.346978E-7
14,2022/9/20 17:12:11,1534.948,16.8913,97.95,1.347006E-7
15,2022/9/20 17:12:41,1535.0398,28.7239,99.87,1.347086E-7
16,2022/9/20 17:13:11,1534.93,7.4416,81.98,1.346990E-7
17,2022/9/20 17:13:41,1535.3962,40.8521,99.99,1.347399E-7
18,2022/9/20 17:14:11,1535.4385,36.9585,99.98,1.347436E-7
19,2022/9/20 17:14:41,1535.246,9.4288,88.59,1.347267E-7
20,2022/9/20 17:15:11,1535.5343,10.6739,91.44,1.347520E-7
21,2022/9/20 17:15:41,1535.2173,38.7773,99.99,1.347242E-7
22,2022/9/20 17:16:11,1535.135,38.7597,99.99,1.347170E-7
23,2022/9/20 17:16:41,1534.8957,40.0236,99.99,1.346960E-7
24,2022/9/20 17:17:11,1535.0448,33.7910,99.96,1.347091E-7
25,2022/9/20 17:17:41,1534.6203,2.1308,38.78,1.346718E-7
26,2022/9/20 17:18:11,1535.6013,41.0546,99.99,1.347579E-7
27,2022/9/20 17:18:41,1535.6277,43.0267,100.00,1.347602E-7
28,2022/9/20 17:19:11,1536.3166,41.6921,99.99,1.348207E-7
29,2022/9/20 17:19:41,1535.1106,32.6488,99.95,1.347149E-7
30,2022/9/20 17:20:11,1535.2712,41.6567,99.99,1.347289E-7
31,2022/9/20 17:20:41,1534.9973,3.2192,52.35,1.347049E-7
32,2022/9/20 17:21:11,1535.5915,40.4084,99.99,1.347571E-7
33,2022/9/20 17:21:41,1535.3871,41.6900,99.99,1.347391E-7
34,2022/9/20 17:22:11,1535.1862,17.0512,98.03,1.347215E-7
35,2022/9/20 17:22:41,1535.9158,8.3501,85.38,1.347855E-7
36,2022/9/20 17:23:11,1535.7984,40.9286,99.99,1.347752E-7
37,2022/9/20 17:23:41,1535.0484,17.4896,98.22,1.347094E-7
38,2022/9/20 17:24:11,1535.5472,141.9196,100.00,1.347532E-7
39,2022/9/20 17:24:41,1536.1141,153.7611,100.00,1.348029E-7
40,2022/9/20 17:25:11,1536.7307,13.7210,95.75,1.348570E-7
41,2022/9/20 17:25:41,1536.089,34.5865,99.97,1.348007E-7
42,2022/9/20 17:26:11,1536.0522,37.0626,99.98,1.347975E-7
43,2022/9/20 17:26:41,1536.056,44.6158,100.00,1.347978E-7
44,2022/9/20 17:27:11,1526.5887,3.1214,51.26,1.339670E-7
45,2022/9/20 17:27:41,1534.9026,40.9202,99.99,1.346966E-7
46,2022/9/20 17:28:11,1534.8947,34.5499,99.96,1.346959E-7
47,2022/9/20 17:28:41,1534.8993,40.6331,99.99,1.346963E-7
48,2022/9/20 17:29:11,1535.1007,42.1407,99.99,1.347140E-7
49,2022/9/20 17:29:41,1535.7087,43.5352,100.00,1.347673E-7
50,2022/9/20 17:30:11,1535.4798,42.2923,99.99,1.347472E-7
51,2022/9/20 17:30:41,1536.4793,2.0020,36.93,1.348350E-7
52,2022/9/20 17:31:11,1536.6982,21.8762,99.35,1.348542E-7
53,2022/9/20 17:31:41,1536.5812,43.0730,100.00,1.348439E-7
54,2022/9/20 17:32:11,1561.4121,11.1883,92.39,1.370230E-7
55,2022/9/20 17:32:41,1535.5184,164.4471,100.00,1.347506E-7
56,2022/9/20 17:33:11,1535.2003,25.8706,99.74,1.347227E-7
57,2022/9/20 17:33:41,1536.4138,9.0896,87.67,1.348292E-7
58,2022/9/20 17:34:11,1535.2113,12.8902,94.86,1.347237E-7
59,2022/9/20 17:34:41,1534.9802,39.5564,99.99,1.347034E-7
60,2022/9/20 17:35:11,1535.1866,30.2604,99.91,1.347215E-7
61,2022/9/20 17:35:41,1536.1941,40.6776,99.99,1.348099E-7
62,2022/9/20 17:36:11,1536.0027,35.5921,99.97,1.347931E-7
63,2022/9/20 17:36:41,1535.9749,41.8566,99.99,1.347907E-7
64,2022/9/20 17:37:11,1536.0106,44.2853,100.00,1.347938E-7
65,2022/9/20 17:37:41,1535.9912,37.4342,99.98,1.347921E-7
66,2022/9/20 17:38:11,1534.9945,41.4282,99.99,1.347047E-7
67,2022/9/20 17:38:41,1534.9812,41.9734,99.99,1.347035E-7
68,2022/9/20 17:39:11,1534.9877,31.7178,99.93,1.347041E-7
69,2022/9/20 17:39:41,1534.9008,41.0441,99.99,1.346964E-7
70,2022/9/20 17:40:11,1534.8933,41.0855,99.99,1.346958E-7
71,2022/9/20 17:40:41,1534.8864,41.4045,99.99,1.346952E-7
72,2022/9/20 17:41:11,1534.8852,41.4328,99.99,1.346951E-7
73,2022/9/20 17:41:41,1534.8924,42.2326,99.99,1.346957E-7
74,2022/9/20 17:42:11,1534.8838,41.7465,99.99,1.346949E-7
75,2022/9/20 17:42:41,1534.8874,41.8439,99.99,1.346953E-7
76,2022/9/20 17:43:11,1534.9188,21.5468,99.30,1.346980E-7
77,2022/9/20 17:43:41,1534.885,41.7580,99.99,1.346951E-7
78,2022/9/20 17:44:11,1534.8848,24.5145,99.65,1.346950E-7
79,2022/9/20 17:44:41,1534.8767,39.1597,99.99,1.346943E-7
80,2022/9/20 17:45:11,1534.9141,42.4389,99.99,1.346976E-7
81,2022/9/20 17:45:41,1534.8845,28.1163,99.85,1.346950E-7
82,2022/9/20 17:46:11,1534.8865,42.1548,99.99,1.346952E-7
83,2022/9/20 17:46:41,1534.8764,39.8743,99.99,1.346943E-7
84,2022/9/20 17:47:11,1534.8842,41.8657,99.99,1.346950E-7
85,2022/9/20 17:47:41,1534.8884,41.8371,99.99,1.346954E-7
86,2022/9/20 17:48:11,1534.8862,41.9967,99.99,1.346952E-7
87,2022/9/20 17:48:41,1534.8882,42.0217,99.99,1.346953E-7
88,2022/9/20 17:49:11,1534.886,41.5955,99.99,1.346951E-7
89,2022/9/20 17:49:41,1534.9176,37.9366,99.98,1.346979E-7
90,2022/9/20 17:50:11,1534.888,27.8338,99.84,1.346953E-7
91,2022/9/20 17:50:41,1534.8818,41.8892,99.99,1.346948E-7
92,2022/9/20 17:51:11,1534.888,42.3538,99.99,1.346953E-7
93,2022/9/20 17:51:41,1534.8877,42.1346,99.99,1.346953E-7
94,2022/9/20 17:52:11,1534.8834,42.0200,99.99,1.346949E-7
95,2022/9/20 17:52:41,1534.8793,41.3013,99.99,1.346946E-7
96,2022/9/20 17:53:11,1534.8834,41.9692,99.99,1.346949E-7
97,2022/9/20 17:53:41,1534.8834,28.6837,99.86,1.346949E-7
98,2022/9/20 17:54:11,1534.8854,41.8909,99.99,1.346951E-7
99,2022/9/20 17:54:41,1534.8773,41.4425,99.99,1.346944E-7
100,2022/9/20 17:55:11,1534.8853,41.9834,99.99,1.346951E-7
101,2022/9/20 17:55:41,1534.8853,42.0473,99.99,1.346951E-7
