,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/20 17:05:11,1535.8111,25.2630,99.70,1.347763E-7
1,2022/9/20 17:05:41,1535.8112,26.2137,99.76,1.347763E-7
2,2022/9/20 17:06:11,1535.8105,26.7150,99.79,1.347763E-7
3,2022/9/20 17:06:41,1535.8122,25.3996,99.71,1.347764E-7
4,2022/9/20 17:07:11,1535.8141,27.6336,99.83,1.347766E-7
5,2022/9/20 17:07:41,1535.8135,28.7076,99.87,1.347765E-7
6,2022/9/20 17:08:11,1535.8162,29.0031,99.87,1.347768E-7
7,2022/9/20 17:08:41,1535.8125,25.8154,99.74,1.347764E-7
8,2022/9/20 17:09:11,1535.8119,23.9170,99.59,1.347764E-7
9,2022/9/20 17:09:41,1535.8128,27.0082,99.80,1.347765E-7
10,2022/9/20 17:10:11,1535.8134,28.7666,99.87,1.347765E-7
11,2022/9/20 17:10:41,1535.8138,29.2185,99.88,1.347766E-7
12,2022/9/20 17:11:11,1535.8085,26.8417,99.79,1.347761E-7
13,2022/9/20 17:11:41,1534.8549,42.4611,99.99,1.346924E-7
14,2022/9/20 17:12:11,1534.8603,42.6369,99.99,1.346929E-7
15,2022/9/20 17:12:41,1535.0327,41.7049,99.99,1.347080E-7
16,2022/9/20 17:13:11,1534.9162,42.5695,99.99,1.346978E-7
17,2022/9/20 17:13:41,1535.3849,41.5090,99.99,1.347389E-7
18,2022/9/20 17:14:11,1535.4686,42.7667,99.99,1.347463E-7
19,2022/9/20 17:14:41,1535.246,32.9920,99.95,1.347267E-7
20,2022/9/20 17:15:11,1535.63,30.6889,99.91,1.347604E-7
21,2022/9/20 17:15:41,1535.2485,39.4935,99.99,1.347270E-7
22,2022/9/20 17:16:11,1535.1387,40.1589,99.99,1.347173E-7
23,2022/9/20 17:16:41,1535.8145,24.2364,99.62,1.347766E-7
24,2022/9/20 17:17:11,1534.98,42.5401,99.99,1.347034E-7
25,2022/9/20 17:17:41,1534.6203,25.5658,99.72,1.346718E-7
26,2022/9/20 17:18:11,1535.5303,42.2661,99.99,1.347517E-7
27,2022/9/20 17:18:41,1535.6317,43.2859,100.00,1.347606E-7
28,2022/9/20 17:19:11,1536.2853,42.6034,99.99,1.348179E-7
29,2022/9/20 17:19:41,1533.3186,37.9789,99.98,1.345576E-7
30,2022/9/20 17:20:11,1535.2737,42.4767,99.99,1.347292E-7
31,2022/9/20 17:20:41,1536.0272,26.5427,99.78,1.347953E-7
32,2022/9/20 17:21:11,1534.6208,24.4654,99.64,1.346719E-7
33,2022/9/20 17:21:41,1535.4887,42.6186,99.99,1.347480E-7
34,2022/9/20 17:22:11,1532.2545,24.2053,99.62,1.344642E-7
35,2022/9/20 17:22:41,1535.5938,28.4391,99.86,1.347573E-7
36,2022/9/20 17:23:11,1535.7964,43.0692,100.00,1.347750E-7
37,2022/9/20 17:23:41,1535.0316,34.0148,99.96,1.347079E-7
38,2022/9/20 17:24:11,1535.5472,141.9196,100.00,1.347532E-7
39,2022/9/20 17:24:41,1536.1984,152.7679,100.00,1.348103E-7
40,2022/9/20 17:25:11,1536.7849,42.9249,99.99,1.348618E-7
41,2022/9/20 17:25:41,1536.1129,36.8227,99.98,1.348028E-7
42,2022/9/20 17:26:11,1536.0517,41.2322,99.99,1.347974E-7
43,2022/9/20 17:26:41,1536.056,54.7709,100.00,1.347978E-7
44,2022/9/20 17:27:11,1536.4732,34.6503,99.97,1.348344E-7
45,2022/9/20 17:27:41,1535.8334,23.8584,99.59,1.347783E-7
46,2022/9/20 17:28:11,1535.8304,22.1593,99.39,1.347780E-7
47,2022/9/20 17:28:41,1535.8312,27.8908,99.84,1.347781E-7
48,2022/9/20 17:29:11,1535.1648,41.8614,99.99,1.347196E-7
49,2022/9/20 17:29:41,1535.7558,43.6343,100.00,1.347715E-7
50,2022/9/20 17:30:11,1536.3719,28.2617,99.85,1.348255E-7
51,2022/9/20 17:30:41,1535.8637,30.0512,99.90,1.347809E-7
52,2022/9/20 17:31:11,1536.7035,42.8068,99.99,1.348546E-7
53,2022/9/20 17:31:41,1536.5812,43.0730,100.00,1.348439E-7
54,2022/9/20 17:32:11,1561.4121,11.1883,92.39,1.370230E-7
55,2022/9/20 17:32:41,1535.5184,164.4471,100.00,1.347506E-7
56,2022/9/20 17:33:11,1534.1794,24.7432,99.66,1.346331E-7
57,2022/9/20 17:33:41,1535.0345,22.4445,99.43,1.347082E-7
58,2022/9/20 17:34:11,1535.2148,34.8915,99.97,1.347240E-7
