,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/20 17:05:11,1535.812,25.2879,99.70,1.347764E-7
1,2022/9/20 17:05:41,1535.8121,26.2067,99.76,1.347764E-7
2,2022/9/20 17:06:11,1535.8115,26.7301,99.79,1.347764E-7
3,2022/9/20 17:06:41,1535.8131,28.8240,99.87,1.347765E-7
4,2022/9/20 17:07:11,1535.8151,22.4225,99.43,1.347767E-7
5,2022/9/20 17:07:41,1535.8144,28.7003,99.87,1.347766E-7
6,2022/9/20 17:08:11,1535.8171,29.0395,99.88,1.347768E-7
7,2022/9/20 17:08:41,1535.8134,24.3702,99.63,1.347765E-7
8,2022/9/20 17:09:11,1535.8128,29.0131,99.87,1.347765E-7
9,2022/9/20 17:09:41,1535.8137,26.8687,99.79,1.347766E-7
10,2022/9/20 17:10:11,1535.8143,25.9529,99.75,1.347766E-7
11,2022/9/20 17:10:41,1535.8148,23.6593,99.57,1.347766E-7
12,2022/9/20 17:11:11,1535.8093,26.8938,99.80,1.347762E-7
13,2022/9/20 17:11:41,1534.8542,42.4228,99.99,1.346923E-7
14,2022/9/20 17:12:11,1534.8596,24.6802,99.66,1.346928E-7
15,2022/9/20 17:12:41,1535.0319,42.2059,99.99,1.347079E-7
16,2022/9/20 17:13:11,1534.9149,42.2564,99.99,1.346977E-7
17,2022/9/20 17:13:41,1535.3842,42.6229,99.99,1.347389E-7
18,2022/9/20 17:14:11,1535.468,42.4551,99.99,1.347462E-7
19,2022/9/20 17:14:41,1535.2443,32.9867,99.95,1.347266E-7
20,2022/9/20 17:15:11,1535.6291,27.6015,99.83,1.347604E-7
21,2022/9/20 17:15:41,1535.2483,42.5171,99.99,1.347269E-7
22,2022/9/20 17:16:11,1535.138,40.1357,99.99,1.347173E-7
23,2022/9/20 17:16:41,1535.8154,28.6431,99.86,1.347767E-7
24,2022/9/20 17:17:11,1534.9791,33.4868,99.96,1.347033E-7
25,2022/9/20 17:17:41,1534.6168,25.4861,99.72,1.346715E-7
26,2022/9/20 17:18:11,1535.5298,42.3280,99.99,1.347516E-7
