,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/18 13:44:14,1531.388,52.2928,100.00,1.343882E-7
1,2022/9/18 13:44:44,1531.6273,12.7373,94.68,1.344092E-7
2,2022/9/18 13:45:14,1531.366,48.1448,100.00,1.343862E-7
3,2022/9/18 13:45:44,1532.0052,4.1666,61.69,1.344423E-7
4,2022/9/18 13:46:14,1531.8885,4.9892,68.30,1.344321E-7
5,2022/9/18 13:46:44,1532.238,2.8558,48.19,1.344628E-7
6,2022/9/18 13:47:14,1532.4804,5.0639,68.84,1.344840E-7
7,2022/9/18 13:47:44,1532.0216,51.5376,100.00,1.344438E-7
8,2022/9/18 13:48:14,1533.1041,8.7166,86.56,1.345388E-7
9,2022/9/18 13:48:44,1532.242,48.9825,100.00,1.344631E-7
10,2022/9/18 13:49:14,1533.7734,1.2208,24.50,1.345975E-7
11,2022/9/18 13:49:44,1532.6287,47.2125,100.00,1.344970E-7
12,2022/9/18 13:50:14,1532.9453,14.4081,96.38,1.345248E-7
13,2022/9/18 13:50:44,1532.9198,41.1097,99.99,1.345226E-7
14,2022/9/18 13:51:14,1533.6109,0.4142,9.10,1.345832E-7
15,2022/9/18 13:51:44,1533.4511,9.3929,88.50,1.345692E-7
16,2022/9/18 13:52:14,1533.4665,45.2095,100.00,1.345706E-7
17,2022/9/18 13:52:44,1533.6069,43.6272,100.00,1.345829E-7
18,2022/9/18 13:53:14,1533.9478,10.8929,91.86,1.346128E-7
19,2022/9/18 13:53:44,1534.0408,10.9288,91.93,1.346210E-7
20,2022/9/18 13:54:14,1534.1734,7.2511,81.17,1.346326E-7
21,2022/9/18 13:54:44,1534.343,8.6636,86.40,1.346475E-7
22,2022/9/18 13:55:14,1534.5384,3.9955,60.15,1.346646E-7
23,2022/9/18 13:55:44,1534.7207,35.9657,99.97,1.346806E-7
24,2022/9/18 13:56:14,1534.9686,12.2631,94.06,1.347024E-7
25,2022/9/18 13:56:44,1535.2102,34.6907,99.97,1.347236E-7
26,2022/9/18 13:57:14,1535.3833,31.0645,99.92,1.347388E-7
27,2022/9/18 13:57:44,1535.5979,32.6760,99.95,1.347576E-7
28,2022/9/18 13:58:14,1535.8126,30.4809,99.91,1.347765E-7
29,2022/9/18 13:58:44,1536.1021,28.9361,99.87,1.348019E-7
30,2022/9/18 13:59:14,1536.2912,29.7727,99.89,1.348185E-7
31,2022/9/18 13:59:44,1536.5937,27.5499,99.82,1.348450E-7
32,2022/9/18 14:00:14,1536.813,28.0715,99.84,1.348642E-7
33,2022/9/18 14:00:44,1536.9988,25.6316,99.73,1.348806E-7
34,2022/9/18 14:01:14,1537.3049,23.8234,99.59,1.349074E-7
35,2022/9/18 14:01:44,1537.4947,22.5986,99.45,1.349241E-7
36,2022/9/18 14:02:14,1537.8035,23.2687,99.53,1.349512E-7
37,2022/9/18 14:02:44,1538.0006,19.3135,98.83,1.349685E-7
38,2022/9/18 14:03:14,1538.283,21.1655,99.24,1.349932E-7
39,2022/9/18 14:03:44,1538.5953,18.5402,98.60,1.350207E-7
40,2022/9/18 14:04:14,1538.797,16.6769,97.85,1.350384E-7
41,2022/9/18 14:04:44,1539.0816,16.4580,97.74,1.350633E-7
42,2022/9/18 14:05:14,1539.3944,15.0906,96.90,1.350908E-7
43,2022/9/18 14:05:44,1539.5883,7.4679,82.09,1.351078E-7
44,2022/9/18 14:06:14,1539.8929,12.5264,94.41,1.351345E-7
