,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/18 13:44:14,1531.8367,33.2774,99.95,1.344275E-7
1,2022/9/18 13:44:44,1531.9335,35.9719,99.97,1.344360E-7
2,2022/9/18 13:45:14,1531.8085,34.6293,99.97,1.344251E-7
3,2022/9/18 13:45:44,1532.0052,32.7784,99.95,1.344423E-7
4,2022/9/18 13:46:14,1530.7237,26.9107,99.80,1.343299E-7
5,2022/9/18 13:46:44,1533.2202,34.7243,99.97,1.345490E-7
6,2022/9/18 13:47:14,1532.4804,26.7761,99.79,1.344840E-7
7,2022/9/18 13:47:44,1532.2694,27.5820,99.83,1.344655E-7
8,2022/9/18 13:48:14,1532.3572,37.2060,99.98,1.344732E-7
9,2022/9/18 13:48:44,1532.5269,33.1842,99.95,1.344881E-7
10,2022/9/18 13:49:14,1532.987,34.8293,99.97,1.345285E-7
11,2022/9/18 13:49:44,1532.6011,47.8087,100.00,1.344946E-7
12,2022/9/18 13:50:14,1533.0297,35.8687,99.97,1.345322E-7
13,2022/9/18 13:50:44,1533.768,32.4627,99.94,1.345970E-7
14,2022/9/18 13:51:14,1532.1789,27.8494,99.84,1.344576E-7
15,2022/9/18 13:51:44,1533.4511,30.6503,99.91,1.345692E-7
16,2022/9/18 13:52:14,1533.9462,33.8183,99.96,1.346127E-7
17,2022/9/18 13:52:44,1532.7107,24.4732,99.64,1.345042E-7
18,2022/9/18 13:53:14,1533.9478,30.0724,99.90,1.346128E-7
19,2022/9/18 13:53:44,1533.7207,22.2881,99.41,1.345929E-7
20,2022/9/18 13:54:14,1534.1734,31.8279,99.93,1.346326E-7
21,2022/9/18 13:54:44,1533.2004,24.4428,99.64,1.345472E-7
22,2022/9/18 13:55:14,1534.5989,24.9285,99.68,1.346699E-7
23,2022/9/18 13:55:44,1534.7161,20.6044,99.13,1.346802E-7
24,2022/9/18 13:56:14,1533.2419,18.3624,98.54,1.345509E-7
25,2022/9/18 13:56:44,1535.172,26.3681,99.77,1.347202E-7
26,2022/9/18 13:57:14,1535.3638,19.1043,98.77,1.347371E-7
27,2022/9/18 13:57:44,1534.4714,22.3138,99.41,1.346588E-7
28,2022/9/18 13:58:14,1532.6299,16.5548,97.79,1.344972E-7
29,2022/9/18 13:58:44,1536.0544,17.5691,98.25,1.347977E-7
30,2022/9/18 13:59:14,1536.2656,30.6717,99.91,1.348162E-7
31,2022/9/18 13:59:44,1536.4985,29.9219,99.90,1.348366E-7
32,2022/9/18 14:00:14,1536.735,15.2133,96.99,1.348574E-7
33,2022/9/18 14:00:44,1536.9781,27.5799,99.83,1.348787E-7
34,2022/9/18 14:01:14,1537.2249,26.3254,99.77,1.349004E-7
35,2022/9/18 14:01:44,1537.4714,25.0012,99.68,1.349220E-7
36,2022/9/18 14:02:14,1537.7253,11.9489,93.62,1.349443E-7
37,2022/9/18 14:02:44,1537.9767,22.2608,99.41,1.349664E-7
38,2022/9/18 14:03:14,1538.2389,21.0118,99.21,1.349894E-7
39,2022/9/18 14:03:44,1538.4997,20.3174,99.07,1.350123E-7
40,2022/9/18 14:04:14,1538.9002,10.7997,91.68,1.350474E-7
41,2022/9/18 14:04:44,1539.166,15.5434,97.21,1.350707E-7
42,2022/9/18 14:05:14,1539.4274,16.8378,97.93,1.350937E-7
43,2022/9/18 14:05:44,1539.6801,15.9759,97.47,1.351159E-7
44,2022/9/18 14:06:14,1539.8347,13.7453,95.78,1.351294E-7
45,2022/9/18 14:06:44,1540.1145,13.9593,95.98,1.351540E-7
46,2022/9/18 14:07:14,1540.3615,12.7302,94.67,1.351756E-7
