,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/18 13:44:14,1531.8374,33.6935,99.96,1.344276E-7
1,2022/9/18 13:44:44,1531.9343,35.9650,99.97,1.344361E-7
2,2022/9/18 13:45:14,1531.8092,34.6115,99.97,1.344251E-7
3,2022/9/18 13:45:44,1532.006,32.6525,99.95,1.344424E-7
4,2022/9/18 13:46:14,1530.7236,26.9316,99.80,1.343299E-7
5,2022/9/18 13:46:44,1533.2186,34.6605,99.97,1.345488E-7
6,2022/9/18 13:47:14,1532.4802,35.0484,99.97,1.344840E-7
7,2022/9/18 13:47:44,1532.2694,35.9602,99.97,1.344655E-7
8,2022/9/18 13:48:14,1532.3572,37.2219,99.98,1.344732E-7
9,2022/9/18 13:48:44,1532.5269,33.8422,99.96,1.344881E-7
10,2022/9/18 13:49:14,1532.9868,35.5096,99.97,1.345285E-7
11,2022/9/18 13:49:44,1532.6011,47.7177,100.00,1.344946E-7
12,2022/9/18 13:50:14,1533.0291,35.8765,99.97,1.345322E-7
13,2022/9/18 13:50:44,1533.7655,32.4576,99.94,1.345968E-7
14,2022/9/18 13:51:14,1532.1787,27.8377,99.84,1.344576E-7
15,2022/9/18 13:51:44,1533.4502,36.4605,99.98,1.345691E-7
16,2022/9/18 13:52:14,1533.9441,29.3931,99.89,1.346125E-7
17,2022/9/18 13:52:44,1532.7111,24.4512,99.64,1.345043E-7
18,2022/9/18 13:53:14,1533.9466,30.6799,99.91,1.346127E-7
19,2022/9/18 13:53:44,1533.7192,31.2086,99.92,1.345927E-7
20,2022/9/18 13:54:14,1534.1814,31.9133,99.94,1.346333E-7
21,2022/9/18 13:54:44,1533.2018,24.4354,99.64,1.345473E-7
22,2022/9/18 13:55:14,1534.5977,24.9770,99.68,1.346698E-7
23,2022/9/18 13:55:44,1534.7152,20.5323,99.12,1.346802E-7
24,2022/9/18 13:56:14,1535.8688,18.5743,98.61,1.347814E-7
25,2022/9/18 13:56:44,1535.171,34.2263,99.96,1.347202E-7
26,2022/9/18 13:57:14,1535.3631,19.0767,98.76,1.347370E-7
27,2022/9/18 13:57:44,1534.4751,22.3296,99.42,1.346591E-7
28,2022/9/18 13:58:14,1532.6634,17.4902,98.22,1.345001E-7
29,2022/9/18 13:58:44,1536.0542,28.2589,99.85,1.347977E-7
