,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/18 13:44:14,1535.6838,10.7625,91.61,1.347652E-7
1,2022/9/18 13:44:44,1535.5684,28.0857,99.84,1.347550E-7
2,2022/9/18 13:45:14,1535.6135,24.7579,99.67,1.347590E-7
3,2022/9/18 13:45:44,1535.6544,17.7109,98.31,1.347626E-7
4,2022/9/18 13:46:14,1535.9689,18.8896,98.71,1.347902E-7
5,2022/9/18 13:46:44,1536.4956,1.3277,26.34,1.348364E-7
6,2022/9/18 13:47:14,1536.2328,16.1385,97.57,1.348133E-7
7,2022/9/18 13:47:44,1536.3211,18.9582,98.73,1.348211E-7
8,2022/9/18 13:48:14,1536.4581,12.9926,94.98,1.348331E-7
9,2022/9/18 13:48:44,1536.5418,13.7606,95.79,1.348404E-7
10,2022/9/18 13:49:14,1537.1252,6.9051,79.61,1.348916E-7
11,2022/9/18 13:49:44,1537.3009,4.2719,62.61,1.349071E-7
12,2022/9/18 13:50:14,1537.1424,18.3923,98.55,1.348932E-7
13,2022/9/18 13:50:44,1537.3037,20.1363,99.03,1.349073E-7
14,2022/9/18 13:51:14,1537.433,13.0816,95.08,1.349187E-7
15,2022/9/18 13:51:44,1538.0186,2.3468,41.75,1.349700E-7
16,2022/9/18 13:52:14,1537.8075,38.1740,99.98,1.349515E-7
17,2022/9/18 13:52:44,1537.9287,36.1981,99.98,1.349622E-7
18,2022/9/18 13:53:14,1538.1157,33.8253,99.96,1.349786E-7
19,2022/9/18 13:53:44,1538.3103,22.8082,99.48,1.349956E-7
20,2022/9/18 13:54:14,1538.5067,35.8283,99.97,1.350129E-7
21,2022/9/18 13:54:44,1538.6966,29.2293,99.88,1.350295E-7
22,2022/9/18 13:55:14,1538.8992,32.9740,99.95,1.350473E-7
23,2022/9/18 13:55:44,1539.107,16.5684,97.80,1.350656E-7
24,2022/9/18 13:56:14,1539.2988,30.7766,99.92,1.350824E-7
25,2022/9/18 13:56:44,1539.5094,30.2415,99.91,1.351009E-7
26,2022/9/18 13:57:14,1539.7208,27.9606,99.84,1.351194E-7
27,2022/9/18 13:57:44,1540.0067,27.7050,99.83,1.351445E-7
28,2022/9/18 13:58:14,1540.2132,27.8535,99.84,1.351626E-7
29,2022/9/18 13:58:44,1540.3998,27.8716,99.84,1.351790E-7
30,2022/9/18 13:59:14,1540.6126,25.3642,99.71,1.351977E-7
31,2022/9/18 13:59:44,1540.91,25.5917,99.72,1.352238E-7
32,2022/9/18 14:00:14,1541.0973,19.6730,98.92,1.352402E-7
33,2022/9/18 14:00:44,1541.3195,22.8755,99.48,1.352597E-7
34,2022/9/18 14:01:14,1541.618,17.3357,98.15,1.352859E-7
35,2022/9/18 14:01:44,1541.8097,21.7900,99.34,1.353027E-7
36,2022/9/18 14:02:14,1542.11,21.6103,99.31,1.353291E-7
37,2022/9/18 14:02:44,1542.3035,19.8081,98.95,1.353461E-7
38,2022/9/18 14:03:14,1542.6128,19.4836,98.87,1.353732E-7
39,2022/9/18 14:03:44,1542.8792,12.8854,94.85,1.353966E-7
40,2022/9/18 14:04:14,1543.1793,18.5624,98.61,1.354229E-7
41,2022/9/18 14:04:44,1543.5128,17.2482,98.12,1.354522E-7
42,2022/9/18 14:05:14,1543.7974,16.0988,97.54,1.354772E-7
43,2022/9/18 14:05:44,1544.1098,6.4720,77.47,1.355046E-7
44,2022/9/18 14:06:14,1544.4101,10.9753,92.01,1.355309E-7
45,2022/9/18 14:06:44,1544.6992,5.2569,70.19,1.355563E-7
46,2022/9/18 14:07:14,1544.9766,12.9885,94.97,1.355806E-7
47,2022/9/18 14:07:44,1545.2026,11.2384,92.48,1.356005E-7
48,2022/9/18 14:08:14,1545.4793,11.2840,92.56,1.356248E-7
49,2022/9/18 14:08:44,1545.6811,10.9130,91.90,1.356425E-7
50,2022/9/18 14:09:14,1545.9005,9.3070,88.27,1.356617E-7
51,2022/9/18 14:09:44,1546.178,9.0883,87.66,1.356861E-7
52,2022/9/18 14:10:14,1546.3924,7.7014,83.02,1.357049E-7
53,2022/9/18 14:10:44,1546.6757,3.4693,55.01,1.357298E-7
54,2022/9/18 14:11:14,1546.8982,6.4049,77.12,1.357493E-7
55,2022/9/18 14:11:44,1547.1866,6.9517,79.82,1.357746E-7
56,2022/9/18 14:12:14,1547.4842,6.1947,75.98,1.358007E-7
57,2022/9/18 14:12:44,1547.8097,5.1816,69.67,1.358293E-7
58,2022/9/18 14:13:14,1548.1727,4.2535,62.45,1.358611E-7
59,2022/9/18 14:13:44,1548.5768,1.9793,36.60,1.358966E-7
60,2022/9/18 14:14:14,1549.0546,1.9874,36.72,1.359385E-7
61,2022/9/18 14:14:44,1549.5244,0.9545,19.73,1.359797E-7
62,2022/9/18 14:15:14,1549.988,0.3047,6.78,1.360204E-7
63,2022/9/18 14:15:44,1548.3613,0.0174,0.40,3.82735E-8
64,2022/9/18 14:16:14,1558.5048,0.0164,0.38,3.71675E-8
65,2022/9/18 14:16:44,1551.4508,0.0981,2.23,1.361488E-7
66,2022/9/18 14:17:14,1551.4504,0.2732,6.10,1.361488E-7
67,2022/9/18 14:17:44,1551.6231,0.3070,6.82,1.361639E-7
68,2022/9/18 14:18:14,1551.8153,0.4785,10.43,1.361808E-7
69,2022/9/18 14:18:44,1552.0035,0.5116,11.11,1.361973E-7
70,2022/9/18 14:19:14,1552.1937,0.5040,10.96,1.362140E-7
71,2022/9/18 14:19:44,1552.3445,0.4711,10.28,1.362272E-7
72,2022/9/18 14:20:14,1552.4998,0.4507,9.86,1.362409E-7
73,2022/9/18 14:20:44,1552.6449,0.4475,9.79,1.362536E-7
74,2022/9/18 14:21:14,1552.7569,0.4091,8.99,1.362634E-7
75,2022/9/18 14:21:44,1552.902,0.3980,8.76,1.362761E-7
76,2022/9/18 14:22:14,1552.9999,0.3715,8.20,1.362847E-7
77,2022/9/18 14:22:44,1553.1,0.3180,7.06,1.362935E-7
