,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/18 13:44:14,1535.6282,27.2253,99.81,1.347603E-7
1,2022/9/18 13:44:44,1535.6458,30.9568,99.92,1.347618E-7
2,2022/9/18 13:45:14,1535.6462,33.3550,99.95,1.347619E-7
3,2022/9/18 13:45:44,1535.9575,25.0278,99.69,1.347892E-7
4,2022/9/18 13:46:14,1534.8793,26.2368,99.76,1.346946E-7
5,2022/9/18 13:46:44,1536.1398,24.5555,99.65,1.348052E-7
6,2022/9/18 13:47:14,1536.6134,21.9916,99.37,1.348467E-7
7,2022/9/18 13:47:44,1536.4405,31.5902,99.93,1.348316E-7
8,2022/9/18 13:48:14,1536.5002,26.1993,99.76,1.348368E-7
9,2022/9/18 13:48:44,1536.6781,33.8141,99.96,1.348524E-7
10,2022/9/18 13:49:14,1535.6189,22.3542,99.42,1.347595E-7
11,2022/9/18 13:49:44,1537.0196,23.7401,99.58,1.348824E-7
12,2022/9/18 13:50:14,1535.8346,21.9687,99.36,1.347784E-7
13,2022/9/18 13:50:44,1537.3232,28.7005,99.87,1.349090E-7
14,2022/9/18 13:51:14,1537.7026,24.8344,99.67,1.349423E-7
15,2022/9/18 13:51:44,1536.4285,27.0978,99.80,1.348305E-7
16,2022/9/18 13:52:14,1537.8558,22.5633,99.45,1.349558E-7
17,2022/9/18 13:52:44,1536.3799,25.2767,99.70,1.348262E-7
18,2022/9/18 13:53:14,1538.1548,28.0931,99.84,1.349820E-7
19,2022/9/18 13:53:44,1536.3163,26.1874,99.76,1.348207E-7
20,2022/9/18 13:54:14,1538.5357,17.9916,98.41,1.350154E-7
21,2022/9/18 13:54:44,1537.012,24.6722,99.66,1.348817E-7
22,2022/9/18 13:55:14,1538.9175,22.7608,99.47,1.350489E-7
23,2022/9/18 13:55:44,1539.0982,22.9124,99.49,1.350648E-7
24,2022/9/18 13:56:14,1545.138,17.3748,98.17,1.355948E-7
25,2022/9/18 13:56:44,1539.5177,23.9081,99.59,1.351016E-7
26,2022/9/18 13:57:14,1539.7141,29.6827,99.89,1.351188E-7
27,2022/9/18 13:57:44,1527.6259,18.2907,98.52,1.340580E-7
28,2022/9/18 13:58:14,1540.1745,18.8575,98.70,1.351592E-7
29,2022/9/18 13:58:44,1540.3781,26.6490,99.78,1.351771E-7
30,2022/9/18 13:59:14,1540.6018,26.4748,99.77,1.351967E-7
31,2022/9/18 13:59:44,1540.8352,13.4723,95.50,1.352172E-7
32,2022/9/18 14:00:14,1541.0725,25.4828,99.72,1.352380E-7
33,2022/9/18 14:00:44,1542.2458,20.4198,99.09,1.353410E-7
34,2022/9/18 14:01:14,1542.0023,21.3425,99.27,1.353196E-7
35,2022/9/18 14:01:44,1542.0863,21.0913,99.22,1.353270E-7
36,2022/9/18 14:02:14,1542.0337,22.7583,99.47,1.353224E-7
37,2022/9/18 14:02:44,1542.2813,20.0435,99.01,1.353441E-7
38,2022/9/18 14:03:14,1542.6667,20.1206,99.03,1.353779E-7
39,2022/9/18 14:03:44,1542.9832,18.1827,98.48,1.354057E-7
40,2022/9/18 14:04:14,1543.1138,9.5832,88.99,1.354172E-7
41,2022/9/18 14:04:44,1543.5496,13.9785,96.00,1.354554E-7
42,2022/9/18 14:05:14,1543.77,15.1263,96.93,1.354748E-7
43,2022/9/18 14:05:44,1544.1137,15.8257,97.39,1.355049E-7
44,2022/9/18 14:06:14,1544.3999,14.7235,96.63,1.355300E-7
45,2022/9/18 14:06:44,1544.7634,9.5718,88.96,1.355619E-7
46,2022/9/18 14:07:14,1545.0176,13.2011,95.21,1.355842E-7
47,2022/9/18 14:07:44,1545.2678,12.4179,94.27,1.356062E-7
48,2022/9/18 14:08:14,1545.4163,11.8590,93.48,1.356192E-7
