,time,ctwl/nm,notch/dB,reflection/%,n_ac
0,2022/9/18 13:44:14,1535.6276,26.4142,99.77,1.347602E-7
1,2022/9/18 13:44:44,1535.6452,35.4153,99.97,1.347618E-7
2,2022/9/18 13:45:14,1535.6456,35.2243,99.97,1.347618E-7
3,2022/9/18 13:45:44,1535.9567,32.2269,99.94,1.347891E-7
4,2022/9/18 13:46:14,1534.8814,26.2108,99.76,1.346947E-7
5,2022/9/18 13:46:44,1536.1398,24.5215,99.65,1.348052E-7
6,2022/9/18 13:47:14,1536.6145,26.4375,99.77,1.348468E-7
7,2022/9/18 13:47:44,1536.441,27.1244,99.81,1.348316E-7
8,2022/9/18 13:48:14,1536.5007,32.5414,99.94,1.348368E-7
9,2022/9/18 13:48:44,1536.6788,33.5678,99.96,1.348525E-7
10,2022/9/18 13:49:14,1535.6201,21.9260,99.36,1.347596E-7
11,2022/9/18 13:49:44,1537.0206,29.1956,99.88,1.348825E-7
12,2022/9/18 13:50:14,1535.8352,21.9855,99.37,1.347784E-7
13,2022/9/18 13:50:44,1537.3141,29.1633,99.88,1.349082E-7
14,2022/9/18 13:51:14,1537.7054,25.0559,99.69,1.349426E-7
15,2022/9/18 13:51:44,1536.4277,24.2176,99.62,1.348304E-7
16,2022/9/18 13:52:14,1537.8577,29.3749,99.88,1.349559E-7
17,2022/9/18 13:52:44,1536.3776,25.2567,99.70,1.348260E-7
18,2022/9/18 13:53:14,1538.1564,27.8105,99.83,1.349821E-7
19,2022/9/18 13:53:44,1536.3113,21.9336,99.36,1.348202E-7
20,2022/9/18 13:54:14,1538.5376,25.2554,99.70,1.350156E-7
21,2022/9/18 13:54:44,1537.0032,19.4641,98.87,1.348809E-7
22,2022/9/18 13:55:14,1538.9193,20.2327,99.05,1.350491E-7
23,2022/9/18 13:55:44,1539.098,14.4490,96.41,1.350648E-7
24,2022/9/18 13:56:14,1545.1566,21.1555,99.23,1.355964E-7
